START-OF-LOG: 3.0
CALLSIGN: HB9EGZ
CONTEST: CQ-WPX-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 2301
NAME: Kaspar Zbinden
LOCATION: DX
OPERATORS: HB9EGZ
CLUB: RHEIN RUHR DX ASSOCIATION
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.7133.0
SOAPBOX: Experimental operating by tuning a flagpole and operating holiday style.
QSO:  7000 PH 2018-03-25 1159 HB9EGZ        59  0001   YT1AD         59  1378
QSO:  7000 PH 2018-03-25 1202 HB9EGZ        59  0002   OM7M          59  1759
QSO:  7000 PH 2018-03-25 1203 HB9EGZ        59  0003   9A1A          59  1645
QSO:  7000 PH 2018-03-25 1205 HB9EGZ        59  0004   S51CK         59  0798
QSO:  7000 PH 2018-03-25 1227 HB9EGZ        59  0005   F4HJO         59  0526
QSO: 14000 PH 2018-03-25 1232 HB9EGZ        59  0006   UR7R          59  0413
QSO: 14000 PH 2018-03-25 1233 HB9EGZ        59  0007   RM3F          59  1050
QSO: 14000 PH 2018-03-25 1234 HB9EGZ        59  0008   UA3ABJ        59  0357
QSO: 14000 PH 2018-03-25 1235 HB9EGZ        59  0009   UZ0U          59  1176
QSO: 14000 PH 2018-03-25 1246 HB9EGZ        59  0010   RW6AEW        59  0437
QSO: 14000 PH 2018-03-25 1254 HB9EGZ        59  0011   EE7P          59  1040
QSO: 14000 PH 2018-03-25 1256 HB9EGZ        59  0012   UF1F          59  3304
QSO: 14000 PH 2018-03-25 1258 HB9EGZ        59  0013   LZ5R          59  1914
QSO: 14000 PH 2018-03-25 1304 HB9EGZ        59  0014   YP0C          59  1872
QSO: 14000 PH 2018-03-25 1315 HB9EGZ        59  0015   UX1UX         59  1251
QSO: 14000 PH 2018-03-25 1316 HB9EGZ        59  0016   D1DX          59  0084
QSO: 14000 PH 2018-03-25 1318 HB9EGZ        59  0017   RM7C          59  0651
QSO: 14000 PH 2018-03-25 1319 HB9EGZ        59  0018   R7CA          59  0309
QSO: 14000 PH 2018-03-25 1322 HB9EGZ        59  0019   TC3D          59  1129
QSO: 14000 PH 2018-03-25 1323 HB9EGZ        59  0020   RA6CA         59  1467
QSO: 14000 PH 2018-03-25 1328 HB9EGZ        59  0021   R3GM          59  0218
QSO: 14000 PH 2018-03-25 1330 HB9EGZ        59  0022   LZ1RF         59  0420
QSO: 14000 PH 2018-03-25 1333 HB9EGZ        59  0023   SV2DSJ        59  1912
QSO: 14000 PH 2018-03-25 1339 HB9EGZ        59  0024   UX1VT         59  0893
QSO: 14000 PH 2018-03-25 1344 HB9EGZ        59  0025   UT7E          59  0893
QSO: 14000 PH 2018-03-25 1346 HB9EGZ        59  0026   R5DC          59  2238
QSO: 14000 PH 2018-03-25 1352 HB9EGZ        59  0027   UX0RR         59  0363
QSO:  7000 PH 2018-03-25 1356 HB9EGZ        59  0028   S53Q          59  0679
QSO:  7000 PH 2018-03-25 1359 HB9EGZ        59  0029   S54ZZ         59  1074
QSO:  7000 PH 2018-03-25 1405 HB9EGZ        59  0030   9A5Y          59  2663
QSO: 14000 PH 2018-03-25 1451 HB9EGZ        59  0031   RK3T          59  0919
QSO: 14000 PH 2018-03-25 1453 HB9EGZ        59  0032   EB7DX         59  1565
QSO: 14000 PH 2018-03-25 1455 HB9EGZ        59  0033   UZ2I          59  2568
QSO:  7000 PH 2018-03-25 1504 HB9EGZ        59  0034   SP3GEM        59  1904
QSO:  7000 PH 2018-03-25 1507 HB9EGZ        59  0035   SJ0X          59  0890
QSO:  7000 PH 2018-03-25 1517 HB9EGZ        59  0036   SP1MVW        59  0252
QSO:  7000 PH 2018-03-25 1519 HB9EGZ        59  0037   OM3CW         59  0191
QSO: 14000 PH 2018-03-25 1531 HB9EGZ        59  0038   SK2T          59  0910
QSO:  7000 PH 2018-03-25 1542 HB9EGZ        59  0039   SP7VC         59  1478
QSO: 14000 PH 2018-03-25 1547 HB9EGZ        59  0040   R3RZ          59  0100
QSO:  7000 PH 2018-03-25 1602 HB9EGZ        59  0041   SQ5CQ         59  0024
END-OF-LOG:
