START-OF-LOG: 3.0
CALLSIGN: ON6AT
CONTEST: CQ-WPX-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 100284
NAME: Patrick Elyn
LOCATION: DX
OPERATORS: ON6AT
CLUB:
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.7133.0
SOAPBOX: TRX: Yaesu FT-950 100w ANT: Cushcraft R8 + Diamond W8010
QSO:  7090 PH 2018-03-24 0023 ON6AT         59  0001   RC6U          59  0050
QSO:  7092 PH 2018-03-24 0024 ON6AT         59  0002   YO9HP         59  0037
QSO:  7096 PH 2018-03-24 0025 ON6AT         59  0003   UT4U          59  0033
QSO:  7097 PH 2018-03-24 0026 ON6AT         59  0004   VB3T          59  0051
QSO:  7100 PH 2018-03-24 0027 ON6AT         59  0005   CR3DX         59  0061
QSO:  7106 PH 2018-03-24 0028 ON6AT         59  0006   EU5C          59  0023
QSO:  7107 PH 2018-03-24 0029 ON6AT         59  0007   UW5ZM         59  0047
QSO:  7112 PH 2018-03-24 0030 ON6AT         59  0008   EW6W          59  0061
QSO:  7110 PH 2018-03-24 0031 ON6AT         59  0009   RT5Z          59  0067
QSO:  7113 PH 2018-03-24 0032 ON6AT         59  0010   9A6A          59  0016
QSO:  7117 PH 2018-03-24 0034 ON6AT         59  0011   RN3TT         59  0038
QSO:  7120 PH 2018-03-24 0035 ON6AT         59  0012   LZ5K          59  0047
QSO:  7126 PH 2018-03-24 0037 ON6AT         59  0013   C4A           59  0067
QSO:  7129 PH 2018-03-24 0038 ON6AT         59  0014   A61HA         59  0022
QSO:  7133 PH 2018-03-24 0042 ON6AT         59  0015   YT1AD         59  0031
QSO:  7134 PH 2018-03-24 0044 ON6AT         59  0016   P33W          59  0099
QSO:  7138 PH 2018-03-24 0048 ON6AT         59  0017   KD4D          59  0090
QSO:  7139 PH 2018-03-24 0049 ON6AT         59  0018   US1I          59  0067
QSO:  7141 PH 2018-03-24 0052 ON6AT         59  0019   UW1M          59  0097
QSO:  7142 PH 2018-03-24 0054 ON6AT         59  0020   CN3A          59  0144
QSO:  7146 PH 2018-03-24 0055 ON6AT         59  0021   YT8WW         59  0056
QSO:  7151 PH 2018-03-24 0056 ON6AT         59  0022   IQ9UI         59  0058
QSO:  7153 PH 2018-03-24 0057 ON6AT         59  0023   SV2JAO        59  0036
QSO:  7156 PH 2018-03-24 0058 ON6AT         59  0024   LZ5R          59  0093
QSO:  7157 PH 2018-03-24 0101 ON6AT         59  0025   R5DC          59  0081
QSO:  7159 PH 2018-03-24 0104 ON6AT         59  0026   WU2X          59  0086
QSO:  7161 PH 2018-03-24 0107 ON6AT         59  0027   AB3CX         59  0095
QSO:  7178 PH 2018-03-24 0112 ON6AT         59  0028   RV9UP         59  0077
QSO:  7191 PH 2018-03-24 0118 ON6AT         59  0029   CT3DL         59  0074
QSO:  7198 PH 2018-03-24 0121 ON6AT         59  0030   EF8R          59  0317
QSO:  7047 PH 2018-03-24 0124 ON6AT         59  0031   PZ5RA         59  0042
