START-OF-LOG: 3.0
CALLSIGN: K0BAK
CONTEST: CQ-WPX-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: TB-WIRES
CLAIMED-SCORE: 6027
NAME: Peter Kobak
LOCATION: EPA
OPERATORS: K0BAK
CLUB: Pottstown Area ARC
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.7133.0
SOAPBOX: Casual participant, but got Pacific countries on 40m SSB around
SOAPBOX: 1200z Sunday that I never even heard before, so it was worth it.
QSO:  7251 PH 2018-03-25 0237 K0BAK         59  0001   NT5V          59  1086
QSO:  7175 PH 2018-03-25 0238 K0BAK         59  0002   KM5VI         59  0816
QSO:  7189 PH 2018-03-25 0244 K0BAK         59  0003   VE6AO         59  1780
QSO:  7191 PH 2018-03-25 0245 K0BAK         59  0004   IR4X          59  2938
QSO:  7194 PH 2018-03-25 0246 K0BAK         59  0005   NR5M          59  2589
QSO:  7199 PH 2018-03-25 0248 K0BAK         59  0006   CT3DL         59  1184
QSO:  7204 PH 2018-03-25 0249 K0BAK         59  0007   WA5LFD        59  0147
QSO:  7209 PH 2018-03-25 0251 K0BAK         59  0008   VP5P          59  2068
QSO:  7210 PH 2018-03-25 0252 K0BAK         59  0009   NK7L          59  0702
QSO:  7216 PH 2018-03-25 0258 K0BAK         59  0010   VC6R          59  1902
QSO:  7218 PH 2018-03-25 0259 K0BAK         59  0011   W6YX          59  1796
QSO:  7222 PH 2018-03-25 0301 K0BAK         59  0012   T42CT         59  0341
QSO:  7225 PH 2018-03-25 0302 K0BAK         59  0013   VE7GL         59  0370
QSO:  7227 PH 2018-03-25 0304 K0BAK         59  0014   YV4RDT        59  0252
QSO:  7232 PH 2018-03-25 0305 K0BAK         59  0015   AD5XD         59  1434
QSO:  7236 PH 2018-03-25 0306 K0BAK         59  0016   WR5J          59  1310
QSO:  7237 PH 2018-03-25 0307 K0BAK         59  0017   W8WOM         59  0404
QSO:  7240 PH 2018-03-25 0309 K0BAK         59  0018   KZ1W          59  1417
QSO:  7242 PH 2018-03-25 0311 K0BAK         59  0019   NU7J          59  0353
QSO:  7246 PH 2018-03-25 0312 K0BAK         59  0020   NC6R          59  1217
QSO:  7249 PH 2018-03-25 0316 K0BAK         59  0021   NR6O          59  0987
QSO:  7255 PH 2018-03-25 0318 K0BAK         59  0022   PX2A          59  0482
QSO:  7263 PH 2018-03-25 0320 K0BAK         59  0023   AA6PW         59  0480
QSO:  7283 PH 2018-03-25 0321 K0BAK         59  0024   NP2N          59  1674
QSO:  7287 PH 2018-03-25 0322 K0BAK         59  0025   WN6K          59  0581
QSO:  7289 PH 2018-03-25 0323 K0BAK         59  0026   N6NF          59  0368
QSO:  7292 PH 2018-03-25 0323 K0BAK         59  0027   W6SX          59  0627
QSO:  7205 PH 2018-03-25 1142 K0BAK         59  0028   ZM4T          59  1669
QSO:  7202 PH 2018-03-25 1149 K0BAK         59  0029   KU1CW         59  1166
QSO:  7213 PH 2018-03-25 1151 K0BAK         59  0030   WZ4F          59  1092
QSO:  7207 PH 2018-03-25 1152 K0BAK         59  0031   P49Y          59  3520
QSO:  7194 PH 2018-03-25 1152 K0BAK         59  0032   KG5HVO        59  0766
QSO:  7193 PH 2018-03-25 1153 K0BAK         59  0033   W5MX          59  1669
QSO:  7190 PH 2018-03-25 1155 K0BAK         59  0034   VK4KW         59  0843
QSO:  7188 PH 2018-03-25 1156 K0BAK         59  0035   KH7XS         59  3874
QSO:  7249 PH 2018-03-25 2323 K0BAK         59  0036   W9QL          59  0468
QSO:  7178 PH 2018-03-25 2324 K0BAK         59  0037   EF8R          59  7440
QSO:  7181 PH 2018-03-25 2325 K0BAK         59  0038   IR6T          59  2628
QSO:  7185 PH 2018-03-25 2327 K0BAK         59  0039   KD5DD         59  2811
QSO:  7188 PH 2018-03-25 2328 K0BAK         59  0040   K0AD          59  0473
QSO:  7200 PH 2018-03-25 2338 K0BAK         59  0041   PJ2T          59  1429
QSO:  7202 PH 2018-03-25 2343 K0BAK         59  0042   N0OST         59  0631
QSO:  7207 PH 2018-03-25 2344 K0BAK         59  0043   AC9S          59  0730
QSO:  7208 PH 2018-03-25 2345 K0BAK         59  0044   WK9U          59  0923
QSO:  7218 PH 2018-03-25 2348 K0BAK         59  0045   N5IT          59  0791
QSO:  7219 PH 2018-03-25 2349 K0BAK         59  0046   WN4AFP        59  0320
QSO:  7223 PH 2018-03-25 2351 K0BAK         59  0047   NW4DX         59  2144
QSO:  7225 PH 2018-03-25 2352 K0BAK         59  0048   NV9L          59  2773
QSO: 14310 PH 2018-03-25 2358 K0BAK         59  0049   KT5J          59  3255
QSO: 14291 PH 2018-03-25 2359 K0BAK         59  0050   KE5FNB        59  0537
END-OF-LOG:
