START-OF-LOG: 3.0
CALLSIGN: K3CCR
CONTEST: CQ-WPX-SSB
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: TWO
CATEGORY-OVERLAY:
CLAIMED-SCORE: 1190871
NAME: Ben Hutchinson
LOCATION: MDC
OPERATORS: N3UM W3GB
CLUB: Potomac Valley Radio Club
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.7133.0
SOAPBOX: K3CCR is the club station at the Collington continuing-care
SOAPBOX: retirement community at FM 18OW in MD, just east of DC. N3UM and
SOAPBOX: W3GB operated Multi-2 for 25.7 hrs, and as hoped we got a much
SOAPBOX: better score than we did in 2017 in 13.2 hrs. We were on 20 and
SOAPBOX: 40m at the 0Z start, then 40 and 80 after the first hr. Good
SOAPBOX: rates did not last on 40m. But 80m was good till 04Z, and 20m
SOAPBOX: 12-16Z Sat. AM. The whole contest was like that very good rates
SOAPBOX: and mult totals on 20, good on 80, briefly OK on 40. A pleasant
SOAPBOX: surprise to get 11% of our Qs and 10% of our mults on 15 an
SOAPBOX: 10m., nearly all with SA and Caribbean countries. On 160, SWR of
SOAPBOX: our T antenna went offscale on initial PA tuneup ~03Z and never
SOAPBOX: came back. 0n 80 thru 20 we tried often to ���Run ���Em!��� sometimes
SOAPBOX: we could. First good run was 51 Qs in 1 hr. 1820-1920Z Sat. on
SOAPBOX: 20 m. by N3UM peak of 81/hr for 22 min did not last. Then 2231-
SOAPBOX: 2303 Sat. W3GB ran on 20 at 75/hr, 40 Qs in 31 min.  Next N3UM
SOAPBOX: ran on 80m. for 129 Qs 0109-0226 Sun, 101/hr.  He clicked a spot
SOAPBOX: and QSY���d to work W4MYA, and didn���t lose the run freq.  Yes!
SOAPBOX: W3GB made 3 more runs on 40 m. of 14 to 31 Qs.  In all we made
SOAPBOX: 309 Qs running, 34% of our total. When runs died, clicking spots
SOAPBOX: was, well, spotty, worth maybe another 1/3 of Qs. S&P found many
SOAPBOX: calls not spotted. Worked 87 countries including JA and A6.
QSO: 14166 PH 2018-03-24 0001 K3CCR         59  0001   FY5KE         59  0007   1
QSO:  7270 PH 2018-03-24 0001 K3CCR         59  0001   KD2JQK        59  0001   0
QSO: 14161 PH 2018-03-24 0002 K3CCR         59  0002   NC7M          59  0008   1
QSO: 14158 PH 2018-03-24 0003 K3CCR         59  0003   CE3LR         59  0015   1
QSO:  7244 PH 2018-03-24 0003 K3CCR         59  0002   W8TAM         59  0006   0
QSO: 14151 PH 2018-03-24 0005 K3CCR         59  0004   PJ2T          59  0016   1
QSO:  7236 PH 2018-03-24 0006 K3CCR         59  0003   PJ4V          59  0010   0
QSO:  7232 PH 2018-03-24 0007 K3CCR         59  0004   AD5VD         59  0008   0
QSO:  7226 PH 2018-03-24 0008 K3CCR         59  0005   N2MUN         59  0008   0
QSO: 14169 PH 2018-03-24 0010 K3CCR         59  0005   AA1ON         59  0031   1
QSO: 14182 PH 2018-03-24 0010 K3CCR         59  0006   AA4AQ         59  0037   1
QSO: 14187 PH 2018-03-24 0011 K3CCR         59  0007   W6OCL         59  0023   1
QSO:  7217 PH 2018-03-24 0011 K3CCR         59  0006   KG4USN        59  0017   0
QSO: 14176 PH 2018-03-24 0012 K3CCR         59  0008   HK3C          59  0034   1
QSO:  7213 PH 2018-03-24 0012 K3CCR         59  0007   VB2Z          59  0013   0
QSO: 14164 PH 2018-03-24 0012 K3CCR         59  0009   K3ZO          59  0025   1
QSO: 14230 PH 2018-03-24 0013 K3CCR         59  0010   PJ4R          59  0048   1
QSO: 14155 PH 2018-03-24 0014 K3CCR         59  0011   HC2AO         59  0032   1
QSO:  7194 PH 2018-03-24 0015 K3CCR         59  0008   TI6K          59  0015   0
QSO: 14172 PH 2018-03-24 0016 K3CCR         59  0012   AA5B          59  0063   1
QSO: 14190 PH 2018-03-24 0018 K3CCR         59  0013   HK6J          59  0009   1
QSO: 14180 PH 2018-03-24 0021 K3CCR         59  0014   W5CT          59  0041   1
QSO:  7189 PH 2018-03-24 0021 K3CCR         59  0009   OT5A          59  0040   0
QSO:  7181 PH 2018-03-24 0024 K3CCR         59  0010   PI4CC         59  0019   0
