START-OF-LOG: 3.0
CALLSIGN: G4NBS
CONTEST: CQ-WPX-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 24366
NAME: Tony Collett
LOCATION: DX
OPERATORS: G4NBS
CLUB:
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.7142.0
SOAPBOX: K3, 80W TO 20M INV V at 5M Apex
QSO:  7131 PH 2018-03-24 0007 G4NBS         59  0001   IR4M          59  0019
QSO:  7189 PH 2018-03-24 0019 G4NBS         59  0002   IO9A          59  0018
QSO: 14152 PH 2018-03-24 1521 G4NBS         59  0003   AC1U          59  1041
QSO: 14131 PH 2018-03-24 1524 G4NBS         59  0004   CN4P          59  0431
QSO: 14102 PH 2018-03-24 1525 G4NBS         59  0005   VC3J          59  1326
QSO: 14112 PH 2018-03-24 1527 G4NBS         59  0006   VE3UDX        59  0878
QSO: 14111 PH 2018-03-24 1529 G4NBS         59  0007   UV5U          59  0458
QSO: 14123 PH 2018-03-24 1530 G4NBS         59  0008   VB3T          59  1261
QSO: 14133 PH 2018-03-24 1531 G4NBS         59  0009   H2T           59  1163
QSO: 14140 PH 2018-03-24 1532 G4NBS         59  0010   IO9A          59  1228
QSO: 14142 PH 2018-03-24 1532 G4NBS         59  0011   R5DC          59  1101
QSO: 14145 PH 2018-03-24 1534 G4NBS         59  0012   RZ3Z          59  0899
QSO: 14148 PH 2018-03-24 1536 G4NBS         59  0013   VC2A          59  1164
QSO: 14151 PH 2018-03-24 1537 G4NBS         59  0014   NN2DX         59  1152
QSO: 14156 PH 2018-03-24 1541 G4NBS         59  0015   WU2X          59  1091
QSO: 14158 PH 2018-03-24 1542 G4NBS         59  0016   KQ2M          59  0952
QSO: 14161 PH 2018-03-24 1546 G4NBS         59  0017   4X7R          59  0909
QSO: 14163 PH 2018-03-24 1547 G4NBS         59  0018   N2RJ          59  0524
QSO: 14167 PH 2018-03-24 1548 G4NBS         59  0019   RM3DA         59  0623
QSO: 14170 PH 2018-03-24 1551 G4NBS         59  0020   UZ5ZU         59  0751
QSO: 14171 PH 2018-03-24 1552 G4NBS         59  0021   SV2DSJ        59  1072
QSO: 14181 PH 2018-03-24 1557 G4NBS         59  0022   Z3B           59  0411
QSO: 14187 PH 2018-03-24 1558 G4NBS         59  0023   R3LA          59  0215
QSO: 14200 PH 2018-03-24 1603 G4NBS         59  0024   RQ5D          59  1624
QSO: 14199 PH 2018-03-24 1604 G4NBS         59  0025   R3GM          59  0084
QSO: 14215 PH 2018-03-24 1609 G4NBS         59  0026   UR7R          59  0217
QSO: 14216 PH 2018-03-24 1611 G4NBS         59  0027   RW3XZ         59  0718
QSO: 14221 PH 2018-03-24 1617 G4NBS         59  0028   3V8CB         59  0083
QSO: 14220 PH 2018-03-24 1618 G4NBS         59  0029   9H6A          59  0484
QSO: 14226 PH 2018-03-24 1621 G4NBS         59  0030   9A70A         59  1773
QSO: 14232 PH 2018-03-24 1622 G4NBS         59  0031   IR8P          59  1246
QSO: 14277 PH 2018-03-24 1631 G4NBS         59  0032   UZ2I          59  1488
QSO: 14280 PH 2018-03-24 1633 G4NBS         59  0033   LZ140LO       59  0498
QSO: 14302 PH 2018-03-24 1634 G4NBS         59  0034   LZ5R          59  1137
QSO: 14341 PH 2018-03-24 1635 G4NBS         59  0035   EM2G          59  0865
QSO: 14107 PH 2018-03-24 1638 G4NBS         59  0036   CT3HF         59  0139
QSO: 14108 PH 2018-03-24 1643 G4NBS         59  0037   4Z5LY         59  0817
QSO: 14120 PH 2018-03-24 1645 G4NBS         59  0038   LZ1GU         59  0278
QSO: 14301 PH 2018-03-24 1651 G4NBS         59  0039   RA6CA         59  0894
QSO: 14280 PH 2018-03-24 1652 G4NBS         59  0040   E7DX          59  1938
QSO: 14315 PH 2018-03-24 1655 G4NBS         59  0041   SV1JG         59  0705
QSO: 14344 PH 2018-03-24 1658 G4NBS         59  0042   UB7K          59  0430
QSO: 14348 PH 2018-03-24 1659 G4NBS         59  0043   N2MM          59  0532
QSO:  7101 PH 2018-03-24 1701 G4NBS         59  0044   RQ5D          59  1694
QSO:  7191 PH 2018-03-24 1714 G4NBS         59  0045   IK3UNA        59  0658
QSO:  7189 PH 2018-03-24 1716 G4NBS         59  0046   IQ2MI         59  0193
QSO:  7084 PH 2018-03-24 1729 G4NBS         59  0047   DQ5M          59  1164
QSO:  7066 PH 2018-03-24 1730 G4NBS         59  0048   RU5A          59  0366
QSO:  7053 PH 2018-03-24 1733 G4NBS         59  0049   LY4L          59  0882
QSO:  7045 PH 2018-03-24 1735 G4NBS         59  0050   LY2J          59  0838
QSO: 14323 PH 2018-03-24 1736 G4NBS         59  0051   UF1F          59  1958
QSO: 14291 PH 2018-03-24 1738 G4NBS         59  0052   YO6GUU        59  0009
QSO: 14257 PH 2018-03-24 1740 G4NBS         59  0053   CN2AA         59  3174
QSO: 14293 PH 2018-03-24 1743 G4NBS         59  0054   IO9R          59  0493
QSO: 14207 PH 2018-03-24 1745 G4NBS         59  0055   LZ9W          59  1126
QSO: 14184 PH 2018-03-24 1748 G4NBS         59  0056   YL2SM         59  0747
QSO: 14162 PH 2018-03-24 1752 G4NBS         59  0057   UC5G          59  0175
QSO: 14144 PH 2018-03-24 1753 G4NBS         59  0058   IF9A          59  0642
QSO: 14118 PH 2018-03-24 1755 G4NBS         59  0059   IC8AJU        59  0044
QSO: 14121 PH 2018-03-24 1756 G4NBS         59  0060   RM3F          59  0713
QSO: 14128 PH 2018-03-24 1803 G4NBS         59  0061   EF9R          59  1587
QSO: 14136 PH 2018-03-24 1809 G4NBS         59  0062   EE8K          59  0671
QSO: 14140 PH 2018-03-24 1810 G4NBS         59  0063   CR3DX         59  1800
QSO: 14117 PH 2018-03-24 1812 G4NBS         59  0064   8P5A          59  2150
QSO: 14296 PH 2018-03-24 1817 G4NBS         59  0065   UT0NT         59  0409
QSO: 14269 PH 2018-03-24 1824 G4NBS         59  0066   EF8R          59  3633
QSO: 14235 PH 2018-03-24 1826 G4NBS         59  0067   IB8R          59  1002
QSO: 14227 PH 2018-03-24 1827 G4NBS         59  0068   YR100R        59  0336
QSO: 14208 PH 2018-03-24 1830 G4NBS         59  0069   YT1A          59  1207
QSO: 14133 PH 2018-03-24 1833 G4NBS         59  0070   IR7R          59  0361
QSO: 21287 PH 2018-03-24 1836 G4NBS         59  0071   CR3DX         59  1881
QSO: 21302 PH 2018-03-24 1846 G4NBS         59  0072   CN3A          59  0779
QSO: 14124 PH 2018-03-24 1856 G4NBS         59  0073   IS0ZOD        59  0062
