START-OF-LOG: 3.0
CALLSIGN: NA7UT
CONTEST: CQ-WPX-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 37147
NAME: Richard Wayman
LOCATION: UT
OPERATORS: K7DLX
CLUB: Utah South Universal Contest Club
CERTIFICATE: YES
CREATED-BY: N3FJP's CQ WPX Contest Log 4.4
SOAPBOX: Nice surprise to find 15 meters open! Had a great time!
QSO: 14150 PH 2018-03-24 0023 NA7UT         59  001    WX3B          59  27     0
QSO: 14167 PH 2018-03-24 0026 NA7UT         59  002    K3ZO          59  65     0
QSO: 14169 PH 2018-03-24 0027 NA7UT         59  003    AA1ON         59  85     0
QSO: 14192 PH 2018-03-24 0033 NA7UT         59  004    WD5K          59  72     0
QSO:  7232 PH 2018-03-24 0048 NA7UT         59  005    AD5VD         59  98     0
QSO:  7235 PH 2018-03-24 0050 NA7UT         59  006    KI7RUF        59  018    0
QSO: 14184 PH 2018-03-24 0052 NA7UT         59  007    NR5M          59  153    0
QSO: 14267 PH 2018-03-24 0056 NA7UT         59  008    K9KE          59  87     0
QSO: 14287 PH 2018-03-24 0058 NA7UT         59  009    K5FUV         59  129    0
QSO: 14315 PH 2018-03-24 0100 NA7UT         59  010    NH7A          59  158    0
QSO: 14329 PH 2018-03-24 0102 NA7UT         59  011    KJ5Y          59  127    0
QSO: 14258 PH 2018-03-24 0112 NA7UT         59  012    AG5Z          59  181    0
QSO:  7186 PH 2018-03-24 0133 NA7UT         59  013    NR6O          59  95     0
QSO:  7215 PH 2018-03-24 0135 NA7UT         59  014    W6AFA         59  114    0
QSO:  7225 PH 2018-03-24 0137 NA7UT         59  015    VE7SCC        59  87     0
QSO:  7245 PH 2018-03-24 0138 NA7UT         59  016    W5CT          59  116    0
QSO:  7275 PH 2018-03-24 0140 NA7UT         59  017    KD0JLE        59  97     0
QSO:  7218 PH 2018-03-24 0143 NA7UT         59  018    AC9S          59  89     0
QSO:  7140 PH 2018-03-24 0146 NA7UT         59  019    WZ4F          59  121    0
QSO: 14231 PH 2018-03-24 0159 NA7UT         59  020    PQ5B          59  206    0
QSO: 14250 PH 2018-03-24 0202 NA7UT         59  021    PY5WW         59  217    0
QSO: 14208 PH 2018-03-24 0210 NA7UT         59  022    ZV5O          59  282    0
QSO:  7254 PH 2018-03-24 0215 NA7UT         59  023    N5KB          59  111    0
QSO:  7188 PH 2018-03-24 0217 NA7UT         59  024    NK7L          59  49     0
QSO:  7128 PH 2018-03-24 0221 NA7UT         59  025    NN2DX         59  166    0
