START-OF-LOG: 3.0
CALLSIGN: OE3MCS
CONTEST: CQ-WPX-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 17384
NAME: Markus Schott
LOCATION: DX
OPERATORS: OE3MCS
OFFTIME: 2018-03-24 0000 2018-03-24 1252
OFFTIME: 2018-03-24 1311 2018-03-24 1447
OFFTIME: 2018-03-24 1757 2018-03-24 2359
OFFTIME: 2018-03-25 0000 2018-03-25 0927
OFFTIME: 2018-03-25 1336 2018-03-25 2359
CERTIFICATE: YES
CREATED-BY: manualy
SOAPBOX: TX/RX Keenwood TS940-S
SOAPBOX: Antenna HY End Fed(Longwire)
SOAPBOX: Very Nice on 15m for DX this year!
SOAPBOX: Very growded 20m+40m too much QRM!
SOAPBOX: Tnx for Contest hope to have more time next year!
QSO: 14121 PH 2018-03-24 1253  OE3MCS        59  1      OH8GWW        59  56     0
QSO: 21208 PH 2018-03-24 1257  OE3MCS        59  2      OE100TKW      59  105    0
QSO: 14115 PH 2018-03-24 1300  OE3MCS        59  3      EB7DX         59  608    0
QSO: 14124 PH 2018-03-24 1302  OE3MCS        59  4      RL6M          59  81     0
QSO: 14132 PH 2018-03-24 1303  OE3MCS        59  5      LN1K          59  42     0
QSO: 14142 PH 2018-03-24 1304  OE3MCS        59  6      R5DC          59  937    0
QSO: 14173 PH 2018-03-24 1308  OE3MCS        59  7      TA2NAS        59  221    0
QSO: 14176 PH 2018-03-24 1310  OE3MCS        59  8      RA6CA         59  406    0
QSO: 14111 PH 2018-03-24 1448  OE3MCS        59  9      EI0W          59  264    0
QSO: 14144 PH 2018-03-24 1450  OE3MCS        59  10     RC6U          59  1264   0
QSO: 14152 PH 2018-03-24 1453  OE3MCS        59  11     AC1U          59  967    0
QSO: 14150 PH 2018-03-24 1454  OE3MCS        59  12     NN2DX         59  1063   0
QSO: 14156 PH 2018-03-24 1458  OE3MCS        59  13     UA3RN         59  166    0
QSO: 21285 PH 2018-03-24 1509  OE3MCS        59  14     EF8R          59  2923   0
QSO: 14287 PH 2018-03-24 1513  OE3MCS        59  15     9K2HN         59  1769   0
QSO: 14276 PH 2018-03-24 1515  OE3MCS        59  16     RM4F          59  999    0
QSO: 14252 PH 2018-03-24 1519  OE3MCS        59  17     4L2M          59  845    0
QSO: 14248 PH 2018-03-24 1521  OE3MCS        59  18     CN2AA         59  2753   0
QSO: 14173 PH 2018-03-24 1528  OE3MCS        59  19     SV5DKL        59  751    0
QSO: 14188 PH 2018-03-24 1531  OE3MCS        59  20     SV9FBG        59  600    0
QSO:  7199 PH 2018-03-24 1536  OE3MCS        59  21     YP8T          59  399    0
QSO:  7195 PH 2018-03-24 1537  OE3MCS        59  22     UT4U          59  617    0
QSO:  7193 PH 2018-03-24 1539  OE3MCS        59  23     LZ5R          59  653    0
QSO:  7175 PH 2018-03-24 1540  OE3MCS        59  24     PA6Y          59  124    0
QSO:  7174 PH 2018-03-24 1541  OE3MCS        59  25     ON4VDV        59  189    0
QSO:  7173 PH 2018-03-24 1541  OE3MCS        59  26     PI4CC         59  680    0
QSO:  7171 PH 2018-03-24 1544  OE3MCS        59  27     LZ9W          59  862    0
QSO:  7169 PH 2018-03-24 1546  OE3MCS        59  28     YT3TPS        59  178    0
QSO:  7166 PH 2018-03-24 1607  OE3MCS        59  29     OH5Z          59  605    0
QSO:  7168 PH 2018-03-24 1609  OE3MCS        59  30     IZ9NMD        59  237    0
QSO:  7163 PH 2018-03-24 1610  OE3MCS        59  31     YT0W          59  291    0
QSO: 14277 PH 2018-03-24 1615  OE3MCS        59  32     HG1S          59  1264   0
QSO: 14326 PH 2018-03-24 1617  OE3MCS        59  33     CR5C          59  1069   0
QSO: 14298 PH 2018-03-24 1619  OE3MCS        59  34     CR6P          59  769    0
QSO: 14238 PH 2018-03-24 1622  OE3MCS        59  35     SZ5RDS        59  198    0
QSO: 14194 PH 2018-03-24 1624  OE3MCS        59  36     EE7P          59  444    0
