START-OF-LOG: 3.0
LOCATION: DX
CONTEST: CQ-WPX-SSB
CALLSIGN: JH3DMQ
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-MODE: SSB
CATEGORY-POWER: QRP
CATEGORY-STATION: FIXED
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CLAIMED-SCORE: 4329
OPERATORS:
CLUB:
CREATED-BY: CTESTWIN by JI1AQY
NAME: Munehiro Mizutani
SOAPBOX: OATH :I swer using QRP5W out.
SOAPBOX: RIG: IC-7300M Power down. Ant:7MHz RDP 17.3mH 21/28MHz 4el CQ 17mH.
QSO: 21000 PH 2018-03-24 0938 JH3DMQ        59  001    V85T          59  144    0
QSO: 21000 PH 2018-03-24 2319 JH3DMQ        59  002    NR60          59  345    0
QSO: 21000 PH 2018-03-24 2356 JH3DMQ        59  003    VK4QH         59  622    0
QSO: 21000 PH 2018-03-24 2358 JH3DMQ        59  004    VK4KW         59  684    0
QSO: 21000 PH 2018-03-25 0003 JH3DMQ        59  005    VK2AU         59  811    0
QSO: 21000 PH 2018-03-25 0008 JH3DMQ        59  006    WH7W          59  324    0
QSO: 21000 PH 2018-03-25 0011 JH3DMQ        59  007    DU1RB         59  311    0
QSO: 21000 PH 2018-03-25 0014 JH3DMQ        59  008    DU1/A61M      59  495    0
QSO: 28000 PH 2018-03-25 0351 JH3DMQ        59  009    KH2KY         59  042    0
QSO: 28000 PH 2018-03-25 0353 JH3DMQ        59  010    NH2CM         59  010    0
QSO: 28000 PH 2018-03-25 0357 JH3DMQ        59  011    VK2AU         59  870    0
QSO: 28000 PH 2018-03-25 0359 JH3DMQ        59  012    VK2CZ         59  011    0
QSO: 21000 PH 2018-03-25 0407 JH3DMQ        59  013    BD7OXR        59  368    0
QSO: 21000 PH 2018-03-25 0412 JH3DMQ        59  014    BP0P          59  122    0
QSO: 21000 PH 2018-03-25 0423 JH3DMQ        59  015    BV0WPX        59  279    0
QSO: 21000 PH 2018-03-25 0425 JH3DMQ        59  016    VR20/W1DQR    59  306    0
QSO: 21000 PH 2018-03-25 0429 JH3DMQ        59  017    BH7NBX        59  408    0
QSO: 28000 PH 2018-03-25 0431 JH3DMQ        59  018    4E1A          59  784    0
QSO: 28000 PH 2018-03-25 0441 JH3DMQ        59  019    BI7KCD        59  1077   0
QSO: 21000 PH 2018-03-25 0448 JH3DMQ        59  020    BV30R         59  840    0
QSO: 21000 PH 2018-03-25 0449 JH3DMQ        59  021    YB2DX         59  931    0
QSO: 21000 PH 2018-03-25 0453 JH3DMQ        59  022    BH6IC         59  388    0
QSO: 21000 PH 2018-03-25 0459 JH3DMQ        59  023    9M6BOB        59  493    0
QSO: 28000 PH 2018-03-25 0712 JH3DMQ        59  024    DY1T          59  686    0
QSO: 21000 PH 2018-03-25 0720 JH3DMQ        59  025    9M2ZAK        59  209    0
QSO: 21000 PH 2018-03-25 0722 JH3DMQ        59  026    VR20EH        59  810    0
QSO: 21000 PH 2018-03-25 0726 JH3DMQ        59  027    YC8UM         59  105    0
QSO: 21000 PH 2018-03-25 0809 JH3DMQ        59  028    7J3AOZ        59  031    0
QSO: 21000 PH 2018-03-25 0822 JH3DMQ        59  029    VK5PAS        59  187    0
QSO:  7000 PH 2018-03-25 0835 JH3DMQ        59  030    JG5UWK        59  270    0
QSO:  7000 PH 2018-03-25 0837 JH3DMQ        59  031    JA1SCE        59  085    0
QSO:  7000 PH 2018-03-25 0843 JH3DMQ        59  032    KL7RA         59  674    0
QSO:  7000 PH 2018-03-25 0918 JH3DMQ        59  033    KA6BIM        59  991    0
QSO:  7000 PH 2018-03-25 0921 JH3DMQ        59  034    JI2ZEY        59  821    0
QSO:  7000 PH 2018-03-25 0935 JH3DMQ        59  035    NH7A          59  2457   0
QSO:  7000 PH 2018-03-25 0943 JH3DMQ        59  036    DU1R          59  058    0
QSO:  7000 PH 2018-03-25 0952 JH3DMQ        59  037    KH7XS         59  3676   0
QSO:  7000 PH 2018-03-25 1000 JH3DMQ        59  038    JH4UYB        59  1491   0
QSO:  7000 PH 2018-03-25 1003 JH3DMQ        59  039    JH0ILL        59  344    0
QSO:  7000 PH 2018-03-25 1023 JH3DMQ        59  040    RW0CF         59  1468   0
QSO:  7000 PH 2018-03-25 1035 JH3DMQ        59  041    RM0L          59  1174   0
QSO:  7000 PH 2018-03-25 1052 JH3DMQ        59  042    BV30R         59  1085   0
QSO:  7000 PH 2018-03-25 1058 JH3DMQ        59  043    DY1T          59  827    0
QSO:  7000 PH 2018-03-25 1110 JH3DMQ        59  044    BA4DL         59  898    0
QSO:  7000 PH 2018-03-25 1123 JH3DMQ        59  045    JE6RPM        59  1354   0
QSO:  7000 PH 2018-03-25 1128 JH3DMQ        59  046    RM0CT         59  520    0
END-OF-LOG:
