START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: DQ5M
LOCATION: DX
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: 
GRID-LOCATOR: JN68AE
CLAIMED-SCORE: 259350
NAME: Philipp Springer
OPERATORS: DG5LW DG8MG DK6SP
CLUB: BAVARIAN CONTEST CLUB
CREATED-BY: Win-Test 4.30.0
SOAPBOX: and see you in the next one! 73 Philipp, DK6SP @DQ5M
END-OF-LOG: 
QSO: 21200 PH 2020-10-24 1622 DQ5M       59 14 KQ2M       59 05 1
QSO: 14154 PH 2020-10-24 1624 DQ5M       59 14 AB3CX      59 05 0
QSO: 14183 PH 2020-10-24 1626 DQ5M       59 14 LN2G       59 14 0
QSO: 14206 PH 2020-10-24 1627 DQ5M       59 14 K1TTT      59 05 0
QSO: 14208 PH 2020-10-24 1627 DQ5M       59 14 K3LR       59 05 0
QSO: 14217 PH 2020-10-24 1628 DQ5M       59 14 KQ3F       59 05 0
QSO: 14233 PH 2020-10-24 1629 DQ5M       59 14 N9RV       59 04 0
QSO: 14268 PH 2020-10-24 1631 DQ5M       59 14 M6T        59 14 0
QSO: 14295 PH 2020-10-24 1633 DQ5M       59 14 LN8W       59 14 0
QSO: 14312 PH 2020-10-24 1634 DQ5M       59 14 N1UR       59 05 0
QSO: 14326 PH 2020-10-24 1635 DQ5M       59 14 OK7K       59 15 0
QSO: 28390 PH 2020-10-24 1638 DQ5M       59 14 PY3KN      59 11 0
QSO: 28395 PH 2020-10-24 1639 DQ5M       59 14 PY2YU      59 11 0
QSO: 28410 PH 2020-10-24 1639 DQ5M       59 14 PU5BOY     59 11 0
QSO: 28418 PH 2020-10-24 1640 DQ5M       59 14 CX5ABM     59 13 0
QSO: 28426 PH 2020-10-24 1643 DQ5M       59 14 EW1I       59 16 0
QSO: 28470 PH 2020-10-24 1647 DQ5M       59 14 PY2CP      59 11 0
QSO: 28493 PH 2020-10-24 1647 DQ5M       59 14 ZW5B       59 11 0
QSO: 28443 PH 2020-10-24 1649 DQ5M       59 14 LU2DX      59 13 0
QSO: 28489 PH 2020-10-24 1649 DQ5M       59 14 PR4T       59 11 0
QSO: 28433 PH 2020-10-24 1649 DQ5M       59 14 LT7F       59 13 0
QSO: 28525 PH 2020-10-24 1650 DQ5M       59 14 EA8CYE     59 33 0
QSO: 28424 PH 2020-10-24 1650 DQ5M       59 14 LU7HN      59 13 0
QSO: 28457 PH 2020-10-24 1651 DQ5M       59 14 PX2A       59 11 0
QSO: 28536 PH 2020-10-24 1652 DQ5M       59 14 DD2ML      59 14 0
QSO: 28467 PH 2020-10-24 1654 DQ5M       59 14 RL3A       59 16 0
QSO: 21416 PH 2020-10-24 1657 DQ5M       59 14 PY1PL      59 11 1
QSO: 21361 PH 2020-10-24 1700 DQ5M       59 14 LU6DCN     59 13 1
QSO: 21175 PH 2020-10-24 1700 DQ5M       59 14 PY4ME      59 11 0
QSO: 21430 PH 2020-10-24 1701 DQ5M       59 14 EA8RM      59 33 0
QSO: 21286 PH 2020-10-24 1702 DQ5M       59 14 LU7MCJ     59 13 0
QSO: 21273 PH 2020-10-24 1704 DQ5M       59 14 CE3CT      59 12 0
QSO: 21447 PH 2020-10-24 1704 DQ5M       59 14 CQ3W       59 33 0
QSO: 21415 PH 2020-10-24 1708 DQ5M       59 14 AA3B       59 05 0
QSO: 14315 PH 2020-10-24 1711 DQ5M       59 14 K7RL       59 03 0
QSO: 14203 PH 2020-10-24 1711 DQ5M       59 14 GM0V       59 14 0
QSO: 14136 PH 2020-10-24 1712 DQ5M       59 14 VC3R       59 04 0
QSO: 14117 PH 2020-10-24 1712 DQ5M       59 14 VA2WA      59 05 0
QSO: 14150 PH 2020-10-24 1713 DQ5M       59 14 KC1XX      59 05 0
QSO: 14186 PH 2020-10-24 1714 DQ5M       59 14 KV2K       59 05 0
QSO: 14280 PH 2020-10-24 1717 DQ5M       59 14 EF7W       59 14 0
QSO: 14138 PH 2020-10-24 1717 DQ5M       59 14 ZB2TT      59 14 0
QSO: 14165 PH 2020-10-24 1719 DQ5M       59 14 OG6N       59 15 0
QSO:  7118 PH 2020-10-24 1724 DQ5M       59 14 SJ2W       59 14 0
QSO:  7165 PH 2020-10-24 1728 DQ5M       59 14 RW2F       59 15 0
QSO:  7063 PH 2020-10-24 1729 DQ5M       59 14 LY4L       59 15 0
QSO:  7185 PH 2020-10-24 1730 DQ5M       59 14 LY1FW      59 15 0
QSO:  7061 PH 2020-10-24 1735 DQ5M       59 14 RF9C       59 17 0
QSO:  7073 PH 2020-10-24 1741 DQ5M       59 14 RL3A       59 16 0
QSO:  7116 PH 2020-10-24 1742 DQ5M       59 14 UP2L       59 17 0
QSO:  7111 PH 2020-10-24 1743 DQ5M       59 14 RA3W       59 16 0
QSO:  7066 PH 2020-10-24 1744 DQ5M       59 14 UX0LL      59 16 0
QSO:  7197 PH 2020-10-24 1745 DQ5M       59 14 UT4U       59 16 0
QSO:  7150 PH 2020-10-24 1747 DQ5M       59 14 US1Q       59 16 0
QSO:  7065 PH 2020-10-24 1754 DQ5M       59 14 YO3JW      59 20 0
QSO:  7090 PH 2020-10-24 1804 DQ5M       59 14 TA1ED      59 20 0
QSO:  7152 PH 2020-10-24 1805 DQ5M       59 14 HZ1TL      59 21 0
QSO:  7093 PH 2020-10-24 1807 DQ5M       59 14 SV3DCX     59 20 0
QSO:  7063 PH 2020-10-24 1811 DQ5M       59 14 EA3QP      59 14 0
QSO:  7173 PH 2020-10-24 1816 DQ5M       59 14 OH1F       59 15 0
QSO:  3790 PH 2020-10-24 1823 DQ5M       59 14 LN8W       59 14 0
QSO:  3736 PH 2020-10-24 1827 DQ5M       59 14 DL2JRM     59 14 0
QSO:  3777 PH 2020-10-24 1827 DQ5M       59 14 LZ9W       59 20 0
QSO:  3703 PH 2020-10-24 1828 DQ5M       59 14 PI4COM     59 14 0
QSO:  3619 PH 2020-10-24 1828 DQ5M       59 14 S54W       59 15 0
QSO:  3779 PH 2020-10-24 1834 DQ5M       59 14 SN7Q       59 15 0
QSO:  3756 PH 2020-10-24 1841 DQ5M       59 14 PA2TMS     59 14 0
QSO:  3750 PH 2020-10-24 1842 DQ5M       59 14 DJ5AN      59 14 0
QSO:  3783 PH 2020-10-24 1842 DQ5M       59 14 DF9LJ      59 14 0
QSO:  3727 PH 2020-10-24 1843 DQ5M       59 14 SO7O       59 15 0
QSO:  3648 PH 2020-10-24 1844 DQ5M       59 14 DL8KX      59 14 0
QSO:  3695 PH 2020-10-24 1844 DQ5M       59 14 S55OO      59 15 0
QSO:  3752 PH 2020-10-24 1845 DQ5M       59 14 SP9RCL     59 15 0
QSO:  3748 PH 2020-10-24 1845 DQ5M       59 14 S53M       59 15 0
QSO:  3774 PH 2020-10-24 1846 DQ5M       59 14 RT4F       59 16 0
QSO:  3645 PH 2020-10-24 1847 DQ5M       59 14 OK1M       59 15 0
QSO:  3779 PH 2020-10-24 1847 DQ5M       59 14 SP4Z       59 15 0
QSO:  3665 PH 2020-10-24 1849 DQ5M       59 14 OM4IK      59 15 0
QSO:  3785 PH 2020-10-24 1850 DQ5M       59 14 LY4T       59 15 0
QSO:  3637 PH 2020-10-24 1850 DQ5M       59 14 TM0R       59 14 0
QSO:  3684 PH 2020-10-24 1851 DQ5M       59 14 DP7D       59 14 0
QSO:  3688 PH 2020-10-24 1852 DQ5M       59 14 HB9CC      59 14 0
QSO:  3733 PH 2020-10-24 1853 DQ5M       59 14 LY4L       59 15 0
QSO:  3721 PH 2020-10-24 1853 DQ5M       59 14 IB3N       59 15 0
QSO:  3603 PH 2020-10-24 1854 DQ5M       59 14 ON3VS      59 14 0
QSO:  3719 PH 2020-10-24 1856 DQ5M       59 14 S56B       59 15 0
