START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: OK4DJ
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: ROOKIE
GRID-LOCATOR: JN89GF
CLAIMED-SCORE: 4845
NAME: David
OPERATORS: OK4DJ
CREATED-BY: tucnak-linux 4.20
SOAPBOX: TRX Yaesu FT-991A ANT M0CVO HW-42HP AGL 3m ASL 330m
SOAPBOX:  Just   a few        free  hours            during weekend. Thank            you  for  QSO,
QSO:    7000  PH 2020-10-25 0957  OK4DJ            59   15  YT5A             59   15  
QSO:    7000  PH 2020-10-25 1015  OK4DJ            59   15  OP2A             59   14  
QSO:    7000  PH 2020-10-25 1017  OK4DJ            59   15  IZ8GUQ           59   15  
QSO:    7000  PH 2020-10-25 1020  OK4DJ            59   15  4O4T             59   15  
QSO:    7000  PH 2020-10-25 1022  OK4DJ            59   15  SP7RFF           59   15  
QSO:    7000  PH 2020-10-25 1023  OK4DJ            59   15  SQ9C             59   15  
QSO:    7000  PH 2020-10-25 1031  OK4DJ            59   15  UT0ZT            59   16  
QSO:    7000  PH 2020-10-25 1039  OK4DJ            59   15  YO5OHB           59   20  
QSO:    7000  PH 2020-10-25 1052  OK4DJ            59   15  DL4ABR           59   14  
QSO:    7000  PH 2020-10-25 1054  OK4DJ            59   15  EA3QP            59   14  
QSO:    7000  PH 2020-10-25 1056  OK4DJ            59   15  IU5ICR           59   15  
QSO:    7000  PH 2020-10-25 1058  OK4DJ            59   15  9A9J             59   15  
QSO:    7000  PH 2020-10-25 1100  OK4DJ            59   15  YU1AFV           59   15  
QSO:    7000  PH 2020-10-25 1105  OK4DJ            59   15  YT2VP            59   15  
QSO:    7000  PH 2020-10-25 1111  OK4DJ            59   15  US1Q             59   16  
QSO:    7000  PH 2020-10-25 1112  OK4DJ            59   15  YT7A             59   15  
QSO:    7000  PH 2020-10-25 1114  OK4DJ            59   15  IZ1TUF           59   15  
QSO:    7000  PH 2020-10-25 1121  OK4DJ            59   15  F4IVV            59   14  
QSO:    7000  PH 2020-10-25 1123  OK4DJ            59   15  YO5PBW           59   20  
QSO:    7000  PH 2020-10-25 1124  OK4DJ            59   15  LY1FW            59   15  
QSO:    7000  PH 2020-10-25 1126  OK4DJ            59   15  LZ9W             59   20  
QSO:    7000  PH 2020-10-25 1128  OK4DJ            59   15  DK9NCX           59   14  
QSO:    7000  PH 2020-10-25 1130  OK4DJ            59   15  OZ5E             59   14  
QSO:    7000  PH 2020-10-25 1132  OK4DJ            59   15  ES3V             59   15  
QSO:    7000  PH 2020-10-25 1202  OK4DJ            59   15  YL3CW            59   15  
QSO:    7000  PH 2020-10-25 1203  OK4DJ            59   15  IW1FRU           59   15  
QSO:    7000  PH 2020-10-25 1206  OK4DJ            59   15  S53MR            59   15  
QSO:   14000  PH 2020-10-25 1212  OK4DJ            59   15  VY2ZM            59   05  
QSO:   14000  PH 2020-10-25 1225  OK4DJ            59   15  M3AWD            59   14  
QSO:   14000  PH 2020-10-25 1227  OK4DJ            59   15  C44C             59   20  
QSO:   14000  PH 2020-10-25 1228  OK4DJ            59   15  Z61DX            59   15  
QSO:   14000  PH 2020-10-25 1230  OK4DJ            59   15  IK4LZH           59   15  
QSO:   14000  PH 2020-10-25 1239  OK4DJ            59   15  VA2WA            59   05  
QSO:   14000  PH 2020-10-25 1247  OK4DJ            59   15  IK2IQD           59   15  
QSO:   14000  PH 2020-10-25 1253  OK4DJ            59   15  HG8R             59   15  
QSO:   14000  PH 2020-10-25 1255  OK4DJ            59   15  RC5Z             59   16  
QSO:   14000  PH 2020-10-25 1306  OK4DJ            59   15  YU1DW            59   15  
QSO:   14000  PH 2020-10-25 1316  OK4DJ            59   15  K1TTT            59   05  
QSO:   14000  PH 2020-10-25 1329  OK4DJ            59   15  N2QV             59   05  
QSO:   14000  PH 2020-10-25 1338  OK4DJ            59   15  DL7ON            59   14  
