START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: K0VH
LOCATION: MN
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: CLASSIC
GRID-LOCATOR:
CLAIMED-SCORE: 18018
NAME: Dave Naatz
OPERATORS: K0VH
CLUB: MINNESOTA WIRELESS ASSN
CREATED-BY: N1MM Logger+ 1.0.8481.0
SOAPBOX:   S&P  on mostly     15    was              ok   running new              IC7300 barefoot  but
QSO:   21267  PH 2020-10-24 1459  K0VH             59   4   EA7I             59   14  
QSO:   21265  PH 2020-10-24 1500  K0VH             59   4   IR4X             59   15  
QSO:   21280  PH 2020-10-24 1504  K0VH             59   4   9A5X             59   15  
QSO:   21284  PH 2020-10-24 1505  K0VH             59   4   TM6M             59   14  
QSO:   21292  PH 2020-10-24 1508  K0VH             59   4   FY5KE            59   09  
QSO:   21295  PH 2020-10-24 1512  K0VH             59   4   CR2X             59   14  
QSO:   21310  PH 2020-10-24 1514  K0VH             59   4   EA1X             59   14  
QSO:   21315  PH 2020-10-24 1515  K0VH             59   4   9A4W             59   15  
QSO:   21322  PH 2020-10-24 1515  K0VH             59   4   EA2W             59   14  
QSO:   21334  PH 2020-10-24 1520  K0VH             59   4   IR4M             59   15  
QSO:   21354  PH 2020-10-24 1523  K0VH             59   4   S50A             59   15  
QSO:   21372  PH 2020-10-24 1524  K0VH             59   4   IK4GRO           59   15  
QSO:   21381  PH 2020-10-24 1526  K0VH             59   4   IO1T             59   15  
QSO:   21398  PH 2020-10-24 1529  K0VH             59   4   CQ8M             59   14  
QSO:   21430  PH 2020-10-24 1534  K0VH             59   4   EA8RM            59   33  
QSO:   21269  PH 2020-10-24 1544  K0VH             59   4   P40XX            59   09  
QSO:   21222  PH 2020-10-24 1545  K0VH             59   4   CO8NMN           59   08  
QSO:   21244  PH 2020-10-24 1546  K0VH             59   4   ZF1A             59   08  
