START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: W8KNO
LOCATION: OH
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
GRID-LOCATOR: EN91kh
CLAIMED-SCORE: 777
NAME: Joseph Wehner
OPERATORS: W8KNO
CLUB: PORTAGE COUNTY AMATEUR RADIO SERVICE
CREATED-BY: GenLog v8.19
SOAPBOX: Lost my voice the first night and had not recorded anything.
SOAPBOX: Quit when I got to a score that looked unique!
QSO:    3500  PH 2020-10-24 0015  W8KNO            59   04  VA2UR            59   05  
QSO:    7000  PH 2020-10-24 0027  W8KNO            59   04  VA2WA            59   05  
QSO:    1800  PH 2020-10-24 0033  W8KNO            59   04  K1TTT            59   05  
QSO:    1800  PH 2020-10-24 0417  W8KNO            59   04  VA2WA            59   05  
QSO:    1800  PH 2020-10-24 0419  W8KNO            59   04  VE3OTL           59   04  
QSO:    1800  PH 2020-10-24 0420  W8KNO            59   04  VA2EW            59   05  
QSO:   14000  PH 2020-10-24 1700  W8KNO            59   04  TM6M             59   14  
QSO:   14000  PH 2020-10-24 1703  W8KNO            59   04  F8KGM            59   14  
QSO:   14000  PH 2020-10-24 1834  W8KNO            59   04  KV0Q             59   04  
QSO:    3500  PH 2020-10-25 0704  W8KNO            59   04  NP4Z             59   08  
QSO:   14000  PH 2020-10-25 1527  W8KNO            59   04  F8DVD            59   14  
QSO:   21000  PH 2020-10-25 1707  W8KNO            59   04  WP3C             59   08  
QSO:   14000  PH 2020-10-25 1854  W8KNO            59   04  K2DM             59   05  
QSO:    7000  PH 2020-10-25 2122  W8KNO            59   04  VA3SWG           59   04  
QSO:    7000  PH 2020-10-25 2124  W8KNO            59   04  VE3BY            59   04  
QSO:    7000  PH 2020-10-25 2128  W8KNO            59   04  CR6T             59   14  
QSO:    7000  PH 2020-10-25 2129  W8KNO            59   04  VA3WB            59   04  
QSO:    7000  PH 2020-10-25 2140  W8KNO            59   04  VA3TPS           59   04  
QSO:   14000  PH 2020-10-25 2142  W8KNO            59   04  VE9CB            59   05  
END-OF-LOG:
