START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: GM7V
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: CLASSIC
GRID-LOCATOR: IO77WS
CLAIMED-SCORE: 1255650
NAME: Chris Tran GM3WOJ
OPERATORS: GM3WOJ
CLUB: NORTH OF SCOTLAND CG
CREATED-BY: Win-Test 4.30.0
SOAPBOX:   The  #1 phone      contest of               the  year! Tnx              for  the  QSOs
QSO:    3685  PH 2020-10-24 0549  GM7V             59   14  IO6A             59   15    0
QSO:    3691  PH 2020-10-24 0549  GM7V             59   14  G3Q              59   14    0
QSO:    3670  PH 2020-10-24 0551  GM7V             59   14  M0RTQ            59   14    0
QSO:    3670  PH 2020-10-24 0552  GM7V             59   14  TM6M             59   14    0
QSO:    3670  PH 2020-10-24 0552  GM7V             59   14  OO7W             59   14    0
QSO:    3670  PH 2020-10-24 0552  GM7V             59   14  ED1J             59   14    0
QSO:    3670  PH 2020-10-24 0554  GM7V             59   14  F6FTB            59   14    0
QSO:    3670  PH 2020-10-24 0554  GM7V             59   14  DL9UP            59   14    0
QSO:    3670  PH 2020-10-24 0554  GM7V             59   14  ON7TQ            59   14    0
QSO:    3670  PH 2020-10-24 0555  GM7V             59   14  G0VAX            59   14    0
QSO:    3670  PH 2020-10-24 0555  GM7V             59   14  M0TDY            59   14    0
QSO:    3670  PH 2020-10-24 0556  GM7V             59   14  OZ8CT            59   14    0
QSO:    3670  PH 2020-10-24 0557  GM7V             59   14  PA2TMS           59   14    0
QSO:    3670  PH 2020-10-24 0557  GM7V             59   14  LC6C             59   14    0
QSO:    3670  PH 2020-10-24 0557  GM7V             59   14  EB3A             59   14    0
QSO:    3670  PH 2020-10-24 0559  GM7V             59   14  ON6NL            59   14    0
QSO:    3670  PH 2020-10-24 0600  GM7V             59   14  F5VHY            59   14    0
QSO:    3670  PH 2020-10-24 0601  GM7V             59   14  EA1R             59   14    0
QSO:    3670  PH 2020-10-24 0602  GM7V             59   14  DO7UDO           59   14    0
QSO:    3670  PH 2020-10-24 0603  GM7V             59   14  DO1CS            59   14    0
QSO:    7197  PH 2020-10-24 0607  GM7V             59   14  E7DX             59   15    0
QSO:    7189  PH 2020-10-24 0607  GM7V             59   14  RU1A             59   16    0
QSO:    7182  PH 2020-10-24 0608  GM7V             59   14  S52NR            59   15    0
QSO:    7148  PH 2020-10-24 0609  GM7V             59   14  OM3BH            59   15    0
QSO:    7114  PH 2020-10-24 0611  GM7V             59   14  IK3UNA           59   15    0
QSO:    7084  PH 2020-10-24 0611  GM7V             59   14  IB9A             59   15    0
QSO:    7067  PH 2020-10-24 0612  GM7V             59   14  LY4L             59   15    0
QSO:    7060  PH 2020-10-24 0612  GM7V             59   14  YU7XX            59   15    0
QSO:    7051  PH 2020-10-24 0613  GM7V             59   14  YO4NF            59   20    0
QSO:    7122  PH 2020-10-24 0614  GM7V             59   14  OE3L             59   15    0
QSO:    7132  PH 2020-10-24 0615  GM7V             59   14  UW5Y             59   16    0
QSO:    7147  PH 2020-10-24 0618  GM7V             59   14  SO9I             59   15    0
QSO:    7140  PH 2020-10-24 0619  GM7V             59   14  US1Q             59   16    0
QSO:    7151  PH 2020-10-24 0620  GM7V             59   14  YT7A             59   15    0
QSO:    3703  PH 2020-10-24 0622  GM7V             59   14  F4HMV            59   14    0
QSO:    3703  PH 2020-10-24 0622  GM7V             59   14  EF7D             59   14    0
QSO:    3703  PH 2020-10-24 0622  GM7V             59   14  G4XEE            59   14    0
