START-OF-LOG: 3.0
CONTEST: WW-DIGI
CALLSIGN: DO5YMZ
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED:
CATEGORY-BAND: 15M
CATEGORY-POWER: LOW
CATEGORY-MODE: DIGI
CATEGORY-TRANSMITTER: ONE
GRID-LOCATOR: JO53CM
CLAIMED-SCORE: 162
NAME: Chris Link
CREATED-BY: RUMlogNG (5.13.2) by DL2RUM
SOAPBOX: Very much enjoyed my first contest. Thank you! Chris
QSO:   21075 DG 2023-08-27 0903 DO5YMZ           JO53   EA8DNP           IL28   0
QSO:   21074 DG 2023-08-27 0909 DO5YMZ           JO53   OH6IH            KP13   0
QSO:   21074 DG 2023-08-27 0934 DO5YMZ           JO53   II5SMM           JN53   0
QSO:   21074 DG 2023-08-27 0943 DO5YMZ           JO53   SQ8AA            KN19   0
QSO:   21074 DG 2023-08-27 0946 DO5YMZ           JO53   EC8AVE           IL18   0
QSO:   21074 DG 2023-08-27 0955 DO5YMZ           JO53   EG5VCE           IM98   0
QSO:   21074 DG 2023-08-27 1010 DO5YMZ           JO53   R3IX             KO76   0
QSO:   21075 DG 2023-08-27 1018 DO5YMZ           JO53   G4BPJ            IO70   0
QSO:   21075 DG 2023-08-27 1028 DO5YMZ           JO53   UA4POO           LO65   0
QSO:   21075 DG 2023-08-27 1105 DO5YMZ           JO53   CU3HN            HM68   0
QSO:   21075 DG 2023-08-27 1107 DO5YMZ           JO53   HA8LN            KN06   0
QSO:   21075 DG 2023-08-27 1113 DO5YMZ           JO53   M7PCE            IO82   0
QSO:   21075 DG 2023-08-27 1121 DO5YMZ           JO53   CT7AKT           IM57   0
QSO:   21075 DG 2023-08-27 1131 DO5YMZ           JO53   CU3DP            HM68   0
END-OF-LOG:
