START-OF-LOG: 3.0
LOCATION: TN
CALLSIGN: N9TF
CLUB: TENNESSEE CONTEST GROUP
CONTEST: EA-MAJESTAD-CW
CATEGORY: SINGLE-OP ALL LOW
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-POWER: 
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 6784
OPERATORS: N9TF
NAME: Eugene Gabry
GRID-LOCATOR: EM66IJ
SOAPBOX: First time playing in this contest. Had lots of fun!
SOAPBOX: 73 Gene, N9TF Clarksville TN.
CREATED-BY: N1MM Logger+ 1.0.9537.0
QSO: 14015 CW 2022-05-21 1314 N9TF          599 001    N6AR          599 17       
QSO: 14021 CW 2022-05-21 1316 N9TF          599 002    VE3NNT        599 47       
QSO: 14026 CW 2022-05-21 1317 N9TF          599 003    K4RUM         599 6        
QSO: 14024 CW 2022-05-21 1341 N9TF          599 004    WQ6X          599 18       
QSO: 14013 CW 2022-05-21 1345 N9TF          599 005    KU2M          599 61       
QSO: 14016 CW 2022-05-21 1349 N9TF          599 006    AA3B          599 96       
QSO: 14027 CW 2022-05-21 1353 N9TF          599 007    XE2S          599 32       
QSO: 21029 CW 2022-05-21 1358 N9TF          599 008    KU2M          599 70       
QSO: 21019 CW 2022-05-21 1359 N9TF          599 009    AA3B          599 113      
QSO: 14027 CW 2022-05-21 1617 N9TF          599 010    KG4W          599 14       
QSO: 14008 CW 2022-05-21 1621 N9TF          599 011    K9OM          599 79       
QSO: 14015 CW 2022-05-21 1622 N9TF          599 012    K2NV          599 10       
QSO: 14028 CW 2022-05-21 1623 N9TF          599 013    9A5X          599 320      
QSO: 21024 CW 2022-05-21 1710 N9TF          599 014    EF5Y          599 A        
QSO: 21008 CW 2022-05-21 1714 N9TF          599 015    OM2VL         599 416      
QSO: 21006 CW 2022-05-21 1716 N9TF          599 016    EF5R          599 A        
QSO: 21028 CW 2022-05-21 1718 N9TF          599 017    WQ6X          599 66       
QSO: 21004 CW 2022-05-21 1724 N9TF          599 018    CO8NMN        599 18       
QSO: 21034 CW 2022-05-21 1741 N9TF          599 019    HA3DX         599 297      
QSO: 21022 CW 2022-05-21 1911 N9TF          599 020    LZ5R          599 795      
QSO: 21039 CW 2022-05-21 1912 N9TF          599 021    EA1EK         599 S        
QSO: 21024 CW 2022-05-21 1915 N9TF          599 022    K6MMM         599 45       
QSO: 28024 CW 2022-05-21 1923 N9TF          599 023    KP2M          599 9        
QSO: 14020 CW 2022-05-21 1928 N9TF          599 024    WO4O          599 33       
