START-OF-LOG: 3.0
LOCATION: WWA
CALLSIGN: K6UFO
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: RTTY
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 230591
CLUB: Western Washington DX Club
CONTEST: CQ-WW-RTTY
CREATED-BY: WriteLog V10.80D
NAME: Mark Aaker
OPERATORS:  @NN7SS
SOAPBOX: In a departure from my preferred QRP, this was an effort to increase
SOAPBOX: my RTTY DXCC totals for K6UFO in LotW. Since I usually operate RTTY as
SOAPBOX: NN7SS or from W6YX, and I never pursued RTTY QSL cards, my K6UFO call is
SOAPBOX: lacking in RTTY DXCC credits. Also I had to take Sunday off, so it seemed
SOAPBOX: DX-hunting was the agenda for Friday night and Saturday. I dusted off the
SOAPBOX: amp and packet spot window, and clicked away!  Now I recall why I like SO-QRP
SOAPBOX: and avoid the Packet Pileups :-)  Ahead of the contest, I counted 21 countries
SOAPBOX: I could use on the Announced DX Operations list. But I worked far more in the
SOAPBOX: contest. I ended with 88 unique DXCC Entities, with at least 40 I needed for
SOAPBOX: DXCC, so if everyone uses Lotw my total will climb nicely, thanks!
SOAPBOX:
SOAPBOX: K6UFO Mork WA
SOAPBOX:
SOAPBOX: 20m-10m: C-31XR at 71ft
SOAPBOX: 40m: Force 12 2 el 40 at 78ft
SOAPBOX: 80m: Half-sloper from 60ft
SOAPBOX: Yaesu FT-1000MP
SOAPBOX: Ameritron AL-1200 runing about 500 watts
SOAPBOX: Writelog software
SOAPBOX:
SOAPBOX:
SOAPBOX:
QSO: 21080 RY 2010-09-25 0000 K6UFO         599      3 WA     PY2SHF        599 11     DX
QSO: 21091 RY 2010-09-25 0002 K6UFO         599      3 WA     LP2F          599 13     DX
QSO: 21092 RY 2010-09-25 0004 K6UFO         599      3 WA     FO8RZ         599 32     DX
QSO: 21097 RY 2010-09-25 0007 K6UFO         599      3 WA     N8NR          599 4      OH
QSO: 28084 RY 2010-09-25 0010 K6UFO         599      3 WA     PY2SEX        599 11     DX
QSO: 28083 RY 2010-09-25 0014 K6UFO         599      3 WA     LU1HF         599 13     DX
QSO: 21078 RY 2010-09-25 0016 K6UFO         599      3 WA     AY8A          599 13     DX
QSO: 21081 RY 2010-09-25 0018 K6UFO         599      3 WA     KE4UNA        599 4      AL
QSO: 21081 RY 2010-09-25 0019 K6UFO         599      3 WA     KK8X          599 4      OH
QSO: 21083 RY 2010-09-25 0020 K6UFO         599      3 WA     LV5V          599 13     DX
