START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.5.1
CONTEST: CQ-WW-RTTY
LOCATION: DX
CALLSIGN: CR6K
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 2986056
OPERATORS: CT1ILT
CLUB: Portugal
NAME: Filipe Monteiro Lopes
SOAPBOX: Started with SO2R but then problems with audio! ended up being mostly SO1R.
QSO: 14090 RY 2010-09-25 0003 CR6K          599 14 DX  W4BQF         599 05 GA  0
QSO:  7036 RY 2010-09-25 0006 CR6K          599 14 DX  W3FV          599 05 PA  0
QSO:  7036 RY 2010-09-25 0007 CR6K          599 14 DX  N2WT          599 04 TN  0
QSO:  7036 RY 2010-09-25 0007 CR6K          599 14 DX  EW8DD         599 16 DX  0
QSO:  7036 RY 2010-09-25 0008 CR6K          599 14 DX  LA1K          599 14 DX  0
QSO:  7036 RY 2010-09-25 0009 CR6K          599 14 DX  UA4HOX        599 16 DX  0
QSO:  7036 RY 2010-09-25 0009 CR6K          599 14 DX  RX3F          599 16 DX  0
QSO:  7036 RY 2010-09-25 0010 CR6K          599 14 DX  M0AFZ         599 14 DX  0
QSO:  7036 RY 2010-09-25 0013 CR6K          599 14 DX  DC9ZP         599 14 DX  0
QSO:  7036 RY 2010-09-25 0013 CR6K          599 14 DX  OH2ET         599 15 DX  0
QSO:  7036 RY 2010-09-25 0013 CR6K          599 14 DX  UZ2M          599 16 DX  0
QSO:  7036 RY 2010-09-25 0014 CR6K          599 14 DX  R2SA          599 16 DX  0
QSO:  7036 RY 2010-09-25 0014 CR6K          599 14 DX  F4GBW         599 14 DX  0
QSO:  7036 RY 2010-09-25 0015 CR6K          599 14 DX  SP8EEX        599 15 DX  0
QSO:  7036 RY 2010-09-25 0015 CR6K          599 14 DX  IK2WPO        599 15 DX  0
QSO:  7036 RY 2010-09-25 0017 CR6K          599 14 DX  KT0R          599 04 MN  0
QSO:  7036 RY 2010-09-25 0018 CR6K          599 14 DX  UR5WCQ        599 16 DX  0
QSO:  7036 RY 2010-09-25 0019 CR6K          599 14 DX  YL4U          599 15 DX  0
QSO:  7036 RY 2010-09-25 0020 CR6K          599 14 DX  W2WHP         599 05 NY  0
QSO:  7036 RY 2010-09-25 0022 CR6K          599 14 DX  RA3XDV        599 16 DX  0
QSO:  7036 RY 2010-09-25 0023 CR6K          599 14 DX  SI4A          599 14 DX  0
QSO:  7036 RY 2010-09-25 0023 CR6K          599 14 DX  OK1MDK        599 15 DX  0
QSO:  7036 RY 2010-09-25 0024 CR6K          599 14 DX  RG9A          599 17 DX  0
QSO:  7036 RY 2010-09-25 0024 CR6K          599 14 DX  UN7PL         599 17 DX  0
QSO:  7036 RY 2010-09-25 0025 CR6K          599 14 DX  DH0GHU        599 14 DX  0
QSO:  7036 RY 2010-09-25 0025 CR6K          599 14 DX  RW3TT         599 16 DX  0
QSO:  7036 RY 2010-09-25 0027 CR6K          599 14 DX  RX0AT         599 17 DX  0
QSO:  7036 RY 2010-09-25 0027 CR6K          599 14 DX  LY9Y          599 15 DX  0
QSO:  7036 RY 2010-09-25 0028 CR6K          599 14 DX  UP6P          599 17 DX  0
QSO:  7036 RY 2010-09-25 0028 CR6K          599 14 DX  RW4FX         599 16 DX  0
QSO:  7036 RY 2010-09-25 0029 CR6K          599 14 DX  UY8IF         599 16 DX  0
QSO:  7036 RY 2010-09-25 0030 CR6K          599 14 DX  LZ8E          599 20 DX  0
QSO:  7036 RY 2010-09-25 0030 CR6K          599 14 DX  KA3QLF        599 05 PA  0
QSO:  7036 RY 2010-09-25 0034 CR6K          599 14 DX  UA3QGT        599 16 DX  0
QSO:  7036 RY 2010-09-25 0035 CR6K          599 14 DX  US5E          599 16 DX  0
QSO:  7036 RY 2010-09-25 0035 CR6K          599 14 DX  DD1JN         599 14 DX  0
QSO:  7036 RY 2010-09-25 0035 CR6K          599 14 DX  KA4RRU        599 05 VA  0
QSO:  7036 RY 2010-09-25 0036 CR6K          599 14 DX  SP9NWN        599 15 DX  0
QSO:  7036 RY 2010-09-25 0038 CR6K          599 14 DX  DR0Y          599 14 DX  0
QSO:  7036 RY 2010-09-25 0039 CR6K          599 14 DX  PI4COM        599 14 DX  0
QSO:  7035 RY 2010-09-25 0042 CR6K          599 14 DX  HI3TEJ        599 08 DX  0
QSO:  7066 RY 2010-09-25 0046 CR6K          599 14 DX  IN3JJI        599 15 DX  0
QSO:  7066 RY 2010-09-25 0047 CR6K          599 14 DX  S51TC         599 15 DX  0
QSO:  7066 RY 2010-09-25 0050 CR6K          599 14 DX  RT9S          599 16 DX  0
QSO:  7066 RY 2010-09-25 0050 CR6K          599 14 DX  DR2010L       599 14 DX  0
QSO:  7066 RY 2010-09-25 0051 CR6K          599 14 DX  RK3AWL        599 16 DX  0
QSO:  3582 RY 2010-09-25 0052 CR6K          599 14 DX  EA1DR         599 14 DX  0
QSO:  7066 RY 2010-09-25 0052 CR6K          599 14 DX  OE9SLH        599 15 DX  0
QSO:  7066 RY 2010-09-25 0053 CR6K          599 14 DX  PI4W          599 14 DX  0
QSO:  7066 RY 2010-09-25 0053 CR6K          599 14 DX  RZ4HZW        599 16 DX  0
QSO:  7066 RY 2010-09-25 0053 CR6K          599 14 DX  SO6I          599 15 DX  0
QSO:  7066 RY 2010-09-25 0057 CR6K          599 14 DX  K4ADR         599 05 FL  0
QSO:  7066 RY 2010-09-25 0057 CR6K          599 14 DX  N3BM          599 05 VA  0
QSO:  7066 RY 2010-09-25 0058 CR6K          599 14 DX  KB1PSP        599 04 OK  0
QSO:  7066 RY 2010-09-25 0059 CR6K          599 14 DX  YL9T          599 15 DX  0
