START-OF-LOG: 3.0
CONTEST: CQ-WW-RTTY
CALLSIGN: DL5JH
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 73788
CREATED-BY: UcxLog 6.61
NAME: Knut Hoberg
CLUB: RHEIN RUHR DX ASSOCIATION
SOAPBOX: Again great fun, only interrupted by my newborn son. :-) I placed
SOAPBOX: him near the TRX  so he could listen to the clinging sound of
SOAPBOX: the RTTY signals. He fell asleep  but only until he woke up to be fed.
SOAPBOX: Then the fun was over hihi.
QSO:  7000 RY 2010-09-25 0021 DL5JH         599 14 DX  UA3PAB        599 16 DX
QSO:  7000 RY 2010-09-25 0022 DL5JH         599 14 DX  R7LV          599 16 DX
QSO:  7000 RY 2010-09-25 0030 DL5JH         599 14 DX  9A5D          599 15 DX
QSO:  7000 RY 2010-09-25 0034 DL5JH         599 14 DX  LZ9W          599 20 DX
QSO:  7000 RY 2010-09-25 0041 DL5JH         599 14 DX  K4FJ          599 05 VA
QSO:  7000 RY 2010-09-25 0049 DL5JH         599 14 DX  UT5EPP        599 16 DX
QSO:  7000 RY 2010-09-25 0052 DL5JH         599 14 DX  IK4MGP        599 15 DX
QSO:  7000 RY 2010-09-25 0057 DL5JH         599 14 DX  KA4RRU        599 05 VA
QSO:  7000 RY 2010-09-25 0102 DL5JH         599 14 DX  ER6A          599 16 DX
QSO:  7000 RY 2010-09-25 0108 DL5JH         599 14 DX  H2E           599 20 DX
QSO:  7000 RY 2010-09-25 0110 DL5JH         599 14 DX  IQ1RY         599 15 DX
QSO:  7000 RY 2010-09-25 0732 DL5JH         599 14 DX  W1UE          599 05 MA
QSO:  7000 RY 2010-09-25 0759 DL5JH         599 14 DX  YT1VP         599 15 DX
QSO:  7000 RY 2010-09-25 0800 DL5JH         599 14 DX  SO4M          599 15 DX
QSO:  7000 RY 2010-09-25 0802 DL5JH         599 14 DX  EB1LA         599 14 DX
QSO:  7000 RY 2010-09-25 0803 DL5JH         599 14 DX  IZ0KBR        599 15 DX
QSO:  7000 RY 2010-09-25 0809 DL5JH         599 14 DX  YT8A          599 15 DX
QSO:  7000 RY 2010-09-25 0815 DL5JH         599 14 DX  HB9BTI        599 14 DX
QSO:  7000 RY 2010-09-25 0817 DL5JH         599 14 DX  I4IKW         599 15 DX
QSO:  7000 RY 2010-09-25 0818 DL5JH         599 14 DX  S51A          599 15 DX
QSO:  7000 RY 2010-09-25 0820 DL5JH         599 14 DX  SP3VSE        599 15 DX
QSO:  7000 RY 2010-09-25 0821 DL5JH         599 14 DX  IZ3KUY        599 15 DX
QSO:  7000 RY 2010-09-25 0823 DL5JH         599 14 DX  PI4COM        599 14 DX
QSO:  7000 RY 2010-09-25 0824 DL5JH         599 14 DX  SP1CQZ        599 15 DX
QSO:  7000 RY 2010-09-25 0825 DL5JH         599 14 DX  OK1EP         599 15 DX
QSO: 21000 RY 2010-09-25 0833 DL5JH         599 14 DX  RA6XV         599 16 DX
QSO: 21000 RY 2010-09-25 0850 DL5JH         599 14 DX  RA9JB         599 17 DX
QSO: 14000 RY 2010-09-25 1144 DL5JH         599 14 DX  RG3K          599 16 DX
QSO: 14000 RY 2010-09-25 1145 DL5JH         599 14 DX  OH1F          599 15 DX
QSO: 14000 RY 2010-09-25 1147 DL5JH         599 14 DX  CT1HMN        599 14 DX
QSO: 14000 RY 2010-09-25 1150 DL5JH         599 14 DX  IT9BLB        599 15 DX
QSO: 14000 RY 2010-09-25 1157 DL5JH         599 14 DX  EO3Q          599 16 DX
QSO: 14000 RY 2010-09-25 1202 DL5JH         599 14 DX  NC4CS         599 05 NC
QSO: 14000 RY 2010-09-25 1206 DL5JH         599 14 DX  ES4RD         599 15 DX
QSO: 14000 RY 2010-09-25 1208 DL5JH         599 14 DX  T70A          599 15 DX
QSO: 14000 RY 2010-09-25 1212 DL5JH         599 14 DX  IV3JCC        599 15 DX
QSO: 14000 RY 2010-09-25 1214 DL5JH         599 14 DX  UW3E          599 16 DX
QSO: 14000 RY 2010-09-25 1217 DL5JH         599 14 DX  IZ6DWH        599 15 DX
QSO: 14000 RY 2010-09-25 1220 DL5JH         599 14 DX  W1UE          599 05 MA
QSO: 14000 RY 2010-09-25 1221 DL5JH         599 14 DX  K4JF          599 05 VA
QSO: 14000 RY 2010-09-25 1223 DL5JH         599 14 DX  CR3A          599 33 DX
QSO: 14000 RY 2010-09-25 1229 DL5JH         599 14 DX  W1DX          599 05 CT
QSO:  7000 RY 2010-09-25 1235 DL5JH         599 14 DX  PE1MPA        599 14 DX
QSO:  7000 RY 2010-09-25 1237 DL5JH         599 14 DX  SP4TXI        599 15 DX
QSO:  7000 RY 2010-09-25 1239 DL5JH         599 14 DX  LA3WAA        599 14 DX
QSO:  7000 RY 2010-09-25 1240 DL5JH         599 14 DX  PA0RRA        599 14 DX
QSO:  7000 RY 2010-09-25 1251 DL5JH         599 14 DX  SN2K          599 15 DX
QSO:  7000 RY 2010-09-25 1304 DL5JH         599 14 DX  ON4ABL        599 14 DX
QSO:  7000 RY 2010-09-25 1305 DL5JH         599 14 DX  F4GGD         599 14 DX
QSO:  7000 RY 2010-09-25 1307 DL5JH         599 14 DX  IK2DZN        599 15 DX
QSO:  7000 RY 2010-09-25 1308 DL5JH         599 14 DX  PI9TP         599 14 DX
QSO:  7000 RY 2010-09-25 1310 DL5JH         599 14 DX  PA0VHA        599 14 DX
QSO: 14000 RY 2010-09-25 1314 DL5JH         599 14 DX  E74KC         599 15 DX
QSO: 14000 RY 2010-09-25 1318 DL5JH         599 14 DX  E76C          599 15 DX
QSO: 14000 RY 2010-09-25 1320 DL5JH         599 14 DX  K4GMH         599 05 VA
QSO: 14000 RY 2010-09-25 1321 DL5JH         599 14 DX  E72MM         599 15 DX
QSO: 14000 RY 2010-09-25 1325 DL5JH         599 14 DX  DR10TCC       599 14 DX
QSO: 14000 RY 2010-09-25 1329 DL5JH         599 14 DX  RK3AWL        599 16 DX
QSO: 14000 RY 2010-09-25 1333 DL5JH         599 14 DX  K0IR          599 04 MN
QSO: 14000 RY 2010-09-25 1337 DL5JH         599 14 DX  K2NV          599 05 NY
QSO: 14000 RY 2010-09-25 1342 DL5JH         599 14 DX  S50A          599 15 DX
QSO: 14000 RY 2010-09-25 1345 DL5JH         599 14 DX  OH2XX         599 15 DX
QSO: 14000 RY 2010-09-25 1349 DL5JH         599 14 DX  YO9HP         599 20 DX
QSO: 14000 RY 2010-09-25 1350 DL5JH         599 14 DX  RW2L          599 16 DX
QSO: 14000 RY 2010-09-25 1353 DL5JH         599 14 DX  RM3Q          599 16 DX
