START-OF-LOG: 3.0
CREATED-BY: ua9qcq-yuri-gagarin-dx-ubn-downloader
CONTEST: YURI-GAGARIN-DX
CALLSIGN: DL6AG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-ASSISTED: 
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: 
CATEGORY-POWER: HIGH
OPERATORS: DL6AG
QSO: 14000 CW 2021-04-11 0751 DL6AG         599 28     P3AA          599 39    
QSO: 14000 CW 2021-04-11 0753 DL6AG         599 28     LZ5R          599 28    
QSO: 14000 CW 2021-04-11 0755 DL6AG         599 28     RT9L          599 30    
QSO: 14000 CW 2021-04-11 0757 DL6AG         599 28     RT7C          599 29    
QSO: 14000 CW 2021-04-11 0758 DL6AG         599 28     RA0AY         599 32    
QSO: 14000 CW 2021-04-11 0758 DL6AG         599 28     R5FQ          599 29    
QSO: 14000 CW 2021-04-11 0759 DL6AG         599 28     RX9AF         599 30    
QSO: 14000 CW 2021-04-11 0800 DL6AG         599 28     UN9L          599 30    
QSO: 14000 CW 2021-04-11 0801 DL6AG         599 28     RN5AA         599 29    
QSO: 14000 CW 2021-04-11 0802 DL6AG         599 28     RA5G          599 29    
QSO: 14000 CW 2021-04-11 0803 DL6AG         599 28     UP0L          599 30    
QSO: 14000 CW 2021-04-11 0804 DL6AG         599 28     YT4W          599 28    
QSO: 14000 CW 2021-04-11 0805 DL6AG         599 28     RL9L          599 30    
QSO: 14000 CW 2021-04-11 0805 DL6AG         599 28     R4OF          599 29    
QSO: 14000 CW 2021-04-11 0806 DL6AG         599 28     UA3RBR        599 29    
QSO: 14000 CW 2021-04-11 0806 DL6AG         599 28     RC6U          599 29    
QSO: 14000 CW 2021-04-11 0807 DL6AG         599 28     RT2C          599 29    
QSO: 14000 CW 2021-04-11 0808 DL6AG         599 28     UA5R          599 29    
QSO: 14000 CW 2021-04-11 0808 DL6AG         599 28     R8WO          599 30    
QSO: 14000 CW 2021-04-11 0809 DL6AG         599 28     EA4AOC        599 37    
QSO: 14000 CW 2021-04-11 0810 DL6AG         599 28     R4WR          599 30    
QSO: 14000 CW 2021-04-11 0811 DL6AG         599 28     EA2AZ         599 37    
QSO: 14000 CW 2021-04-11 0812 DL6AG         599 28     RM5F          599 29    
QSO: 14000 CW 2021-04-11 0813 DL6AG         599 28     R7TW          599 29    
