START-OF-LOG: 3.0
CONTEST: EA-MAJESTAD-SSB
CALLSIGN: PA0AWH
CATEGORY: SINGLE-OP ALL QRP
CATEGORY-BAND: ALL
CATEGORY-MODE: SSB
CATEGORY-POWER: 
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: FIXED
CATEGORY-ASSISTED: NON-ASSISTED
LOCATION: DX
CLUB:    THRACIAN ROSE CLUB
NAME:    Ad van der Wielen
SOAPBOX: RIG: FT817, 5 WATT IN SSB
SOAPBOX: ANTENNAS: SLOPING DELTA LOOP / WINDOM AS INV. VEE
QSO: 14000 PH 2019-06-22 1209 PA0AWH        59  001        RW1F          59  031        
QSO: 14000 PH 2019-06-22 1219 PA0AWH        59  002        IU3BTY        59  038        
QSO: 14000 PH 2019-06-22 1223 PA0AWH        59  003        EF0F          59  SMR           
QSO: 14000 PH 2019-06-22 1228 PA0AWH        59  004        F6DRP         59  026        
QSO: 14000 PH 2019-06-22 1230 PA0AWH        59  005        IK1RGK        59  025        
QSO: 14000 PH 2019-06-22 1237 PA0AWH        59  006        UA5C          59  057        
QSO: 14000 PH 2019-06-22 1238 PA0AWH        59  007        EF1A          59  C           
QSO: 14000 PH 2019-06-22 1242 PA0AWH        59  008        9A9A          59  076        
QSO: 14000 PH 2019-06-22 1251 PA0AWH        59  009        IU4JIC        59  056        
QSO: 14000 PH 2019-06-22 1253 PA0AWH        59  010        EE2W          59  BI           
QSO: 14000 PH 2019-06-22 1257 PA0AWH        59  011        DK1RU         59  071        
QSO: 14000 PH 2019-06-22 1301 PA0AWH        59  012        EA5SR         59  A           
QSO: 14000 PH 2019-06-22 1304 PA0AWH        59  013        EA5RCZ        59  MU           
QSO: 14000 PH 2019-06-22 1309 PA0AWH        59  014        EF9Z          59  CE           
QSO: 14000 PH 2019-06-22 1324 PA0AWH        59  015        EA3HJO        59  B           
QSO: 14000 PH 2019-06-22 1340 PA0AWH        59  016        RK3AW         59  057        
QSO: 14000 PH 2019-06-22 1344 PA0AWH        59  017        EC5CR         59  V           
QSO: 14000 PH 2019-06-22 1350 PA0AWH        59  018        ED9E          59  CE           
QSO: 14000 PH 2019-06-22 1624 PA0AWH        59  019        EA3FQK        59  T           
QSO: 14000 PH 2019-06-22 1629 PA0AWH        59  020        EA2LMI        59  NA           
QSO: 14000 PH 2019-06-22 1631 PA0AWH        59  021        ED9B          59  CE           
QSO: 14000 PH 2019-06-22 1637 PA0AWH        59  022        EA1BQR        59  SO           
QSO:  3500 PH 2019-06-23 0400 PA0AWH        59  023        EF1W          59  O           
QSO:  7000 PH 2019-06-23 0418 PA0AWH        59  024        EA5RCZ        59  MU           
QSO:  7000 PH 2019-06-23 0501 PA0AWH        59  025        YL7X          59  370        
QSO:  7000 PH 2019-06-23 0506 PA0AWH        59  026        EA5SR         59  A           
QSO:  7000 PH 2019-06-23 0508 PA0AWH        59  027        IK3UNA        59  604        
QSO: 14000 PH 2019-06-23 0708 PA0AWH        59  028        EA1YG         59  O           
QSO: 14000 PH 2019-06-23 0716 PA0AWH        59  029        EA7KW         59  SE           
QSO: 14000 PH 2019-06-23 0719 PA0AWH        59  030        EF1W          59  O           
QSO: 14000 PH 2019-06-23 0731 PA0AWH        59  031        RT4G          59  108        
END-OF-LOG:
