START-OF-LOG: 3.0
CREATED-BY: spcwc-ttc-public-log-downloader
CONTEST: TTC-SPCWC
CALLSIGN: DL3RBH
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-POWER: HIGH
CATEGORY: SOAB-HP
CLAIMED-SCORE: 6
OPERATORS: DL3RBH
SOAPBOX: Generated from public checked-log view https://spcwc.pl/58/log/DL3RBH?lang=en
SOAPBOX: QSO status/error details from the public page are not represented in Cabrillo QSO lines.
SOAPBOX: Public checked-log view reported 5 QSO rows with non-OK status.
QSO:  7014 CW 2026-09-01 2004 DL3RBH        599 001    SP2XX         599 075   
QSO:  7015 CW 2026-09-01 2008 DL3RBH        599 002    DL8QS         599 076   
QSO:  7016 CW 2026-09-01 2010 DL3RBH        599 003    OK2PYA        599 084   
QSO:  7017 CW 2026-09-01 2011 DL3RBH        599 004    E77A          599 115   
QSO:  7016 CW 2026-09-01 2015 DL3RBH        599 005    SO6OO         599 088   
QSO:  7017 CW 2026-09-01 2017 DL3RBH        599 006    IK5MEL        599 008   
QSO:  7014 CW 2026-09-01 2018 DL3RBH        599 007    IZ4DYX        599 065   
QSO:  7012 CW 2026-09-01 2022 DL3RBH        599 008    DK2FG         599 095   
QSO:  7015 CW 2026-09-01 2024 DL3RBH        599 009    HA5X          599 102   
QSO:  7011 CW 2026-09-01 2026 DL3RBH        599 010    DM6M          599 090   
QSO:  7017 CW 2026-09-01 2030 DL3RBH        599 011    SP2MSC        599 087   
END-OF-LOG:
