START-OF-LOG: 3.0
CATEGORY: Portable, multi operator, low power, non-assisted
CONTEST: FD CW
CALLSIGN: G8FC/P
CLAIMED-SCORE:149766
CLUB:RAFARS
OPERATORS:G3ZDW G4OSB G4DQP G4HIY All paid up members of RAFARS
QSO:   14048 CW 2017-06-03 1502 G8FC/P        599 0001   RA3XZ         599 0002
QSO:   14050 CW 2017-06-03 1507 G8FC/P        599 0002   S59DZA/P      599 0008
QSO:   7008  CW 2017-06-03 1511 G8FC/P        599 0003   DL0GMA/P      599 0010
QSO:   7011  CW 2017-06-03 1521 G8FC/P        599 0004   DF0TX/P       599 0018
QSO:   7012  CW 2017-06-03 1522 G8FC/P        599 0005   DR5F/P        599 0021
QSO:   7012  CW 2017-06-03 1524 G8FC/P        599 0006   F5YJ/P        599 0016
QSO:   14052 CW 2017-06-03 1533 G8FC/P        599 0007   UR7O          599 0051
QSO:   14052 CW 2017-06-03 1537 G8FC/P        599 0008   RL7D/P        599 0025
QSO:   14052 CW 2017-06-03 1544 G8FC/P        599 0009   S52GP/P       599 0017
QSO:   14052 CW 2017-06-03 1548 G8FC/P        599 0010   S51TA         599 0027
QSO:   14052 CW 2017-06-03 1551 G8FC/P        599 0011   EW5C/P        599 0058
QSO:   14052 CW 2017-06-03 1554 G8FC/P        599 0012   RK3ER         599 0070
QSO:   14052 CW 2017-06-03 1559 G8FC/P        599 0013   UA4C          599 0105
QSO:   14052 CW 2017-06-03 1602 G8FC/P        599 0014   UA4I          599 0134
QSO:   14052 CW 2017-06-03 1610 G8FC/P        599 0015   ER3R/P        599 0099
QSO:   14052 CW 2017-06-03 1616 G8FC/P        599 0016   DK0OH/P       599 0079
QSO:   14052 CW 2017-06-03 1619 G8FC/P        599 0017   RZ3FQ         599 0045
QSO:   14000 CW 2017-06-03 1622 G8FC/P        599 0018   PA3EZC/P      599 0072
QSO:   14000 CW 2017-06-03 1624 G8FC/P        599 0019   DR5F/P        599 0046
QSO:   14000 CW 2017-06-03 1626 G8FC/P        599 0020   F/ON6JUN/P    599 0101
QSO:   14000 CW 2017-06-03 1630 G8FC/P        599 0021   SN5T/P        599 0115
QSO:   14000 CW 2017-06-03 1630 G8FC/P        599 0022   GW0AAA/P      599 0088
QSO:   14000 CW 2017-06-03 1632 G8FC/P        599 0023   ON4RSX/P      599 0071
QSO:   14000 CW 2017-06-03 1635 G8FC/P        599 0024   DL5YM         599 0026
QSO:   14000 CW 2017-06-03 1636 G8FC/P        599 0025   M3I/P         599 0107
QSO:   14000 CW 2017-06-03 1639 G8FC/P        599 0026   UZ5DM         599 0046
QSO:   14000 CW 2017-06-03 1640 G8FC/P        599 0027   ON4CP/P       599 0051
QSO:   7018  CW 2017-06-03 1658 G8FC/P        599 0028   ON6CK/P       599 0114
QSO:   7019  CW 2017-06-03 1700 G8FC/P        599 0029   MM2N/P        599 0103
QSO:   7020  CW 2017-06-03 1702 G8FC/P        599 0030   DL3KWF        599 0053
QSO:   7020  CW 2017-06-03 1703 G8FC/P        599 0031   G4FNL/P       599 0142
QSO:   7021  CW 2017-06-03 1705 G8FC/P        599 0032   RM1T          599 0105
QSO:   7022  CW 2017-06-03 1708 G8FC/P        599 0033   DK9VZ/P       599 0153
QSO:   7022  CW 2017-06-03 1709 G8FC/P        599 0034   ON4MCL/P      599 0092
QSO:   7025  CW 2017-06-03 1713 G8FC/P        599 0035   F5OZC         599 0052
QSO:   7025  CW 2017-06-03 1714 G8FC/P        599 0036   RV5C          599 0113
QSO:   7026  CW 2017-06-03 1718 G8FC/P        599 0037   G4EKT/P       599 0101
QSO:   7027  CW 2017-06-03 1722 G8FC/P        599 0038   DM2X/P        599 0116
QSO:   7028  CW 2017-06-03 1729 G8FC/P        599 0039   G4ALE/P       599 0097
QSO:   7030  CW 2017-06-03 1732 G8FC/P        599 0040   DR5F/P        599 0115
QSO:   7032  CW 2017-06-03 1734 G8FC/P        599 0041   ON6MS/P       599 0135
QSO:   7034  CW 2017-06-03 1738 G8FC/P        599 0042   OK1KMU/P      599 0136
QSO:   7036  CW 2017-06-03 1738 G8FC/P        599 0043   OR7R/P        599 0017
QSO:   7034  CW 2017-06-03 1743 G8FC/P        599 0044   SP/LZ1ABC/P   599 0108
QSO:   7033  CW 2017-06-03 1745 G8FC/P        599 0045   R3OM          599 0163
QSO:   7031  CW 2017-06-03 1746 G8FC/P        599 0046   DL8MBS        599 0019
QSO:   7029  CW 2017-06-03 1750 G8FC/P        599 0047   RA1TU         599 0073
QSO:   7027  CW 2017-06-03 1757 G8FC/P        599 0048   GI3XRQ/P      599 0075
QSO:   7024  CW 2017-06-03 1800 G8FC/P        599 0049   M2A/P         599 0196
QSO:   7021  CW 2017-06-03 1804 G8FC/P        599 0050   DK0MM/P       599 0159
QSO:   7020  CW 2017-06-03 1809 G8FC/P        599 0051   YT5FD/P       599 0043
QSO:   7019  CW 2017-06-03 1811 G8FC/P        599 0052   DL0KF/P       599 0171
QSO:   7019  CW 2017-06-03 1812 G8FC/P        599 0053   DL0JU/P       599 0155
QSO:   7017  CW 2017-06-03 1816 G8FC/P        599 0054   DA3X/P        599 0183
QSO:   7016  CW 2017-06-03 1819 G8FC/P        599 0055   RV7J/P        599 0026
QSO:   7016  CW 2017-06-03 1821 G8FC/P        599 0056   ON4CP/P       599 0105
QSO:   14010 CW 2017-06-03 1825 G8FC/P        599 0057   UY5VA         599 0199
QSO:   14011 CW 2017-06-03 1826 G8FC/P        599 0058   RM2D          599 0093
QSO:   14011 CW 2017-06-03 1828 G8FC/P        599 0059   RV7Y/P        599 0030
QSO:   14012 CW 2017-06-03 1829 G8FC/P        599 0060   SW8WW         599 0170
QSO:   14013 CW 2017-06-03 1831 G8FC/P        599 0061   RV7V/P        599 0046
QSO:   14015 CW 2017-06-03 1836 G8FC/P        599 0062   RA3RLJ        599 0041
QSO:   14016 CW 2017-06-03 1838 G8FC/P        599 0063   LZ6C          599 0420
QSO:   14018 CW 2017-06-03 1844 G8FC/P        599 0064   EA7KB         599 0161
QSO:   14020 CW 2017-06-03 1845 G8FC/P        599 0065   RV3YR         599 0062
QSO:   14022 CW 2017-06-03 1851 G8FC/P        599 0066   I2VXJ         599 0029
QSO:   14022 CW 2017-06-03 1853 G8FC/P        599 0067   G3TBK/P       599 0262
