START-OF-LOG: 3.0
CONTEST: CQ-WW-RTTY
CALLSIGN: ZD7BG
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: 
GRID-LOCATOR: IH74DB
CLAIMED-SCORE: 70308
NAME: Gilbert Legg
CREATED-BY: QARTest 12.2.1
SOAPBOX: Pile-ups caused QRM resulting in making it difficult to copy call signs
SOAPBOX: and reports at times otherwise enjoyed the contest
QSO: 28086 RY 2022-09-25 1136 ZD7BG 599    36 DX SZ1A   599    20   DX 
QSO: 28086 RY 2022-09-25 1136 ZD7BG 599    36 DX ES5RY  599    15   DX 
QSO: 28086 RY 2022-09-25 1137 ZD7BG 599    36 DX 9A1A   599    15   DX 
QSO: 28086 RY 2022-09-25 1138 ZD7BG 599    36 DX TM3Z   599    14   DX 
QSO: 28086 RY 2022-09-25 1138 ZD7BG 599    36 DX OM5M   599    15   DX 
QSO: 28086 RY 2022-09-25 1140 ZD7BG 599    36 DX DF3VM  599    14   DX 
QSO: 28086 RY 2022-09-25 1141 ZD7BG 599    36 DX DP7D   599    14   DX 
QSO: 28086 RY 2022-09-25 1142 ZD7BG 599    36 DX 9A2ZI  599    15   DX 
QSO: 28086 RY 2022-09-25 1144 ZD7BG 599    36 DX IQ4FC  599    15   DX 
QSO: 28086 RY 2022-09-25 1145 ZD7BG 599    36 DX DL3BQA 599    14   DX 
QSO: 28086 RY 2022-09-25 1145 ZD7BG 599    36 DX R4FCJ  599    16   DX 
QSO: 28086 RY 2022-09-25 1146 ZD7BG 599    36 DX S50W   599    15   DX 
QSO: 28086 RY 2022-09-25 1148 ZD7BG 599    36 DX OK5Z   599    15   DX 
QSO: 28086 RY 2022-09-25 1150 ZD7BG 599    36 DX OG2P   599    15   DX 
QSO: 28086 RY 2022-09-25 1151 ZD7BG 599    36 DX G5K    599    14   DX 
QSO: 28086 RY 2022-09-25 1151 ZD7BG 599    36 DX 9A7T   599    15   DX 
QSO: 28086 RY 2022-09-25 1153 ZD7BG 599    36 DX EF7W   599    14   DX 
QSO: 28086 RY 2022-09-25 1154 ZD7BG 599    36 DX DJ4MX  599    14   DX 
QSO: 28086 RY 2022-09-25 1155 ZD7BG 599    36 DX PI4CC  599    14   DX 
QSO: 28086 RY 2022-09-25 1157 ZD7BG 599    36 DX OM3KFO 599    15   DX 
QSO: 28086 RY 2022-09-25 1157 ZD7BG 599    36 DX PI4COM 599    14   DX 
QSO: 28086 RY 2022-09-25 1158 ZD7BG 599    36 DX F6IRG  599    14   DX 
QSO: 28086 RY 2022-09-25 1159 ZD7BG 599    36 DX LU7HN  599    13   DX 
QSO: 28086 RY 2022-09-25 1202 ZD7BG 599    36 DX OM3PC  599    15   DX 
QSO: 28086 RY 2022-09-25 1203 ZD7BG 599    36 DX SP8R   599    15   DX 
QSO: 28086 RY 2022-09-25 1204 ZD7BG 599    36 DX F4AIF  599    14   DX 
QSO: 28086 RY 2022-09-25 1206 ZD7BG 599    36 DX DL9GCG 599    14   DX 
QSO: 28086 RY 2022-09-25 1207 ZD7BG 599    36 DX DM4X   599    14   DX 
QSO: 28086 RY 2022-09-25 1207 ZD7BG 599    36 DX DM7XX  599    14   DX 
QSO: 21085 RY 2022-09-25 1218 ZD7BG 599    36 DX CX7SS  599    13   DX 
QSO: 21085 RY 2022-09-25 1219 ZD7BG 599    36 DX K1SFA  599    05   CT 
QSO: 21085 RY 2022-09-25 1230 ZD7BG 599    36 DX HG1S   599    15   DX 
QSO: 21085 RY 2022-09-25 1231 ZD7BG 599    36 DX 9A1A   599    15   DX 
QSO: 21085 RY 2022-09-25 1232 ZD7BG 599    36 DX DM7XX  599    14   DX 
QSO: 21085 RY 2022-09-25 1233 ZD7BG 599    36 DX TM7Y   599    14   DX 
QSO: 28000 RY 2022-09-25 1244 ZD7BG 599    36 DX K9RS   599    05   DE 
QSO: 28000 RY 2022-09-25 1245 ZD7BG 599    36 DX OM5XX  599    15   DX 
QSO: 28000 RY 2022-09-25 1246 ZD7BG 599    36 DX SV1JG  599    20   DX 
QSO: 28000 RY 2022-09-25 1247 ZD7BG 599    36 DX G3YYD  599    14   DX 
QSO: 28000 RY 2022-09-25 1249 ZD7BG 599    36 DX NW2P   599    05   NJ 
QSO: 28000 RY 2022-09-25 1250 ZD7BG 599    36 DX ON4CT  599    14   DX 
QSO: 28000 RY 2022-09-25 1251 ZD7BG 599    36 DX DL9GS  599    14   DX 
QSO: 28000 RY 2022-09-25 1252 ZD7BG 599    36 DX NJ4P   599    04   TN 
QSO: 28000 RY 2022-09-25 1252 ZD7BG 599    36 DX IV3XNF 599    15   DX 
QSO: 28000 RY 2022-09-25 1254 ZD7BG 599    36 DX LZ1JZ  599    20   DX 
QSO: 28000 RY 2022-09-25 1255 ZD7BG 599    36 DX SM6NET 599    14   DX 
QSO: 28000 RY 2022-09-25 1256 ZD7BG 599    36 DX SP2V   599    15   DX 
QSO: 28000 RY 2022-09-25 1257 ZD7BG 599    36 DX LZ8E   599    20   DX 
QSO: 28000 RY 2022-09-25 1257 ZD7BG 599    36 DX DJ2YA  599    14   DX 
QSO: 28000 RY 2022-09-25 1258 ZD7BG 599    36 DX K9CT   599    04   IL 
QSO: 28000 RY 2022-09-25 1259 ZD7BG 599    36 DX N3FJP  599    05   MD 
QSO: 28000 RY 2022-09-25 1301 ZD7BG 599    36 DX K1LZ   599    05   MA 
QSO: 28000 RY 2022-09-25 1302 ZD7BG 599    36 DX G8X    599    14   DX 
QSO: 28000 RY 2022-09-25 1302 ZD7BG 599    36 DX PA6AA  599    14   DX 
QSO: 28000 RY 2022-09-25 1303 ZD7BG 599    36 DX PA4JJ  599    14   DX 
QSO: 28000 RY 2022-09-25 1304 ZD7BG 599    36 DX W5PR   599    04   TX 
QSO: 28000 RY 2022-09-25 1307 ZD7BG 599    36 DX IW5EIJ 599    15   DX 
QSO: 28000 RY 2022-09-25 1308 ZD7BG 599    36 DX HB9DCO 599    14   DX 
QSO: 28000 RY 2022-09-25 1309 ZD7BG 599    36 DX G4ZOY  599    14   DX 
QSO: 28000 RY 2022-09-25 1310 ZD7BG 599    36 DX DP9A   599    14   DX 
QSO: 28000 RY 2022-09-25 1311 ZD7BG 599    36 DX IK2XSL 599    15   DX 
QSO: 28000 RY 2022-09-25 1312 ZD7BG 599    36 DX PD0ME  599    14   DX 
QSO: 28000 RY 2022-09-25 1312 ZD7BG 599    36 DX 5Q2J   599    14   DX 
QSO: 28000 RY 2022-09-25 1313 ZD7BG 599    36 DX DK050BN 599    14   DX 
QSO: 28000 RY 2022-09-25 1313 ZD7BG 599    36 DX PA0KDV 599    14   DX 
QSO: 28000 RY 2022-09-25 1314 ZD7BG 599    36 DX EU4E   599    16   DX 
QSO: 28000 RY 2022-09-25 1314 ZD7BG 599    36 DX F8CRS  599    14   DX 
QSO: 28000 RY 2022-09-25 1314 ZD7BG 599    36 DX LT6M   599    13   DX 
QSO: 28000 RY 2022-09-25 1315 ZD7BG 599    36 DX OK7O   599    15   DX 
QSO: 28000 RY 2022-09-25 1316 ZD7BG 599    36 DX DL2LDE 599    14   DX 
QSO: 28000 RY 2022-09-25 1317 ZD7BG 599    36 DX IK2BUF 599    15   DX 
QSO: 28000 RY 2022-09-25 1319 ZD7BG 599    36 DX SP5GDY 599    15   DX 
QSO: 28000 RY 2022-09-25 1320 ZD7BG 599    36 DX DP8M   599    14   DX 
QSO: 28000 RY 2022-09-25 1320 ZD7BG 599    36 DX SN7Q   599    15   DX 
QSO: 28000 RY 2022-09-25 1321 ZD7BG 599    36 DX IK2SGF 599    15   DX 
QSO: 28000 RY 2022-09-25 1321 ZD7BG 599    36 DX PA5WT  599    14   DX 
QSO: 28000 RY 2022-09-25 1322 ZD7BG 599    36 DX F6BQG  599    14   DX 
QSO: 28000 RY 2022-09-25 1322 ZD7BG 599    36 DX EE4Y   599    14   DX 
QSO: 28000 RY 2022-09-25 1323 ZD7BG 599    36 DX DL6JZ  599    14   DX 
QSO: 28087 RY 2022-09-25 1326 ZD7BG 599    36 DX SP7IIT 599    15   DX 
QSO: 28087 RY 2022-09-25 1327 ZD7BG 599    36 DX IQ9RG  599    15   DX 
QSO: 28087 RY 2022-09-25 1328 ZD7BG 599    36 DX HA5UX  599    15   DX 
QSO: 28087 RY 2022-09-25 1330 ZD7BG 599    36 DX LY5W   599    15   DX 
QSO: 28087 RY 2022-09-25 1331 ZD7BG 599    36 DX DL1RTL 599    14   DX 
QSO: 28087 RY 2022-09-25 1331 ZD7BG 599    36 DX HA1TNX 599    15   DX 
QSO: 28087 RY 2022-09-25 1332 ZD7BG 599    36 DX OE2XBH 599    15   DX 
QSO: 28087 RY 2022-09-25 1333 ZD7BG 599    36 DX PA3FQA 599    14   DX 
QSO: 28087 RY 2022-09-25 1335 ZD7BG 599    36 DX DR7T   599    14   DX 
QSO: 28087 RY 2022-09-25 1336 ZD7BG 599    36 DX DJ9DZ  599    14   DX 
QSO: 28087 RY 2022-09-25 1336 ZD7BG 599    36 DX HB0DX  599    14   DX 
QSO: 28087 RY 2022-09-25 1338 ZD7BG 599    36 DX 9A9Z   599    15   DX 
QSO: 28087 RY 2022-09-25 1339 ZD7BG 599    36 DX CT1BWU 599    14   DX 
QSO: 28087 RY 2022-09-25 1339 ZD7BG 599    36 DX IV3RAV 599    15   DX 
QSO: 28087 RY 2022-09-25 1340 ZD7BG 599    36 DX OM4EX  599    15   DX 
QSO: 28087 RY 2022-09-25 1341 ZD7BG 599    36 DX DA0T   599    14   DX 
QSO: 28087 RY 2022-09-25 1341 ZD7BG 599    36 DX G0ORH  599    14   DX 
