START-OF-LOG: 3.0
CREATED-BY: QARTest 2.8.7
CONTEST: CQ-WW-RTTY
CALLSIGN: IK2XDE
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-MODE: RTTY
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 689500
NAME: Andrea Bernardo
OPERATORS: IK2XDE
CLUB: ARI Lomazzo - Project Dx Team
SOAPBOX: Nice contest, only 100W with my IC-738 and a new antenna OB11-3
QSO: 14000 RY 2012-09-29 0313 IK2XDE        599 15 DX  W3FV          599 05 PA
QSO: 14000 RY 2012-09-29 0316 IK2XDE        599 15 DX  PT2CM         599 11 DX
QSO: 14000 RY 2012-09-29 0317 IK2XDE        599 15 DX  AC8Y          599 05 VA
QSO: 14000 RY 2012-09-29 0327 IK2XDE        599 15 DX  P49X          599 09 DX
QSO: 14000 RY 2012-09-29 0332 IK2XDE        599 15 DX  CR2X          599 14 DX
QSO: 14000 RY 2012-09-29 0334 IK2XDE        599 15 DX  EF8M          599 33 DX
QSO: 14000 RY 2012-09-29 0334 IK2XDE        599 15 DX  EA8BGO        599 33 DX
QSO: 14000 RY 2012-09-29 0342 IK2XDE        599 15 DX  CE1TT         599 12 DX
QSO: 14000 RY 2012-09-29 0343 IK2XDE        599 15 DX  PY2OE         599 11 DX
QSO: 14000 RY 2012-09-29 0346 IK2XDE        599 15 DX  K2XR          599 05 PA
QSO: 14000 RY 2012-09-29 0347 IK2XDE        599 15 DX  K1FWE         599 05 NH
QSO: 14000 RY 2012-09-29 0400 IK2XDE        599 15 DX  UR5MF         599 16 DX
QSO: 14000 RY 2012-09-29 0404 IK2XDE        599 15 DX  RX9DJ         599 17 DX
QSO: 14000 RY 2012-09-29 0408 IK2XDE        599 15 DX  UY7MM         599 16 DX
QSO: 14000 RY 2012-09-29 0414 IK2XDE        599 15 DX  K3WI          599 05 MD
QSO: 14000 RY 2012-09-29 0415 IK2XDE        599 15 DX  RX3F          599 16 DX
QSO: 14000 RY 2012-09-29 0415 IK2XDE        599 15 DX  R3GMT         599 16 DX
QSO:  7000 RY 2012-09-29 0426 IK2XDE        599 15 DX  VP2V/AA7V     599 08 DX
QSO:  7000 RY 2012-09-29 0434 IK2XDE        599 15 DX  N7AT          599 03 AZ
QSO:  7000 RY 2012-09-29 0435 IK2XDE        599 15 DX  K1FWE         599 05 NH
QSO:  7000 RY 2012-09-29 0435 IK2XDE        599 15 DX  KI1G          599 05 RI
QSO:  7000 RY 2012-09-29 0437 IK2XDE        599 15 DX  ES4RD         599 15 DX
QSO:  7000 RY 2012-09-29 0438 IK2XDE        599 15 DX  YO7DAA        599 20 DX
QSO:  7000 RY 2012-09-29 0441 IK2XDE        599 15 DX  YT8A          599 15 DX
QSO:  7000 RY 2012-09-29 0442 IK2XDE        599 15 DX  YL2CI         599 15 DX
QSO:  7000 RY 2012-09-29 0443 IK2XDE        599 15 DX  SV1JGX        599 20 DX
QSO:  7000 RY 2012-09-29 0445 IK2XDE        599 15 DX  EI7KD         599 14 DX
QSO:  7000 RY 2012-09-29 0448 IK2XDE        599 15 DX  CT3EN         599 33 DX
QSO:  7000 RY 2012-09-29 0449 IK2XDE        599 15 DX  HK1T          599 09 DX
QSO:  7000 RY 2012-09-29 0449 IK2XDE        599 15 DX  VE3FJB        599 04 ON
QSO:  7000 RY 2012-09-29 0450 IK2XDE        599 15 DX  EF7R          599 14 DX
QSO:  7000 RY 2012-09-29 0451 IK2XDE        599 15 DX  SP3VSE        599 15 DX
QSO:  7000 RY 2012-09-29 0452 IK2XDE        599 15 DX  OM100IG       599 15 DX
QSO:  7000 RY 2012-09-29 0454 IK2XDE        599 15 DX  IT9HBT        599 15 DX
QSO:  7000 RY 2012-09-29 0455 IK2XDE        599 15 DX  K0IR          599 04 MN
QSO:  7000 RY 2012-09-29 0456 IK2XDE        599 15 DX  WA5ZUP        599 04 NM
QSO:  7000 RY 2012-09-29 0458 IK2XDE        599 15 DX  WA1Z          599 05 NH
QSO:  7000 RY 2012-09-29 0459 IK2XDE        599 15 DX  NR4M          599 05 VA
QSO:  7000 RY 2012-09-29 0459 IK2XDE        599 15 DX  OL7M          599 15 DX
QSO:  7000 RY 2012-09-29 0501 IK2XDE        599 15 DX  P49X          599 09 DX
QSO:  7000 RY 2012-09-29 0503 IK2XDE        599 15 DX  N9OK          599 04 IL
QSO:  7000 RY 2012-09-29 0504 IK2XDE        599 15 DX  IZ2GNQ        599 15 DX
QSO:  7000 RY 2012-09-29 0505 IK2XDE        599 15 DX  ZA/OK6DJ      599 15 DX
QSO:  7000 RY 2012-09-29 0506 IK2XDE        599 15 DX  J42T          599 20 DX
QSO:  7000 RY 2012-09-29 0508 IK2XDE        599 15 DX  2I0GWA        599 14 DX
