START-OF-LOG: 3.0
CALLSIGN: PE4BAS
CLUB:
CONTEST: CQ-WW-RTTY
CLAIMED-SCORE: 60300
OPERATORS: PE4BAS
SOAPBOX: Very nice propagation on 10m again. Unfortenately not enough time to
SOAPBOX: work everything heard. TRX Icom 706 MK2G 50W into a homemade multiband
SOAPBOX: vertical.
NAME: Bas
CREATED-BY: N1MM Logger V12.9.3
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
QSO: 28086 RY 2012-09-29 0846 PE4BAS        599 14 DX  RW4PFF        599 16 DX
QSO: 28067 RY 2012-09-29 0850 PE4BAS        599 14 DX  RM2T          599 16 DX
QSO: 28083 RY 2012-09-29 0855 PE4BAS        599 14 DX  RK4WWQ        599 16 DX
QSO: 28140 RY 2012-09-29 0925 PE4BAS        599 14 DX  4Z5CP         599 20 DX
QSO: 28098 RY 2012-09-29 0932 PE4BAS        599 14 DX  RW0A          599 18 DX
QSO: 28092 RY 2012-09-29 0935 PE4BAS        599 14 DX  R8XF          599 17 DX
QSO: 21081 RY 2012-09-29 0945 PE4BAS        599 14 DX  YO3CZW        599 20 DX
QSO: 21084 RY 2012-09-29 0948 PE4BAS        599 14 DX  ED1R          599 14 DX
QSO: 21105 RY 2012-09-29 0953 PE4BAS        599 14 DX  OH7KNM        599 15 DX
QSO: 21110 RY 2012-09-29 0954 PE4BAS        599 14 DX  ES4RD         599 15 DX
QSO: 21111 RY 2012-09-29 0956 PE4BAS        599 14 DX  R9DX          599 17 DX
QSO: 21113 RY 2012-09-29 0957 PE4BAS        599 14 DX  EM2G          599 16 DX
QSO: 21113 RY 2012-09-29 0958 PE4BAS        599 14 DX  SZ1A          599 20 DX
QSO: 21120 RY 2012-09-29 1003 PE4BAS        599 14 DX  5B4AIF        599 20 DX
QSO: 21123 RY 2012-09-29 1215 PE4BAS        599 14 DX  IZ8BGY        599 15 DX
QSO: 21120 RY 2012-09-29 1215 PE4BAS        599 14 DX  RG9A          599 17 DX
QSO: 21110 RY 2012-09-29 1218 PE4BAS        599 14 DX  P40G          599 09 DX
QSO: 28079 RY 2012-09-29 1231 PE4BAS        599 14 DX  K4GMH         599 05 VA
QSO: 28079 RY 2012-09-29 1641 PE4BAS        599 14 DX  K4WW          599 04 KY
QSO: 28067 RY 2012-09-29 1657 PE4BAS        599 14 DX  W7PP          599 03 AZ
QSO: 28073 RY 2012-09-29 1701 PE4BAS        599 14 DX  W4BQF         599 05 GA
QSO: 28085 RY 2012-09-29 1710 PE4BAS        599 14 DX  N7RO          599 03 WA
QSO: 28092 RY 2012-09-29 1716 PE4BAS        599 14 DX  N9AW          599 04 WI
QSO: 28096 RY 2012-09-29 1723 PE4BAS        599 14 DX  EA8URL        599 33 DX
QSO: 28097 RY 2012-09-29 1729 PE4BAS        599 14 DX  WA7LNW        599 03 UT
QSO: 28113 RY 2012-09-29 1839 PE4BAS        599 14 DX  AA3B          599 05 PA
QSO: 14106 RY 2012-09-29 1900 PE4BAS        599 14 DX  EA5ET         599 14 DX
QSO: 14102 RY 2012-09-29 1902 PE4BAS        599 14 DX  CR3L          599 33 DX
QSO: 14096 RY 2012-09-29 1906 PE4BAS        599 14 DX  EW8DZ         599 16 DX
QSO: 14092 RY 2012-09-29 1913 PE4BAS        599 14 DX  JE1ZWT        599 25 DX
QSO: 14082 RY 2012-09-29 1918 PE4BAS        599 14 DX  NX9G          599 04 IL
QSO: 14077 RY 2012-09-29 1925 PE4BAS        599 14 DX  RU6CH         599 16 DX
QSO: 14077 RY 2012-09-29 1927 PE4BAS        599 14 DX  A60A          599 21 DX
QSO: 14086 RY 2012-09-29 1931 PE4BAS        599 14 DX  RN3ZC         599 16 DX
QSO: 14090 RY 2012-09-29 2116 PE4BAS        599 14 DX  K3WI          599 05 VA
QSO: 14106 RY 2012-09-29 2122 PE4BAS        599 14 DX  W4AAA         599 05 NC
