START-OF-LOG: 3.0
LOCATION: OH
CALLSIGN: KB8ZUN
CLAIMED-SCORE: 27621
CLUB: NONE
CONTEST: CQ-WW-RTTY
CREATED-BY:
NAME: Jeff Evans
OPERATORS: KB8ZUN
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-BAND: 10M
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-STATION: FIXED
QSO: 28086 RY 2012-09-30 2350 KB8ZUN        599 04 OH  JA0CGJ        599 25 DX
QSO: 28105 RY 2012-09-30 2338 KB8ZUN	    599 04 OH  JA2FSM	     599 25 DX
QSO: 28102 RY 2012-09-30 2332 KB8ZUN	    599 04 OH  W7PRC	     599 05 WA
QSO: 28095 RY 2012-09-30 2329 KB8ZUN	    599 04 OH  JR3NZC	     599 25 DX
QSO: 28071 RY 2012-09-30 2327 KB8ZUN	    599 04 OH  W7IJ	         599 05 WA
QSO: 28079 RY 2012-09-30 2325 KB8ZUN	    599 04 OH  J35X	         599 08 DX
QSO: 28080 RY 2012-09-30 2320 KB8ZUN	    599 04 OH  CW90A	     599 13 DX
QSO: 28082 RY 2012-09-30 2319 KB8ZUN	    599 04 OH  K7TQ	         599 05 ID
QSO: 28083 RY 2012-09-30 2318 KB8ZUN	    599 04 OH  W7RN	         599 05 NV
QSO: 28087 RY 2012-09-30 2315 KB8ZUN	    599 04 OH  KY7M	         599 05 AZ
QSO: 28095 RY 2012-09-30 2306 KB8ZUN	    599 04 OH  AF8C	         599 05 OH
QSO: 28099 RY 2012-09-30 2219 KB8ZUN	    599 04 OH  PY2DN	     599 11 DX
QSO: 28099 RY 2012-09-30 2213 KB8ZUN	    599 04 OH  AK5Y	         599 05 TX
QSO: 28104 RY 2012-09-30 2206 KB8ZUN	    599 04 OH  JH0INP	     599 25 DX
QSO: 28085 RY 2012-09-30 2145 KB8ZUN	    599 04 OH  VE6SQ	     599 05 AB
QSO: 28085 RY 2012-09-30 2138 KB8ZUN	    599 04 OH  ZL3JT	     599 32 DX
QSO: 28086 RY 2012-09-30 2133 KB8ZUN	    599 04 OH  N5RZ	         599 05 TX
QSO: 28073 RY 2012-09-30 2129 KB8ZUN	    599 04 OH  KJ6MSG	     599 05 CA
QSO: 28099 RY 2012-09-30 2038 KB8ZUN	    599 04 OH  LU7DDX	     599 13 DX
QSO: 28115 RY 2012-09-30 2036 KB8ZUN	    599 04 OH  AE7AP	     599 05 MT
QSO: 28090 RY 2012-09-30 2022 KB8ZUN	    599 04 OH  VA7ST	     599 05 BC
QSO: 28094 RY 2012-09-30 2015 KB8ZUN        599 04 OH  NP4EG	     599 08 DX
QSO: 28102 RY 2012-09-30 2011 KB8ZUN	    599 04 OH  VE6BMX	     599 05 AB
QSO: 28108 RY 2012-09-30 2008 KB8ZUN	    599 04 OH  EA8/RW3DO     599 33 DX
QSO: 28109 RY 2012-09-30 2006 KB8ZUN	    599 04 OH  N5RZ	         599 05 TX
QSO: 28111 RY 2012-09-30 2003 KB8ZUN	    599 04 OH  CO6EC	     599 08 DX
QSO: 28115 RY 2012-09-30 2000 KB8ZUN	    599 04 OH  LT0H	         599 13 DX
QSO: 28125 RY 2012-09-30 1955 KB8ZUN	    599 04 OH  XE2B	         599 06 DX
