START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.14.0
CONTEST: REF-SSB
LOCATION: DX
CALLSIGN: 6W1SR
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 179728
OFFTIME: 2016-02-27 1601 2016-02-27 1850
OFFTIME: 2016-02-27 1958 2016-02-27 2340
OFFTIME: 2016-02-28 0105 2016-02-28 0630
OPERATORS: 
NAME: Dominique Auprince
SOAPBOX: 
RIG: 2 élements SteppIR à 15m et  Levy 2 x 20m
QSO:  3757 PH 2016-02-27 0617 6W1SR         59  001    F6KHM         59  29    
QSO:  3730 PH 2016-02-27 0623 6W1SR         59  002    F6KNB         59  33    
QSO:  3742 PH 2016-02-27 0631 6W1SR         59  003    F5UTN         59  27    
QSO:  3735 PH 2016-02-27 0633 6W1SR         59  004    F6DZU         59  40    
QSO:  3744 PH 2016-02-27 0644 6W1SR         59  005    VY2/F1JRD     59  PEI   
QSO:  3789 PH 2016-02-27 0653 6W1SR         59  006    TO6D          59  FG    
QSO: 14127 PH 2016-02-27 0841 6W1SR         59  007    FK8IK         59  FK    
QSO: 14220 PH 2016-02-27 0843 6W1SR         59  008    F4KJR/P       59  46    
QSO: 14220 PH 2016-02-27 0847 6W1SR         59  009    TM1USA        59  69    
QSO: 21212 PH 2016-02-27 0911 6W1SR         59  010    FR4QT         59  FR    
QSO: 21220 PH 2016-02-27 0923 6W1SR         59  011    F5LPY         59  55    
QSO: 14242 PH 2016-02-27 0929 6W1SR         59  012    TM1A          59  77    
QSO: 14140 PH 2016-02-27 0930 6W1SR         59  013    F4EIK         59  52    
QSO: 14205 PH 2016-02-27 0933 6W1SR         59  014    TM11G         59  11    
QSO: 14179 PH 2016-02-27 1047 6W1SR         59  015    F6DZU         59  40    
QSO: 14147 PH 2016-02-27 1050 6W1SR         59  016    FG4KH         59  FG    
QSO: 14186 PH 2016-02-27 1051 6W1SR         59  017    FM5BH         59  FM    
QSO: 14217 PH 2016-02-27 1054 6W1SR         59  018    FG5GP         59  FG    
QSO: 21230 PH 2016-02-27 1058 6W1SR         59  019    FK8IK         59  FK    
QSO: 21233 PH 2016-02-27 1059 6W1SR         59  020    F6GPT         59  33    
QSO: 21240 PH 2016-02-27 1102 6W1SR         59  021    FY5KE         59  FY    
QSO: 21285 PH 2016-02-27 1105 6W1SR         59  022    F6KDL         59  68    
QSO: 21224 PH 2016-02-27 1106 6W1SR         59  023    F1TZG         59  26    
QSO: 21227 PH 2016-02-27 1108 6W1SR         59  024    F6ARC         59  28    
QSO: 21216 PH 2016-02-27 1109 6W1SR         59  025    F6HPP         59  02    
QSO: 21212 PH 2016-02-27 1115 6W1SR         59  026    F6KHM         59  29    
QSO: 21204 PH 2016-02-27 1125 6W1SR         59  027    F5UTN         59  27    
QSO: 21232 PH 2016-02-27 1143 6W1SR         59  028    F5PCV         59  62    
QSO: 28480 PH 2016-02-27 1153 6W1SR         59  029    FR4QT         59  FR    
QSO: 21212 PH 2016-02-27 1157 6W1SR         59  030    F8KLY         59  69    
QSO: 21227 PH 2016-02-27 1200 6W1SR         59  031    F8ATM         59  81    
QSO: 21235 PH 2016-02-27 1201 6W1SR         59  032    F4GHS         59  06    
QSO: 21245 PH 2016-02-27 1202 6W1SR         59  033    TM350XWB      59  31    
QSO: 21260 PH 2016-02-27 1204 6W1SR         59  034    F4KJR/P       59  62    
QSO: 21234 PH 2016-02-27 1205 6W1SR         59  035    F8CFU         59  63    
QSO: 21234 PH 2016-02-27 1206 6W1SR         59  036    F4KIY         59  57    
QSO: 21234 PH 2016-02-27 1206 6W1SR         59  037    F6KBO         59  22    
QSO: 21234 PH 2016-02-27 1207 6W1SR         59  038    F6KDL         59  68    
QSO: 21234 PH 2016-02-27 1207 6W1SR         59  039    F6KPQ         59  56    
QSO: 21234 PH 2016-02-27 1208 6W1SR         59  040    F6GTH         59  47    
QSO: 21234 PH 2016-02-27 1208 6W1SR         59  041    F5OHM         59  36    
QSO: 21234 PH 2016-02-27 1209 6W1SR         59  042    F6BLZ         59  46    
QSO: 21234 PH 2016-02-27 1209 6W1SR         59  043    F5KDC         59  63    
QSO: 21234 PH 2016-02-27 1210 6W1SR         59  044    F4KJP         59  08    
QSO: 21234 PH 2016-02-27 1210 6W1SR         59  045    F6KGL/P       59  77    
QSO: 21234 PH 2016-02-27 1211 6W1SR         59  046    F4EQA         59  34    
QSO: 21234 PH 2016-02-27 1211 6W1SR         59  047    F1RCH         59  13    
