START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.20.0
CONTEST: REF-SSB
LOCATION: 38
CALLSIGN: F4IVV
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 2032576
OFFTIME: 2016-02-27 1906 2016-02-27 2010
OFFTIME: 2016-02-27 2246 2016-02-28 0714
OPERATORS: DIDIER
CLUB: clipperton dx club
NAME: DIDIER
CERTIFICATE: NO
SOAPBOX: 
RIG: PB SUR 40 ET 80 AVEC ANTENNE 50 W MAX
RIG: OK SUR HF AVEC 500W
QSO:  3500 PH 2016-02-27 0600 F4IVV         59  38     F6KBO         59  22    
QSO:  3500 PH 2016-02-27 0602 F4IVV         59  38     F5PTI         59  16    
QSO:  3500 PH 2016-02-27 0603 F4IVV         59  38     F6IGS         59  33    
QSO:  3500 PH 2016-02-27 0604 F4IVV         59  38     F5MSB         59  32    
QSO:  3500 PH 2016-02-27 0605 F4IVV         59  38     TM5OTT        59  37    
QSO:  3500 PH 2016-02-27 0607 F4IVV         59  38     F6BHI         59  19    
QSO:  3500 PH 2016-02-27 0610 F4IVV         59  38     F5AJG         59  59    
QSO:  3500 PH 2016-02-27 0614 F4IVV         59  38     F5OAM         59  47    
QSO:  3500 PH 2016-02-27 0615 F4IVV         59  38     F8NAN         59  63    
QSO:  3500 PH 2016-02-27 0617 F4IVV         59  38     F5GFA         59  47    
QSO:  3500 PH 2016-02-27 0617 F4IVV         59  38     F6KEH         59  34    
QSO:  3500 PH 2016-02-27 0619 F4IVV         59  38     F5LPY         59  55    
QSO:  3500 PH 2016-02-27 0621 F4IVV         59  38     F4DPW         59  95    
QSO:  3500 PH 2016-02-27 0622 F4IVV         59  38     F6HPP         59  02    
QSO:  3500 PH 2016-02-27 0624 F4IVV         59  38     TM13WAP       59  42    
QSO:  3500 PH 2016-02-27 0625 F4IVV         59  38     F8ATM         59  81    
QSO:  3500 PH 2016-02-27 0626 F4IVV         59  38     F6KBF         59  78    
QSO:  3500 PH 2016-02-27 0627 F4IVV         59  38     F5PAC         59  68    
QSO:  3500 PH 2016-02-27 0629 F4IVV         59  38     F6KLO         59  19    
QSO:  3500 PH 2016-02-27 0630 F4IVV         59  38     F6EBA         59  48    
QSO:  3500 PH 2016-02-27 0631 F4IVV         59  38     F6KTW         59  87    
QSO:  3500 PH 2016-02-27 0634 F4IVV         59  38     TM6K          59  08    
QSO:  3500 PH 2016-02-27 0648 F4IVV         59  38     F4KJR/P       59  62    
QSO:  3500 PH 2016-02-27 0650 F4IVV         59  38     TM2M          59  85    
QSO:  3500 PH 2016-02-27 0651 F4IVV         59  38     F4FUB         59  80    
QSO:  3500 PH 2016-02-27 0652 F4IVV         59  38     F6FDR         59  84    
QSO:  3500 PH 2016-02-27 0655 F4IVV         59  38     F4FFH         59  50    
QSO: 14000 PH 2016-02-27 0700 F4IVV         59  38     FK8IK         59  FK    
QSO: 14000 PH 2016-02-27 0701 F4IVV         59  38     RA7M          59  012   
QSO: 14000 PH 2016-02-27 0702 F4IVV         59  38     SE4E          59  016   
QSO: 14000 PH 2016-02-27 0704 F4IVV         59  38     VK4SMA        59  002   
QSO: 14000 PH 2016-02-27 0704 F4IVV         59  38     SV1PMH        59  003   
QSO: 14000 PH 2016-02-27 0704 F4IVV         59  38     ER3CT         59  002   
QSO: 14000 PH 2016-02-27 0705 F4IVV         59  38     VK2HDX        59  002   
QSO: 14000 PH 2016-02-27 0705 F4IVV         59  38     UW1M          59  004   
