START-OF-LOG: 3.0
CONTEST: EU-DX
CALLSIGN: 9A9J
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: 40M
CATEGORY-MODE: MIXED
CATEGORY-POWER: LOW
CATEGORY-ASSISTED: ASSISTED
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 167040
CREATED-BY: UcxLog 8.27
OPERATORS: 9A7ZZ
NAME: rau Jelas
SOAPBOX: Icom IC-7410 & Butternut with 16 radials in the garden.
QSO:  7031 CW 2023-02-04 1208 9A9J          599 HRT3   HG8K          599 HU03
QSO:  7029 CW 2023-02-04 1210 9A9J          599 HRT3   DM7X          599 DE02
QSO:  7019 CW 2023-02-04 1211 9A9J          599 HRT3   HA7A          599 HU04
QSO:  7019 CW 2023-02-04 1212 9A9J          599 HRT3   HA5VJ         599 HU04
QSO:  7013 CW 2023-02-04 1220 9A9J          599 HRT3   SN6S          599 PL09
QSO:  7030 CW 2023-02-04 1247 9A9J          599 HRT3   IV3UHL        599 IT08
QSO:  7023 CW 2023-02-04 1249 9A9J          599 HRT3   DK9IP         599 DE01
QSO:  7028 CW 2023-02-04 1256 9A9J          599 HRT3   SQ8LUU        599 PL06
QSO:  7013 CW 2023-02-04 1300 9A9J          599 HRT3   SP4TKR        599 PL15
QSO:  7027 CW 2023-02-04 1305 9A9J          599 HRT3   SP9JZT        599 PL03
QSO:  7016 CW 2023-02-04 1311 9A9J          599 HRT3   OK5M          599 CZ03
QSO:  7117 PH 2023-02-04 1312 9A9J          59  HRT3   DB5SM         59  DE02
QSO:  7140 PH 2023-02-04 1315 9A9J          59  HRT3   IQ3ME         59  IT21
QSO:  7160 PH 2023-02-04 1317 9A9J          59  HRT3   HA8EV         59  HU04
QSO:  7120 PH 2023-02-04 1319 9A9J          59  HRT3   OZ30EU        59  DK01
QSO:  7016 CW 2023-02-04 1323 9A9J          599 HRT3   E7/Z35M       599 28
QSO:  7023 CW 2023-02-04 1333 9A9J          599 HRT3   IU8HEP        599 IT06
QSO:  7020 CW 2023-02-04 1334 9A9J          599 HRT3   HA8TP         599 HU03
QSO:  7010 CW 2023-02-04 1337 9A9J          599 HRT3   JT1CO         599 32
QSO:  7017 CW 2023-02-04 1343 9A9J          599 HRT3   RT3F          599 29
QSO:  7023 CW 2023-02-04 1353 9A9J          599 HRT3   OK2HBR        599 CZ08
QSO:  7022 CW 2023-02-04 1354 9A9J          599 HRT3   HA8BT         599 HU03
QSO:  7019 CW 2023-02-04 1355 9A9J          599 HRT3   RK3ER         599 29
QSO:  7012 CW 2023-02-04 1357 9A9J          599 HRT3   SN6E          599 PL05
QSO:  7025 CW 2023-02-04 1359 9A9J          599 HRT3   HA1WD         599 HU06
QSO:  7026 CW 2023-02-04 1401 9A9J          599 HRT3   IV3IPS        599 IT08
QSO:  7165 PH 2023-02-04 1403 9A9J          59  HRT3   IZ2FOS        59  IT11
QSO:  7021 CW 2023-02-04 1410 9A9J          599 HRT3   SO3O          599 PL01
QSO:  7014 CW 2023-02-04 1411 9A9J          599 HRT3   OM3CPF        599 SK02
QSO:  7030 CW 2023-02-04 1441 9A9J          599 HRT3   YO8/LZ4UU     599 RO01
QSO:  7015 CW 2023-02-04 1441 9A9J          599 HRT3   OM3TZZ        599 SK02
QSO:  7133 PH 2023-02-04 1443 9A9J          59  HRT3   IQ0QJ         59  IT20
QSO:  7011 CW 2023-02-04 1447 9A9J          599 HRT3   DL3UB         599 DE09
QSO:  7037 CW 2023-02-04 1455 9A9J          599 HRT3   IQ3ME         599 IT21
QSO:  7033 CW 2023-02-04 1456 9A9J          599 HRT3   DK2SY         599 DE07
QSO:  7010 CW 2023-02-04 1458 9A9J          599 HRT3   RD0A          599 32
QSO:  7019 CW 2023-02-04 1500 9A9J          599 HRT3   IZ5FDE        599 IT19
QSO:  7014 CW 2023-02-04 1501 9A9J          599 HRT3   HG6O          599 HU01
QSO:  7020 CW 2023-02-04 1501 9A9J          599 HRT3   HG5D          599 HU03
QSO:  7140 PH 2023-02-04 1503 9A9J          59  HRT3   PD3MDM        59  NL09
QSO:  7016 CW 2023-02-04 1506 9A9J          599 HRT3   SP1NY         599 PL16
QSO:  7021 CW 2023-02-04 1511 9A9J          599 HRT3   HA9A          599 HU01
QSO:  7020 CW 2023-02-04 1512 9A9J          599 HRT3   YO4NF         599 RO02
QSO:  7026 CW 2023-02-04 1513 9A9J          599 HRT3   DD5M          599 DE02
QSO:  7010 CW 2023-02-04 1514 9A9J          599 HRT3   OE2S          599 AT02
QSO:  7032 CW 2023-02-04 1515 9A9J          599 HRT3   HA6NL         599 HU01
QSO:  7023 CW 2023-02-04 1517 9A9J          599 HRT3   PA2W          599 NL11
QSO:  7170 PH 2023-02-04 1518 9A9J          59  HRT3   OK1OA         59  CZ06
QSO:  7172 PH 2023-02-04 1519 9A9J          59  HRT3   RT3F          59  29
QSO:  7010 CW 2023-02-04 1523 9A9J          599 HRT3   DL5WW         599 DE09
QSO:  7022 CW 2023-02-04 1525 9A9J          599 HRT3   PA3DBS        599 NL07
QSO:  7016 CW 2023-02-04 1529 9A9J          599 HRT3   9A5X          599 HR05
