START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: ARRL-10
CALLSIGN: G6GLP
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: G6GLP
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for ARRL-10 ARRL/arrl_10_meter_contest/2024.
QSO: 28003 CW 2024-12-14 1051 G6GLP         599 001 R4WDX         599 482
QSO: 28000 CW 2024-12-14 1055 G6GLP         599 2 SV8OVJ        599 167
QSO: 28001 CW 2024-12-14 1056 G6GLP         599 3 LZ4TX         599 360
QSO: 28002 CW 2024-12-14 1059 G6GLP         599 4 BA4DL/0       599 528
QSO: 28012 CW 2024-12-14 1108 G6GLP         599 5 YT5A          599 432
QSO: 28013 CW 2024-12-14 1111 G6GLP         599 6 9H1XT         599 324
QSO: 28013 CW 2024-12-14 1113 G6GLP         599 7 UP0L          599 860
QSO: 28016 CW 2024-12-14 1115 G6GLP         599 8 SV1DPJ        599 373
QSO: 28019 CW 2024-12-14 1116 G6GLP         599 009 UA9MA         599 530
QSO: 28022 CW 2024-12-14 1120 G6GLP         599 10 M0SDV         599 083
QSO: 28028 CW 2024-12-14 1123 G6GLP         599 11 OM8CW         599 471
QSO: 28028 CW 2024-12-14 1125 G6GLP         599 12 RW1A          599 501
QSO: 28029 CW 2024-12-14 1127 G6GLP         599 13 OG1F          599 384
QSO: 28029 CW 2024-12-14 1130 G6GLP         599 004 F6IIT         599 162
QSO: 28033 CW 2024-12-14 1133 G6GLP         599 015 UA6LCN        599 319
QSO: 28037 CW 2024-12-14 1141 G6GLP         599 17 CR3Z          599 528
QSO: 28043 CW 2024-12-14 1144 G6GLP         599 18 UY5ZZ         599 130
QSO: 28044 CW 2024-12-14 1147 G6GLP         599 19 SV1PMQ        599 111
QSO: 28045 CW 2024-12-14 1149 G6GLP         599 020 GM5X          599 346
QSO: 28049 CW 2024-12-14 1154 G6GLP         599 21 OH7K          599 461
QSO: 28051 CW 2024-12-14 1156 G6GLP         599 22 OH1NA         599 007
QSO: 28052 CW 2024-12-14 1159 G6GLP         599 023 NN1SS         599 NH
