START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: ARRL-10
CALLSIGN: SM6M
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: SM6M
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for ARRL-10 ARRL/arrl_10_meter_contest/2024.
QSO: 28009 CW 2024-12-14 0820 SM6M          599 1 BI8CZM        599 282
QSO: 28002 CW 2024-12-14 1109 SM6M          599 2 3W9A          599 696
QSO: 28003 CW 2024-12-14 1110 SM6M          599 003 7Q2T          599 660
QSO: 28004 CW 2024-12-14 1113 SM6M          599 005 UY7LM         599 059
QSO: 28021 CW 2024-12-14 1117 SM6M          599 008 R9AE          599 557
QSO: 28021 CW 2024-12-14 1117 SM6M          599 007 YU1YV         599 127
QSO: 28021 CW 2024-12-14 1118 SM6M          599 529 UW1M          599 531
QSO: 28021 CW 2024-12-14 1119 SM6M          599 010 R4PH          599 218
QSO: 28000 CW 2024-12-14 1120 SM6M          599 11 EA1EA         599 39
QSO: 28021 CW 2024-12-14 1120 SM6M          599 12 E74E          599 18
QSO: 28020 CW 2024-12-14 1121 SM6M          599 14 RW9DX         599 158
QSO: 28021 CW 2024-12-14 1122 SM6M          599 17 RD4F          599 111
QSO: 28021 CW 2024-12-14 1122 SM6M          599 018 UA7G          599 77
QSO: 28000 CW 2024-12-14 1123 SM6M          599 020 R7GU          599 0019
QSO: 28020 CW 2024-12-14 1124 SM6M          599 022 R4WAE         599 092
QSO: 28021 CW 2024-12-14 1124 SM6M          599 15 RX9CC         599 99
QSO: 28021 CW 2024-12-14 1124 SM6M          599 21 SN6W          599 83
QSO: 28000 CW 2024-12-14 1126 SM6M          599 024 LA7SI         599 19
