START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: ARRL-10
CALLSIGN: PE6U
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: PE6U
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for ARRL-10 ARRL/arrl_10_meter_contest/2024.
QSO: 28000 CW 2024-12-14 1329 PE6U          599 001 R7GU          599 0076
QSO: 28051 CW 2024-12-14 1329 PE6U          599 2 W3FIZ         599 PA
QSO: 28051 CW 2024-12-14 1330 PE6U          599 3 K9CW          599 IL
QSO: 28000 CW 2024-12-14 1331 PE6U          599 005 RC8SA         599 167
QSO: 28051 CW 2024-12-14 1331 PE6U          599 4 4Z5ML         599 497
QSO: 28051 CW 2024-12-14 1332 PE6U          599 6 K3CCR         599 MD
QSO: 28050 CW 2024-12-14 1333 PE6U          599 010 UW1M          599 812
QSO: 28051 CW 2024-12-14 1333 PE6U          599 009 TA7I          599 201
QSO: 28051 CW 2024-12-14 1334 PE6U          599 011 VE3SMA        599 ON
QSO: 28000 CW 2024-12-14 1335 PE6U          599 12 OG6B          599 56
QSO: 28051 CW 2024-12-14 1335 PE6U          599 13 W1ARY         599 CT
QSO: 28051 CW 2024-12-14 1336 PE6U          599 14 W2CS          599 MA
QSO: 28051 CW 2024-12-14 1336 PE6U          599 015 WB2FUV        599 NY
QSO: 28050 CW 2024-12-14 1338 PE6U          599 018 UA4Q          599 447
QSO: 28050 CW 2024-12-14 1339 PE6U          599 019 RV6ANI        599 007
QSO: 28051 CW 2024-12-14 1340 PE6U          599 20 KI6DY         599 OH
QSO: 28051 CW 2024-12-14 1341 PE6U          599 21 W2XYZ         599 FL
QSO: 28051 CW 2024-12-14 1342 PE6U          599 022 K4FT          599 SC
QSO: 28051 CW 2024-12-14 1342 PE6U          599 23 K9MA          599 WI
QSO: 28051 CW 2024-12-14 1343 PE6U          599 24 LY2TS         599 256
QSO: 28051 CW 2024-12-14 1343 PE6U          599 025 PY5AMF        599 94
QSO: 28051 CW 2024-12-14 1345 PE6U          599 26 N4GU          599 NC
QSO: 28051 CW 2024-12-14 1346 PE6U          599 28 AI9T          599 IL
QSO: 28051 CW 2024-12-14 1346 PE6U          599 27 N9TF          599 TN
QSO: 28051 CW 2024-12-14 1347 PE6U          599 30 K3QP          599 PA
QSO: 28051 CW 2024-12-14 1347 PE6U          599 31 W1BQ          599 FL
QSO: 28051 CW 2024-12-14 1348 PE6U          599 32 VA2IW         599 QC
QSO: 28051 CW 2024-12-14 1349 PE6U          599 36 K2GO          599 VA
QSO: 28051 CW 2024-12-14 1349 PE6U          599 033 K2RB          599 CT
QSO: 28051 CW 2024-12-14 1349 PE6U          599 035 N2YO          599 VA
QSO: 28051 CW 2024-12-14 1349 PE6U          599 034 UA6HFI        599 0104
QSO: 28051 CW 2024-12-14 1351 PE6U          599 38 N2TU          599 NC
QSO: 28051 CW 2024-12-14 1352 PE6U          599 39 PC7E          599 18
QSO: 28051 CW 2024-12-14 1352 PE6U          599 100 W1AST         599 MA
QSO: 28000 CW 2024-12-14 1353 PE6U          599 041 KA8WQL        599 OH
QSO: 28000 CW 2024-12-14 1354 PE6U          599 42 W4YE          599 VA
QSO: 28050 CW 2024-12-14 1356 PE6U          599 044 SP4Z          599 10
QSO: 28057 CW 2024-12-14 1356 PE6U          599 043 SV1IU         599 15
QSO: 28050 CW 2024-12-14 1357 PE6U          599 045 W3CB          599 MI
QSO: 28051 CW 2024-12-14 1358 PE6U          599 046 AC2YD         599 NJ
QSO: 28051 CW 2024-12-14 1359 PE6U          599 047 W1WIM         599 MA
QSO: 28051 CW 2024-12-14 1401 PE6U          599 48 N1DC          599 MA
QSO: 28000 CW 2024-12-14 1403 PE6U          599 51 N5CO          599 OK
QSO: 28051 CW 2024-12-14 1403 PE6U          599 52 AC9S          599 IL
QSO: 28051 CW 2024-12-14 1403 PE6U          599 53 W2CDO         599 MD
QSO: 28000 CW 2024-12-14 1405 PE6U          599 56 VA3FN         599 ON
QSO: 28051 CW 2024-12-14 1405 PE6U          599 57 W2QL          599 NC
QSO: 28051 CW 2024-12-14 1406 PE6U          599 59 VY2OX         599 PE
QSO: 28052 CW 2024-12-14 1406 PE6U          599 58 N4GG          599 GA
QSO: 28051 CW 2024-12-14 1407 PE6U          599 60 SM5CSS        599 83
QSO: 28051 CW 2024-12-14 1408 PE6U          599 62 K2QB          599 NY
QSO: 28051 CW 2024-12-14 1408 PE6U          599 061 K4PI          599 GA
QSO: 28051 CW 2024-12-14 1410 PE6U          599 65 KU8E          599 GA
QSO: 28051 CW 2024-12-14 1410 PE6U          599 66 NI7R          599 SC
QSO: 28051 CW 2024-12-14 1410 PE6U          599 064 WB8BZK        599 IL
QSO: 28050 CW 2024-12-14 1411 PE6U          599 67 AK1MD         599 MA
QSO: 28051 CW 2024-12-14 1412 PE6U          599 69 AH2O          599 NY
QSO: 28051 CW 2024-12-14 1412 PE6U          599 70 N0BUI         599 MN
QSO: 28051 CW 2024-12-14 1413 PE6U          599 71 PY2XL         599 79
QSO: 28051 CW 2024-12-14 1414 PE6U          599 73 K0AP          599 KS
QSO: 28051 CW 2024-12-14 1416 PE6U          599 75 K4GUF         599 TN
QSO: 28051 CW 2024-12-14 1418 PE6U          599 078 AA5AU         599 LA
