START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: ARRL-10
CALLSIGN: DL3AZ
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: DL3AZ
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for ARRL-10 ARRL/arrl_10_meter_contest/2024.
QSO: 28012 CW 2024-12-14 0921 DL3AZ         599 1 BA8CY         599 647
QSO: 28050 CW 2024-12-14 0924 DL3AZ         599 2 BI6LFJ        599 116
QSO: 28043 CW 2024-12-14 0931 DL3AZ         599 3 R7KZ          599 57
QSO: 28042 CW 2024-12-14 0932 DL3AZ         599 004 UC0A          599 193
QSO: 28003 CW 2024-12-14 0943 DL3AZ         599 006 R4WDX         599 371
QSO: 28007 CW 2024-12-14 0945 DL3AZ         599 007 RV3FF         599 363
QSO: 28009 CW 2024-12-14 0946 DL3AZ         599 8 UA9LAO        599 390
QSO: 28014 CW 2024-12-14 0947 DL3AZ         599 10 RG0A          599 605
QSO: 28014 CW 2024-12-14 0947 DL3AZ         599 9 UT8EU         599 201
QSO: 28014 CW 2024-12-14 0948 DL3AZ         599 11 UA6LUQ        599 24
QSO: 28018 CW 2024-12-14 0949 DL3AZ         599 012 RD0A          599 477
QSO: 28020 CW 2024-12-14 0952 DL3AZ         599 13 MM0T          599 107
QSO: 28048 CW 2024-12-14 0956 DL3AZ         599 15 RA3AN         599 189
QSO: 28050 CW 2024-12-14 0958 DL3AZ         599 16 CR3DX         599 304
QSO: 28053 CW 2024-12-14 0959 DL3AZ         599 017 UA9MA         599 417
QSO: 28055 CW 2024-12-14 1000 DL3AZ         599 18 RA9Y          599 707
QSO: 28055 CW 2024-12-14 1001 DL3AZ         599 019 UA4WAU        599 182
QSO: 28057 CW 2024-12-14 1002 DL3AZ         599 020 RK0UN         599 524
QSO: 28063 CW 2024-12-14 1003 DL3AZ         599 21 RK4FD         599 544
QSO: 28066 CW 2024-12-14 1005 DL3AZ         599 22 HB9CVQ        599 129
QSO: 28000 CW 2024-12-14 1008 DL3AZ         599 023 R4FDH         599 0059
QSO: 28083 CW 2024-12-14 1010 DL3AZ         599 24 R4GM          599 532
QSO: 28086 CW 2024-12-14 1011 DL3AZ         599 025 R1ZM          599 119
QSO: 28088 CW 2024-12-14 1012 DL3AZ         599 26 RA1QD         599 89
QSO: 28080 CW 2024-12-14 1015 DL3AZ         599 27 SV1RK         599 48
QSO: 28000 CW 2024-12-14 1016 DL3AZ         599 28 RD3FT         599 60
QSO: 28024 CW 2024-12-14 1035 DL3AZ         599 29 BG0DLA        599 171
QSO: 28026 CW 2024-12-14 1037 DL3AZ         599 30 RW1A          599 426
QSO: 28030 CW 2024-12-14 1039 DL3AZ         599 031 RM4F          599 478
QSO: 28035 CW 2024-12-14 1041 DL3AZ         599 32 P3X           599 700
QSO: 28035 CW 2024-12-14 1041 DL3AZ         599 33 RN4AO         599 63
QSO: 28035 CW 2024-12-14 1042 DL3AZ         599 034 R7KX          599 0085
QSO: 28039 CW 2024-12-14 1043 DL3AZ         599 035 RC9T          599 0256
QSO: 28046 CW 2024-12-14 1045 DL3AZ         599 036 EA7Q          599 217
QSO: 28066 CW 2024-12-14 1109 DL3AZ         599 037 UA6LCJ        599 176
QSO: 28067 CW 2024-12-14 1110 DL3AZ         599 038 R5DT          599 028
QSO: 28067 CW 2024-12-14 1111 DL3AZ         599 39 TA6B          599 58
QSO: 28067 CW 2024-12-14 1113 DL3AZ         599 41 UA4Z          599 402
QSO: 28067 CW 2024-12-14 1114 DL3AZ         599 142 RQ3A          599 250
QSO: 28000 CW 2024-12-14 1117 DL3AZ         599 059 IK0IXI        599 0023
QSO: 28067 CW 2024-12-14 1118 DL3AZ         599 44 RT5P          599 129
QSO: 28066 CW 2024-12-14 1119 DL3AZ         599 045 R9MA          599 409
QSO: 28066 CW 2024-12-14 1120 DL3AZ         599 046 UW1M          599 537
QSO: 28000 CW 2024-12-14 1122 DL3AZ         599 47 OG8M          599 135
QSO: 28066 CW 2024-12-14 1122 DL3AZ         599 048 US1VM         599 082
QSO: 28000 CW 2024-12-14 1125 DL3AZ         599 50 UT7EZ         599 157
QSO: 28066 CW 2024-12-14 1128 DL3AZ         599 051 RA7C          599 114
QSO: 28000 CW 2024-12-14 1130 DL3AZ         599 052 US5VX         599 103
QSO: 28049 CW 2024-12-14 1307 DL3AZ         599 054 R7KO          599 065
QSO: 28049 CW 2024-12-14 1309 DL3AZ         599 054 DL5XL         599 62
QSO: 28049 CW 2024-12-14 1312 DL3AZ         599 55 JH4UTP        599 697
QSO: 28049 CW 2024-12-14 1313 DL3AZ         599 56 PY1AX         599 182
QSO: 28000 CW 2024-12-14 1314 DL3AZ         599 057 R1QE          599 078
QSO: 28049 CW 2024-12-14 1315 DL3AZ         599 58 VA3TMV        599 ON
QSO: 28049 CW 2024-12-14 1318 DL3AZ         599 59 JA6GCE        599 233
QSO: 28049 CW 2024-12-14 1319 DL3AZ         599 060 R9AE          599 613
QSO: 28048 CW 2024-12-14 1320 DL3AZ         599 062 UA4C          599 274
QSO: 28049 CW 2024-12-14 1320 DL3AZ         599 61 N3AM          599 MD
QSO: 28000 CW 2024-12-14 1321 DL3AZ         599 063 UA4HEZ        599 158
QSO: 28000 CW 2024-12-14 1322 DL3AZ         599 64 UR6QS         599 85
QSO: 28049 CW 2024-12-14 1323 DL3AZ         599 55 ON5JT         599 141
QSO: 28049 CW 2024-12-14 1324 DL3AZ         599 066 UA6LQ         599 0256
QSO: 28059 CW 2024-12-14 1329 DL3AZ         599 67 AA3B          599 PA
QSO: 28105 CW 2024-12-14 1334 DL3AZ         599 68 KU8E          599 GA
QSO: 28120 CW 2024-12-14 1335 DL3AZ         599 69 W4PM          599 VA
QSO: 28110 CW 2024-12-14 1336 DL3AZ         599 070 K3MD          599 PA
QSO: 28063 CW 2024-12-14 1337 DL3AZ         599 071 K3WW          599 NJ
QSO: 28062 CW 2024-12-14 1338 DL3AZ         599 073 K1DG          599 NH
QSO: 28068 CW 2024-12-14 1340 DL3AZ         599 75 N2RC          599 NY
QSO: 28020 CW 2024-12-14 1359 DL3AZ         599 77 KO8SCA        599 NY
QSO: 28064 CW 2024-12-14 1400 DL3AZ         599 079 K3UL          599 PA
QSO: 28103 CW 2024-12-14 1400 DL3AZ         599 79 VE3EJ         599 ON
QSO: 28137 CW 2024-12-14 1401 DL3AZ         599 80 N5TJ          599 TX
QSO: 28109 CW 2024-12-14 1404 DL3AZ         599 81 N6NT          599 NC
QSO: 28008 CW 2024-12-14 1407 DL3AZ         599 082 K1AR          599 NH
QSO: 28026 CW 2024-12-14 1408 DL3AZ         599 83 N3RS          599 PA
QSO: 28123 CW 2024-12-14 1412 DL3AZ         599 084 N0AV          599 IA
QSO: 28047 CW 2024-12-14 1413 DL3AZ         599 85 K2LE          599 VT
QSO: 28015 CW 2024-12-14 1415 DL3AZ         599 86 VA3TNM        599 ON
QSO: 28015 CW 2024-12-14 1416 DL3AZ         599 087 VE3SMA        599 ON
QSO: 28015 CW 2024-12-14 1418 DL3AZ         599 089 PY3TD         599 122
QSO: 28015 CW 2024-12-14 1418 DL3AZ         599 88 VE3YT         599 ON
QSO: 28015 CW 2024-12-14 1420 DL3AZ         599 90 K4OV          599 NC
