START-OF-LOG: 3.0
CONTEST: CQ-160-CW
CALLSIGN: DL7ET
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: 160M
CATEGORY-POWER: QRP
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
GRID-LOCATOR:
CLAIMED-SCORE:
NAME: Veit Pelinski
CREATED-BY: Log Projekt by DH0HQI
SOAPBOX: 7,5m long vertical with 1:9 unun abt 8m over ground
QSO:    1810 CW 2024-01-26 2202 DL7ET            599 14    OK7K             599  15       
QSO:    1810 CW 2024-01-26 2202 DL7ET            599 14    DP9A             599  14       
QSO:    1810 CW 2024-01-26 2203 DL7ET            599 14    DJ0MDR           599  14       
QSO:    1810 CW 2024-01-26 2203 DL7ET            599 14    SP8R             599  15       
QSO:    1810 CW 2024-01-26 2204 DL7ET            599 14    DL1BUG           599  14       
QSO:    1810 CW 2024-01-26 2206 DL7ET            599 14    OK5T             599  15       
QSO:    1810 CW 2024-01-26 2211 DL7ET            599 14    9A5W             599  15       
QSO:    1810 CW 2024-01-26 2212 DL7ET            599 14    S50C             599  15       
QSO:    1810 CW 2024-01-26 2213 DL7ET            599 14    OM5R             599  15       
QSO:    1810 CW 2024-01-26 2216 DL7ET            599 14    DK1AX            599  14       
QSO:    1810 CW 2024-01-26 2217 DL7ET            599 14    9A5Y             599  15       
QSO:    1810 CW 2024-01-26 2218 DL7ET            599 14    SN2B             599  15       
QSO:    1810 CW 2024-01-26 2218 DL7ET            599 14    YT7KM            599  15       
END-OF-LOG:
