START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-CW
CALLSIGN: EI5DI
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: EI5DI
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-CW CQWPX/cw/2010.
QSO: 14012 CW 2010-05-29 0926 EI5DI         599 S50K          599 699
QSO: 14000 CW 2010-05-29 0927 EI5DI         599 2 OL9Z          599 462
QSO: 14000 CW 2010-05-29 0928 EI5DI         599 003 UW1M          599 945
QSO: 14014 CW 2010-05-29 0928 EI5DI         599 4 S59N          599 232
QSO: 14006 CW 2010-05-29 0930 EI5DI         599 005 OL7C          599 0556
QSO: 21000 CW 2010-05-29 0934 EI5DI         599 009 DC9ZP         599 257
QSO: 21000 CW 2010-05-29 0934 EI5DI         599 008 LZ9W          599 0537
QSO: 21042 CW 2010-05-29 0934 EI5DI         599 0007 OL1C          599 0100
QSO: 21012 CW 2010-05-29 0939 EI5DI         599 12 PA3DBS        599 103
QSO: 21018 CW 2010-05-29 0940 EI5DI         599 013 IQ2CJ         599 0434
QSO: 21020 CW 2010-05-29 0942 EI5DI         599 015 DM9K          599 0175
QSO: 21024 CW 2010-05-29 0945 EI5DI         599 018 DD2ML         599 0096
QSO: 28004 CW 2010-05-30 1652 EI5DI         599 0020 YT1R          599 2572
QSO: 28000 CW 2010-05-30 1653 EI5DI         599 0021 EW1IP         599 1387
QSO: 28004 CW 2010-05-30 1655 EI5DI         599 0024 SE0X          599 1099
QSO: 28001 CW 2010-05-30 1658 EI5DI         599 0026 OL26LP        599 1013
QSO: 28001 CW 2010-05-30 1659 EI5DI         599 0027 DL5ARM        599 0445
QSO: 28000 CW 2010-05-30 1700 EI5DI         599 030 DL5YL         599 0751
QSO: 28000 CW 2010-05-30 1701 EI5DI         599 0029 F5SGI         599 0351
QSO: 28000 CW 2010-05-30 1702 EI5DI         599 33 EU8RZ         599 1184
QSO: 28000 CW 2010-05-30 1702 EI5DI         599 31 UT5UIA        599 1203
QSO: 28000 CW 2010-05-30 1703 EI5DI         599 0034 OK1HGM        599 0769
QSO: 28000 CW 2010-05-30 1704 EI5DI         599 037 DL5ST         599 380
QSO: 28000 CW 2010-05-30 1704 EI5DI         599 036 DR1A          599 0869
QSO: 28000 CW 2010-05-30 1705 EI5DI         599 039 DL3BVA        599 073
QSO: 28000 CW 2010-05-30 1705 EI5DI         599 035 SN2MTBO       599 441
QSO: 28000 CW 2010-05-30 1706 EI5DI         599 0041 DL1BA         599 0320
QSO: 28000 CW 2010-05-30 1706 EI5DI         599 040 EW1BA         599 120
QSO: 28000 CW 2010-05-30 1707 EI5DI         599 043 SC3N          599 1094
QSO: 28000 CW 2010-05-30 1708 EI5DI         599 0044 DK7ZH         599 0190
QSO: 28000 CW 2010-05-30 1708 EI5DI         599 047 SO9Q          599 2919
QSO: 28000 CW 2010-05-30 1708 EI5DI         599 045 UR5KED        599 213
QSO: 28000 CW 2010-05-30 1709 EI5DI         599 0048 SP2QG         599 1401
QSO: 28000 CW 2010-05-30 1710 EI5DI         599 0050 TC7M          599 2380
QSO: 28000 CW 2010-05-30 1711 EI5DI         599 0051 UU2JG         599 0046
QSO: 28000 CW 2010-05-30 1712 EI5DI         599 054 E73M          599 3636
QSO: 28000 CW 2010-05-30 1712 EI5DI         599 53 LZ5R          599 809
QSO: 28000 CW 2010-05-30 1713 EI5DI         599 0055 SO6I          599 1480
