START-OF-LOG: 3.0
CONTEST: EA-MAJESTAD-CW
CALLSIGN: EA5VK
CATEGORY: SINGLE-OP ALL LOW
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-POWER: 
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: FIXED
CATEGORY-ASSISTED: NON-ASSISTED
LOCATION: DX
CLAIMED-SCORE: 13690
CLUB:
NAME: JOSE LUIS MARTI FABRA
OPERATORS: 
CREATED-BY: ADIF2CABR V.3.10 (C) SP7DQR
SOAPBOX: ANTENAS: 10, 15, 20 M. VERTICAL CP6, 40 M. RANDOM WIRE DE 16.60 
SOAPBOX: M. Y DIPOLO RÌGIDO CORTO CON BOBINAS. 80 M. HILO LARGO . (RANDOM 
SOAPBOX: WIRE )
SOAPBOX: POTENCIA 50 W. EQUIPO ICOM IC756 PADDLE SCULPTURE DE BEGALI. 
SOAPBOX: KEYER W5UXH. AURICULARES VINTAGE, PARA GALENA. HI!!!
QSO: 28025 CW 2017-05-21 1055 EA5VK          599 CS EA3GP          599 T 
QSO: 28025 CW 2017-05-21 1054 EA5VK          599 CS PA4VHF         599 399 
QSO: 28025 CW 2017-05-21 1052 EA5VK          599 CS ON8VT          599 8 
QSO: 28024 CW 2017-05-21 1049 EA5VK          599 CS EA5GX          599 CS 
QSO: 28024 CW 2017-05-21 1048 EA5VK          599 CS DL8QS          599 93 
QSO: 28024 CW 2017-05-21 1046 EA5VK          599 CS G4LJU          599 99 
QSO: 28024 CW 2017-05-21 1045 EA5VK          599 CS DF3EH          599 92 
QSO: 28024 CW 2017-05-21 1042 EA5VK          599 CS PA0MBD         599 205 
QSO: 28012 CW 2017-05-21 1036 EA5VK          599 CS DJ9RR          599 139 
QSO: 28012 CW 2017-05-21 1035 EA5VK          599 CS DJ2BC          599 23 
QSO: 28025 CW 2017-05-21 1030 EA5VK          599 CS LZ7A           599 20 
QSO: 28025 CW 2017-05-21 1028 EA5VK          599 CS EA5TV          599 CS 
QSO: 28025 CW 2017-05-21 1026 EA5VK          599 CS PA5WT          599 302 
QSO: 28025 CW 2017-05-21 1026 EA5VK          599 CS DL5XJ          599 170 
QSO: 28025 CW 2017-05-21 1024 EA5VK          599 CS ON5JT          599 388 
QSO: 21011 CW 2017-05-21 1021 EA5VK          599 CS DL5XJ          599 167 
QSO: 21011 CW 2017-05-21 1019 EA5VK          599 CS EC5CR          599 V 
QSO: 21011 CW 2017-05-21 1017 EA5VK          599 CS ON5JT          599 382 
QSO: 21011 CW 2017-05-21 1016 EA5VK          599 CS DJ3JD          599 103 
QSO: 21011 CW 2017-05-21 1015 EA5VK          599 CS UT1DX          599 103 
QSO: 21011 CW 2017-05-21 1002 EA5VK          599 CS DJ6TK          599 37 
