START-OF-LOG: 3.0
CREATED-BY: GenLog v8.26
LOCATION: DX
CONTEST: EA-MAJESTAD-CW
CALLSIGN: PA0RBA/P
CATEGORY: SINGLE-OP ALL LOW
CATEGORY-POWER: 
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 2448
OPERATORS: PA0RBA
NAME: Rienus Bakker
SOAPBOX: /P WITH 10 WATTS FROM THE ISLAND TERSCHELLING (IOTA EU-038)
QSO: 14000 CW 2017-05-20 1509 PA0RBA/P        599 001   EA2KV         599 Z
QSO: 14000 CW 2017-05-20 1512 PA0RBA/P        599 002   IZ2ZZB        599 091
QSO: 14000 CW 2017-05-20 1518 PA0RBA/P        599 003   EF1A          599 C
QSO: 14000 CW 2017-05-20 1522 PA0RBA/P        599 004   YT1A          599 225
QSO: 14000 CW 2017-05-20 1534 PA0RBA/P        599 005   EA4FL/P       599 GU
QSO: 14000 CW 2017-05-20 1538 PA0RBA/P        599 006   EA5WU         599 CS
QSO: 14000 CW 2017-05-20 1550 PA0RBA/P        599 007   EF0F          599 SMR
QSO: 14000 CW 2017-05-20 1554 PA0RBA/P        599 008   EA5FIV        599 A
QSO: 14000 CW 2017-05-20 1556 PA0RBA/P        599 009   EA3IN         599 B
QSO: 14000 CW 2017-05-20 1604 PA0RBA/P        599 010   EC5CR         599 V
QSO:  7000 CW 2017-05-20 1904 PA0RBA/P        599 011   EA1FA         599 O
QSO:  7000 CW 2017-05-20 1907 PA0RBA/P        599 012   EF0F          599 SMR
QSO:  7000 CW 2017-05-20 1910 PA0RBA/P        599 013   YT6W          599 438
QSO:  7000 CW 2017-05-20 1914 PA0RBA/P        599 014   IZ4ZZB        599 191
QSO:  7000 CW 2017-05-20 1917 PA0RBA/P        599 015   S500R         599 034
QSO:  7000 CW 2017-05-20 1932 PA0RBA/P        599 016   EF8U          599 GC
QSO:  7000 CW 2017-05-20 1936 PA0RBA/P        599 017   EA5WU         599 CS
QSO:  7000 CW 2017-05-20 1941 PA0RBA/P        599 018   HG8C          599 158
QSO:  7000 CW 2017-05-20 1943 PA0RBA/P        599 019   LY3X          599 049
QSO:  7000 CW 2017-05-20 1951 PA0RBA/P        599 020   EA1WD         599 S
QSO:  7000 CW 2017-05-20 2000 PA0RBA/P        599 021   F5VLY         599 068
QSO:  7000 CW 2017-05-20 2003 PA0RBA/P        599 022   EA4SG         599 M
QSO:  7000 CW 2017-05-20 2008 PA0RBA/P        599 023   F5VMN         599 280
QSO:  7000 CW 2017-05-20 2011 PA0RBA/P        599 024   EA1VT         599 C
QSO:  7000 CW 2017-05-20 2013 PA0RBA/P        599 025   EI5KF         599 371
QSO:  7000 CW 2017-05-21 0737 PA0RBA/P        599 026   EA5KV         599 V
QSO:  7000 CW 2017-05-21 0745 PA0RBA/P        599 027   DL4ME         599 107
QSO: 14000 CW 2017-05-21 0752 PA0RBA/P        599 028   ED9T          599 ML
QSO: 14000 CW 2017-05-21 0756 PA0RBA/P        599 030   YL5U          599 074
QSO: 14000 CW 2017-05-21 0759 PA0RBA/P        599 031   EV6Z          599 074
QSO: 14000 CW 2017-05-21 0801 PA0RBA/P        599 032   S51DX         599 497
QSO: 14000 CW 2017-05-21 0803 PA0RBA/P        599 033   9A1CFR        599 204
QSO: 14000 CW 2017-05-21 0806 PA0RBA/P        599 034   OK4RQ         599 121
QSO: 14000 CW 2017-05-21 0807 PA0RBA/P        599 035   EA1WX         599 O
QSO: 14000 CW 2017-05-21 0811 PA0RBA/P        599 036   IK2SND        599 198
QSO: 14000 CW 2017-05-21 0811 PA0RBA/P        599 037   SP9A          599 109
END-OF-LOG:
