START-OF-LOG: 2.0
CREATED-BY: Win-Test 4.24.0
CONTEST: EA-MAJESTAD-CW
URE-SECTION: DX
CALLSIGN: G6X
CATEGORY: SINGLE-OP ALL QRP
CLAIMED-SCORE: 2356
OPERATORS: M0KLO
NAME: 
SOAPBOX: Just handing out a few points. Always great fun though. 
QSO: 14047 CW 2017-05-21 0858 G6X           599 001    RK4FF         599 529   
QSO: 14047 CW 2017-05-21 0900 G6X           599 002    YT1A          599 519   
QSO: 14042 CW 2017-05-21 0901 G6X           599 003    LZ1ND         599 426   
QSO: 14023 CW 2017-05-21 0906 G6X           599 004    OK2EA         599 364   
QSO:  7006 CW 2017-05-21 0910 G6X           599 005    EF0F          599 SMR   
QSO:  7008 CW 2017-05-21 0912 G6X           599 006    F5VMN         599 448   
QSO:  7018 CW 2017-05-21 0916 G6X           599 007    DL8CO         599 023   
QSO: 28021 CW 2017-05-21 0918 G6X           599 008    ED4T          599 TO    
QSO: 28048 CW 2017-05-21 0921 G6X           599 009    ED2R          599 VI    
QSO: 21007 CW 2017-05-21 0922 G6X           599 010    EF0F          599 SMR   
QSO: 21018 CW 2017-05-21 0936 G6X           599 011    EF1A          599 ENN   
QSO: 21031 CW 2017-05-21 0946 G6X           599 012    G3SQU         599 028   
QSO: 21044 CW 2017-05-21 0950 G6X           599 013    EA7PP         599 SE    
QSO: 21025 CW 2017-05-21 0952 G6X           599 014    EA2BD         599 NA    
QSO: 14015 CW 2017-05-21 0953 G6X           599 015    EF5T          599 MU    
QSO: 14017 CW 2017-05-21 0954 G6X           599 016    S51DX         599 582   
QSO: 14031 CW 2017-05-21 1008 G6X           599 017    LZ7A          599 470   
QSO: 14043 CW 2017-05-21 1014 G6X           599 018    EA5FIV        599 A     
QSO: 28032 CW 2017-05-21 1016 G6X           599 019    EA1WD         599 S     
QSO: 28029 CW 2017-05-21 1042 G6X           599 020    EA2OT         599 CS    
QSO: 28025 CW 2017-05-21 1044 G6X           599 021    EA1DAV        599 C     
QSO: 28023 CW 2017-05-21 1050 G6X           599 022    EF5T          599 MU    
QSO: 14039 CW 2017-05-21 1054 G6X           599 023    UT3CP         599 209   
QSO: 14040 CW 2017-05-21 1055 G6X           599 024    EF0F          599 SMR   
QSO: 28021 CW 2017-05-21 1057 G6X           599 025    EF0F          599 SMR   
QSO: 14032 CW 2017-05-21 1059 G6X           599 026    ES5QD         599 244   
QSO: 14034 CW 2017-05-21 1102 G6X           599 027    EV6Z          599 203   
QSO: 14039 CW 2017-05-21 1104 G6X           599 028    LZ1QZ         599 284   
QSO: 14042 CW 2017-05-21 1109 G6X           599 029    EC5CR         599 V     
QSO: 14045 CW 2017-05-21 1112 G6X           599 030    RA3NC         599 203   
QSO: 14045 CW 2017-05-21 1113 G6X           599 031    UA3MIF        599 070   
QSO: 14055 CW 2017-05-21 1117 G6X           599 032    OF2KM         599 183   
QSO: 28030 CW 2017-05-21 1124 G6X           599 033    EA5FX         599 CS    
QSO: 28028 CW 2017-05-21 1126 G6X           599 034    EA5DD         599 A     
QSO: 14035 CW 2017-05-21 1134 G6X           599 035    UR7GO         599 832   
QSO: 14034 CW 2017-05-21 1136 G6X           599 036    LY2PX         599 062   
QSO: 14031 CW 2017-05-21 1137 G6X           599 037    YQ6A          599 252   
QSO: 14023 CW 2017-05-21 1142 G6X           599 038    EF5Y          599 A     
QSO: 28013 CW 2017-05-21 1151 G6X           599 039    EA2HW         599 SS    
END-OF-LOG:
