START-OF-LOG: 2.0
CREATED-BY: QARTest 14.12.1
CONTEST: REF-SSB
REF-SECTION: 59
CALLSIGN: F5RKG
CATEGORY: SINGLE-OP ALL LOW
CLAIMED-SCORE: 305435
NAME: Eric TERRIER
GRID-LOCATOR: JO10OO
SOAPBOX: J'ai passé un agréable moment, merci à tous. Je n'ai malheureusement pas 
SOAPBOX: pu participer le dimanche après-midi ayant un autre engagement.
QSO:  3500 PH 2025-02-22 0603 F5RKG         59  59     TM5TT         59  41     
QSO:  3500 PH 2025-02-22 0607 F5RKG         59  59     F6FET         59  53     
QSO:  3500 PH 2025-02-22 0610 F5RKG         59  59     F8KHO         59  51     
QSO:  3500 PH 2025-02-22 0611 F5RKG         59  59     F4CWN         59  32     
QSO:  3500 PH 2025-02-22 0612 F5RKG         59  59     F4FET/P       59  29     
QSO:  3500 PH 2025-02-22 0613 F5RKG         59  59     F4WDL         59  33     
QSO:  3500 PH 2025-02-22 0614 F5RKG         59  59     F5IRP         59  85     
QSO:  3500 PH 2025-02-22 0623 F5RKG         59  59     F4DSK         59  18     
QSO:  3500 PH 2025-02-22 0624 F5RKG         59  59     TM1C          59  31     
QSO:  3500 PH 2025-02-22 0626 F5RKG         59  59     F4HYT         59  19     
QSO:  3500 PH 2025-02-22 0634 F5RKG         59  59     F5KAR         59  76     
QSO:  3500 PH 2025-02-22 0636 F5RKG         59  59     F5BMI         59  46     
QSO:  3500 PH 2025-02-22 0641 F5RKG         59  59     F4HIK         59  86     
QSO:  3500 PH 2025-02-22 0641 F5RKG         59  59     F6KOP         59  77     
QSO:  3500 PH 2025-02-22 0653 F5RKG         59  59     F4DPW         59  95     
QSO:  3500 PH 2025-02-22 0701 F5RKG         59  59     TM2RJ         59  45     
QSO:  3500 PH 2025-02-22 0706 F5RKG         59  59     F5MNC         59  41     
QSO:  7000 PH 2025-02-22 0710 F5RKG         59  59     F4HRM         59  79     
QSO:  7000 PH 2025-02-22 0717 F5RKG         59  59     F6KOP         59  77     
QSO:  7000 PH 2025-02-22 0718 F5RKG         59  59     F5RAV         59  27     
QSO:  7000 PH 2025-02-22 0719 F5RKG         59  59     F5OHM         59  36     
QSO:  7000 PH 2025-02-22 0722 F5RKG         59  59     F5TDK         59  91     
