START-OF-LOG: 3.0
LOCATION: DX
CALLSIGN: VK4BL
CLUB:
CONTEST: CQ-WPX-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: RTTY
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: TB-WIRES
CLAIMED-SCORE: 21300
OPERATORS: VK4BL
SOAPBOX: Icom 718 EFW on balcony about 13 feet above ground
SOAPBOX: 75w Signalink USB
SOAPBOX: N1MM+  Win 10
SOAPBOX: Had a ball!! See you all next year.
NAME: AL
CREATED-BY: N1MM Logger+ 1.0.5472.0
QSO: 21094 RY 2016-02-13 0014 VK4BL         599 0001   DX3R          599 0010
QSO: 21089 RY 2016-02-13 0026 VK4BL         599 0002   YD9SBP        599 0005
QSO: 21096 RY 2016-02-13 0042 VK4BL         599 0003   RW0A          599 0003
QSO: 21111 RY 2016-02-13 0056 VK4BL         599 0004   A31MM         599 0053
QSO: 21006 RY 2016-02-13 0120 VK4BL         599 0005   JL3JRY        599 0052
QSO: 21097 RY 2016-02-13 0157 VK4BL         599 0006   JA7BME        599 0065
QSO: 28090 RY 2016-02-13 0303 VK4BL         599 0007   RW0A          599 0081
QSO: 28099 RY 2016-02-13 0304 VK4BL         599 0008   JJ4CDW        599 0022
QSO: 21097 RY 2016-02-13 0311 VK4BL         599 0009   JG4AKL        599 0055
QSO: 28086 RY 2016-02-13 0317 VK4BL         599 0010   E20QD         599 0045
QSO: 21106 RY 2016-02-13 0328 VK4BL         599 0011   BX4AG         599 0054
QSO: 21100 RY 2016-02-13 0349 VK4BL         599 0012   YB9WZJ        599 0032
QSO: 21097 RY 2016-02-13 0353 VK4BL         599 0013   ZL1BYZ        599 0178
QSO: 21092 RY 2016-02-13 0357 VK4BL         599 0014   RU0LL         599 0029
QSO: 21100 RY 2016-02-13 0359 VK4BL         599 0015   ZL4PW         599 0022
QSO: 21104 RY 2016-02-13 0415 VK4BL         599 0016   RK0UT         599 0129
QSO: 21100 RY 2016-02-13 0418 VK4BL         599 0017   YD9SOQ        599 0003
QSO: 14111 RY 2016-02-13 0759 VK4BL         599 0018   JA1ZGO        599 0095
QSO: 21092 RY 2016-02-13 0810 VK4BL         599 0019   BD3CB         599 0367
QSO: 21109 RY 2016-02-13 0817 VK4BL         599 0020   SM6NOC        599 0087
QSO: 21115 RY 2016-02-13 0819 VK4BL         599 0021   OG2P          599 0264
QSO: 14109 RY 2016-02-13 0828 VK4BL         599 0022   RW0A          599 0303
QSO: 14088 RY 2016-02-13 0831 VK4BL         599 0023   CE2LS         599 0243
QSO: 21085 RY 2016-02-13 0833 VK4BL         599 0024   YB0NDT        599 0293
QSO: 21101 RY 2016-02-13 0837 VK4BL         599 0025   SM6BGG        599 0219
QSO:  7041 RY 2016-02-13 0846 VK4BL         599 0026   ZM3T          599 0024
QSO: 14118 RY 2016-02-13 0907 VK4BL         599 0027   LY98O         599 0428
QSO: 14092 RY 2016-02-13 0914 VK4BL         599 0028   YB1FWO        599 0035
QSO:  7036 RY 2016-02-13 0919 VK4BL         599 0029   JH7QXJ        599 0004
QSO: 14111 RY 2016-02-13 0925 VK4BL         599 0030   DX3R          599 0258
QSO: 14105 RY 2016-02-13 0928 VK4BL         599 0031   VK4BRT        599 0134
QSO: 14110 RY 2016-02-13 0942 VK4BL         599 0032   A31MM         599 0290
QSO: 14090 RY 2016-02-13 0947 VK4BL         599 0033   CB1H          599 0250
QSO: 14085 RY 2016-02-13 0949 VK4BL         599 0034   HL4RBR        599 0252
QSO: 14120 RY 2016-02-13 1017 VK4BL         599 0035   EI7M          599 0007
QSO: 14092 RY 2016-02-13 1024 VK4BL         599 0036   VK6GOM        599 0033
QSO: 14091 RY 2016-02-13 1027 VK4BL         599 0037   YL6W          599 0215
QSO:  7037 RY 2016-02-13 1031 VK4BL         599 0038   VK4BRT        599 0148
QSO: 14090 RY 2016-02-13 1040 VK4BL         599 0039   DP7D          599 0534
QSO: 14116 RY 2016-02-13 1043 VK4BL         599 0040   SP3GXH        599 0089
QSO: 14103 RY 2016-02-13 1204 VK4BL         599 0041   OL7M          599 0859
QSO: 21087 RY 2016-02-13 1211 VK4BL         599 0042   3Z5N          599 0400
QSO: 21111 RY 2016-02-13 1216 VK4BL         599 0043   HA8JV         599 0322
QSO: 21084 RY 2016-02-13 1218 VK4BL         599 0044   9A1A          599 0407
QSO: 21116 RY 2016-02-13 1223 VK4BL         599 0045   DO9EE         599 0017
QSO: 21102 RY 2016-02-13 1227 VK4BL         599 0046   UN4PG         599 0424
QSO: 14084 RY 2016-02-13 1229 VK4BL         599 0047   DM1A          599 0289
QSO: 14107 RY 2016-02-13 1232 VK4BL         599 0048   SM6BGG        599 0361
QSO: 14112 RY 2016-02-13 1233 VK4BL         599 0049   SM6NOC        599 0331
QSO: 14122 RY 2016-02-13 1235 VK4BL         599 0050   YL9T          599 0286
QSO: 14090 RY 2016-02-13 1245 VK4BL         599 0051   A71AE         599 0353
QSO: 14105 RY 2016-02-13 1248 VK4BL         599 0052   OH5C          599 0297
QSO: 14082 RY 2016-02-13 1300 VK4BL         599 0053   RK4FF         599 0465
QSO: 14092 RY 2016-02-13 1308 VK4BL         599 0054   YL4U          599 0333
QSO: 14097 RY 2016-02-13 1314 VK4BL         599 0055   EA3AQ         599 0406
