START-OF-LOG: 3.0
CREATED-BY: DXLog.net v2.6.16
CONTEST: EA-MAJESTAD-CW
CALLSIGN: I2WIJ
CATEGORY: SINGLE-OP ALL LOW
GRID-LOCATOR: JN45OK
CLAIMED-SCORE: 48000
CLUB: Italian Contest Club
NAME: Roberto Soro
CERTIFICATE: YES
SOAPBOX: I sent twice the qso number 45 due to operating mistake.
SOAPBOX: thanks for a nice contest!
QSO: 14022 CW 2025-05-17 1928 I2WIJ         599 001    4L8A          599 376    0  
QSO: 14018 CW 2025-05-17 1928 I2WIJ         599 002    EA1X          599 C      0  
QSO: 14011 CW 2025-05-17 1932 I2WIJ         599 003    ME5W          599 349    0  
QSO: 14017 CW 2025-05-17 1933 I2WIJ         599 004    RW1A          599 366    0  
QSO: 14018 CW 2025-05-17 1934 I2WIJ         599 005    N6AR          599 069    0  
QSO:  7033 CW 2025-05-17 1936 I2WIJ         599 006    ON4CAU        599 168    1  
QSO:  7032 CW 2025-05-17 1937 I2WIJ         599 007    LZ5Y          599 210    1  
QSO:  7031 CW 2025-05-17 1937 I2WIJ         599 008    OM3BY         599 104    1  
QSO:  7029 CW 2025-05-17 1938 I2WIJ         599 009    IT9IVU        599 354    1  
QSO: 14026 CW 2025-05-17 1939 I2WIJ         599 010    ED7W          599 CO     0  
QSO: 14029 CW 2025-05-17 1940 I2WIJ         599 011    R9GM          599 111    0  
QSO:  7028 CW 2025-05-17 1941 I2WIJ         599 012    ZA1EM         599 211    1  
QSO: 14029 CW 2025-05-17 1941 I2WIJ         599 013    LY1DZ         599 123    0  
QSO: 14014 CW 2025-05-17 1943 I2WIJ         599 014    HA4FB         599 065    0  
QSO: 14010 CW 2025-05-17 1945 I2WIJ         599 015    UA9CTT        599 045    0  
QSO:  7026 CW 2025-05-17 1946 I2WIJ         599 016    PC6R          599 070    1  
QSO: 14010 CW 2025-05-17 1947 I2WIJ         599 017    R3EG          599 396    0  
QSO: 14010 CW 2025-05-17 1947 I2WIJ         599 018    SP9DTE        599 087    0  
QSO: 14010 CW 2025-05-17 1947 I2WIJ         599 019    DL9ZP         599 053    0  
QSO:  7023 CW 2025-05-17 1949 I2WIJ         599 020    YU5R          599 515    1  
QSO:  7023 CW 2025-05-17 1949 I2WIJ         599 021    SP4G          599 098    1  
QSO:  7021 CW 2025-05-17 1950 I2WIJ         599 022    DL1CW         599 185    1  
QSO:  7021 CW 2025-05-17 1951 I2WIJ         599 023    DL6KVA        599 344    1  
QSO:  7020 CW 2025-05-17 1951 I2WIJ         599 024    IV3AZV        599 065    1  
QSO:  7018 CW 2025-05-17 1952 I2WIJ         599 025    G4BJM         599 398    1  
QSO: 14010 CW 2025-05-17 1953 I2WIJ         599 026    EA4FME        599 M      0  
QSO:  7020 CW 2025-05-17 1953 I2WIJ         599 027    ED1R          599 AV     1  
QSO:  7019 CW 2025-05-17 1953 I2WIJ         599 028    PA4DOC        599 038    1  
QSO:  7014 CW 2025-05-17 1955 I2WIJ         599 029    Z39A          599 199    1  
QSO:  7014 CW 2025-05-17 1956 I2WIJ         599 030    YO8RXP        599 076    1  
QSO:  7013 CW 2025-05-17 1956 I2WIJ         599 031    OK2TJ         599 305    1  
QSO: 14010 CW 2025-05-17 1957 I2WIJ         599 032    UA9XO         599 050    0  
QSO: 14010 CW 2025-05-17 1958 I2WIJ         599 033    WJ1U          599 022    0  
QSO:  7011 CW 2025-05-17 1959 I2WIJ         599 034    RW1A          599 395    1  
QSO:  7011 CW 2025-05-17 2000 I2WIJ         599 035    EF5Q          599 CS     1  
QSO: 14010 CW 2025-05-17 2000 I2WIJ         599 036    EE4Y          599 TO     0  
QSO:  7010 CW 2025-05-17 2001 I2WIJ         599 037    HA2KMR        599 273    1  
QSO:  7009 CW 2025-05-17 2002 I2WIJ         599 038    EA7LHC        599 MA     1  
QSO:  7010 CW 2025-05-17 2003 I2WIJ         599 039    EA5ITT        599 A      1  
QSO: 14010 CW 2025-05-17 2005 I2WIJ         599 040    P3X           599 903    0  
QSO:  7010 CW 2025-05-17 2005 I2WIJ         599 041    MM2T          599 241    1  
QSO: 14010 CW 2025-05-17 2006 I2WIJ         599 042    PY1AX         599 078    0  
QSO:  7005 CW 2025-05-17 2007 I2WIJ         599 043    EA3X          599 B      1  
