START-OF-LOG: 3.0
CONTEST: EA-MAJESTAD-CW
CALLSIGN: SP7JDI
CATEGORY: SINGLE-OP ALL LOW
LOCATION: DX
CLAIMED-SCORE: 13148
CLUB:
NAME: GRZEGORZ GAJKOWSKI
OPERATORS: 
CREATED-BY: ADIF2CABR V.3.10 (C) SP7DQR
SOAPBOX: FTDX-10 100W AND WINDOM FD-3 ANT. (20,5 M OF WIRE)
QSO: 14015 CW 2025-05-17 1211 SP7JDI        599 001 S51DX         599 024 
QSO: 14018 CW 2025-05-17 1213 SP7JDI        599 002 R5QQ          599 015 
QSO: 14007 CW 2025-05-17 1216 SP7JDI        599 003 LZ1GU         599 035 
QSO: 14011 CW 2025-05-17 1218 SP7JDI        599 004 RW7F          599 040 
QSO: 21035 CW 2025-05-17 1220 SP7JDI        599 005 IQ9RG         599 043 
QSO: 21027 CW 2025-05-17 1224 SP7JDI        599 006 EA1X          599 C 
QSO: 14024 CW 2025-05-17 1228 SP7JDI        599 007 EA6NB         599 IB 
QSO: 14028 CW 2025-05-17 1232 SP7JDI        599 008 R3EG          599 055 
QSO: 14031 CW 2025-05-17 1233 SP7JDI        599 009 G4BJM         599 069 
QSO: 14032 CW 2025-05-17 1234 SP7JDI        599 010 CT7BJG        599 060 
QSO: 14016 CW 2025-05-17 1239 SP7JDI        599 011 IT9RZU        599 042 
QSO: 21013 CW 2025-05-17 1242 SP7JDI        599 012 EA3AR         599 B 
QSO: 21003 CW 2025-05-17 1244 SP7JDI        599 013 EA5JPR        599 A 
QSO: 21038 CW 2025-05-17 1245 SP7JDI        599 014 EA5DF         599 VV 
QSO: 21036 CW 2025-05-17 1246 SP7JDI        599 015 ED7W          599 CO 
QSO: 21029 CW 2025-05-17 1249 SP7JDI        599 016 EA5R          599 MU 
QSO: 21028 CW 2025-05-17 1250 SP7JDI        599 017 EF5Q          599 CS 
QSO: 21022 CW 2025-05-17 1251 SP7JDI        599 018 EF5Y          599 AA 
QSO: 28008 CW 2025-05-17 1256 SP7JDI        599 019 EF0F/8        599 SMR 
QSO: 21034 CW 2025-05-17 1300 SP7JDI        599 020 EA6/DL2JRM    599 IB 
QSO: 14012 CW 2025-05-17 1321 SP7JDI        599 021 M4T           599 029 
