START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: RDA
CALLSIGN: UA6CC
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: UA6CC
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for RDA RDAContest/2018.
QSO: 14116 PH 2018-08-18 0807 UA6CC         59 KR35 UN0LM         59 0007
QSO: 14181 PH 2018-08-18 0817 UA6CC         59 KR35 YP0C          59 0001
QSO: 14186 PH 2018-08-18 0824 UA6CC         59 KR35 EW1TZ         59 0024
QSO: 14186 PH 2018-08-18 0826 UA6CC         59 KR35 OG7F          59 0031
QSO: 14186 PH 2018-08-18 0831 UA6CC         59 KR35 HG8C          59 0036
QSO: 14000 PH 2018-08-18 0833 UA6CC         59 KR35 UN7LAN        59 0008
QSO: 14185 PH 2018-08-18 0837 UA6CC         59 KR35 UN8PT         59 0027
QSO: 14028 CW 2018-08-18 0840 UA6CC         599 KR35 EW1TZ         599 0043
QSO: 14028 CW 2018-08-18 0840 UA6CC         599 KR35 YU2A          599 0067
QSO: 14000 CW 2018-08-18 0842 UA6CC         599 KR35 OZ8BZ         599 0004
QSO: 14027 CW 2018-08-18 0842 UA6CC         599 KR35 EW8G          599 0023
QSO: 14027 CW 2018-08-18 0842 UA6CC         599 KR35 OG6N          599 0052
QSO: 14028 CW 2018-08-18 0843 UA6CC         599 KR35 PA3EVY        599 0037
QSO: 14024 CW 2018-08-18 0848 UA6CC         599 KR35 SE4E          599 0040
QSO: 14024 CW 2018-08-18 0849 UA6CC         599 KR35 EU8R          599 0016
QSO: 14024 CW 2018-08-18 0849 UA6CC         599 KR35 LZ1ND         599 0066
QSO: 14024 CW 2018-08-18 0849 UA6CC         599 KR35 OH2VZ         599 0039
QSO: 14000 CW 2018-08-18 0850 UA6CC         599 KR35 LZ2FM         599 0015
QSO: 14024 CW 2018-08-18 0851 UA6CC         599 KR35 EU1WW         599 0063
QSO: 14024 CW 2018-08-18 0852 UA6CC         599 KR35 SM6FPC        599 0013
QSO: 14000 CW 2018-08-18 0854 UA6CC         599 KR35 EU8F          599 0029
QSO: 14024 CW 2018-08-18 0855 UA6CC         599 KR35 PA8AD         599 0028
QSO: 14024 CW 2018-08-18 0856 UA6CC         599 KR35 OG7F          599 0068
QSO: 14024 CW 2018-08-18 0857 UA6CC         599 KR35 P33W          599 0094
QSO: 14000 CW 2018-08-18 0900 UA6CC         599 KR35 UN7LDR        599 0026
QSO: 14024 CW 2018-08-18 0900 UA6CC         599 KR35 SE5L          599 0008
QSO: 14000 CW 2018-08-18 0901 UA6CC         599 KR35 UN7ZZ         599 0023
QSO: 14000 CW 2018-08-18 0902 UA6CC         599 KR35 EU6DX         599 0041
QSO: 14024 CW 2018-08-18 0903 UA6CC         599 KR35 UR5WX         599 0044
QSO: 14000 CW 2018-08-18 0904 UA6CC         599 KR35 OH1LWZ        599 0019
QSO: 14024 CW 2018-08-18 0905 UA6CC         599 KR35 LZ7A          599 0096
QSO: 14024 CW 2018-08-18 0907 UA6CC         599 KR35 SA0BXV        599 0022
QSO: 14024 CW 2018-08-18 0908 UA6CC         599 KR35 LZ1ZJ         599 0033
