START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: RDA
CALLSIGN: UA3A/P
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: UA3A/P
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for RDA RDAContest/2018.
QSO: 14166 PH 2018-08-18 0819 UA3A/P        59 MA11 ER3CT         59 0025
QSO: 14162 PH 2018-08-18 0831 UA3A/P        59 MA11 UN8PT         59 0023
QSO: 14189 PH 2018-08-18 0836 UA3A/P        59 MA11 LY4A          59 0088
QSO: 14027 CW 2018-08-18 0843 UA3A/P        599 MA11 SP3A          599 0070
QSO: 14027 CW 2018-08-18 0845 UA3A/P        599 MA11 9A2NO         599 0046
QSO: 14027 CW 2018-08-18 0847 UA3A/P        599 MA11 JA3JM         599 0012
QSO: 14028 CW 2018-08-18 0847 UA3A/P        599 MA11 OU2I          599 0017
QSO: 14027 CW 2018-08-18 0849 UA3A/P        599 MA11 DL6KVA        599 0064
QSO: 14027 CW 2018-08-18 0850 UA3A/P        599 MA11 DM2DZM        599 0011
QSO: 14028 CW 2018-08-18 0850 UA3A/P        599 MA11 UR3GU         599 0077
QSO: 14027 CW 2018-08-18 0851 UA3A/P        599 MA11 UT7CR         599 0066
QSO: 14027 CW 2018-08-18 0852 UA3A/P        599 MA11 EU1WW         599 0065
QSO: 14027 CW 2018-08-18 0852 UA3A/P        599 MA11 SP1JQJ        599 0021
QSO: 14027 CW 2018-08-18 0853 UA3A/P        599 MA11 YU2A          599 0085
QSO: 14027 CW 2018-08-18 0855 UA3A/P        599 MA11 M3I           599 0046
QSO: 14028 CW 2018-08-18 0855 UA3A/P        599 MA11 PA4O          599 0014
QSO: 14027 CW 2018-08-18 0856 UA3A/P        599 MA11 LZ1ND         599 0076
QSO: 14027 CW 2018-08-18 0859 UA3A/P        599 MA11 JN3SAC        599 0018
QSO: 14027 CW 2018-08-18 0900 UA3A/P        599 MA11 OG6N          599 0078
QSO: 14027 CW 2018-08-18 0900 UA3A/P        599 MA11 UN7LZ         599 0051
QSO: 14027 CW 2018-08-18 0901 UA3A/P        599 MA11 SM6FPC        599 0017
QSO: 14028 CW 2018-08-18 0903 UA3A/P        599 MA11 SE4E          599 0058
QSO: 14000 CW 2018-08-18 0904 UA3A/P        599 MA11 UN7ZZ         599 0025
QSO: 14000 CW 2018-08-18 0904 UA3A/P        599 MA11 UN9GD         599 0059
QSO: 14000 CW 2018-08-18 0906 UA3A/P        599 MA11 UN0C          599 0031
QSO: 14027 CW 2018-08-18 0908 UA3A/P        599 MA11 SP1DMD        599 0014
QSO: 14027 CW 2018-08-18 0910 UA3A/P        599 MA11 YT6W          599 0079
QSO: 14028 CW 2018-08-18 0910 UA3A/P        599 MA11 YO8XBA        599 0073
QSO: 14000 CW 2018-08-18 0912 UA3A/P        599 MA11 DL5KVV        599 0047
QSO: 14038 CW 2018-08-18 0926 UA3A/P        599 MA11 YO6LB         599 0008
QSO: 21025 CW 2018-08-18 1135 UA3A/P        599 MA11 YU5R          599 0155
QSO: 21025 CW 2018-08-18 1138 UA3A/P        599 MA11 OU2I          599 0084
QSO: 21025 CW 2018-08-18 1139 UA3A/P        599 MA11 YT6W          599 0240
QSO: 21025 CW 2018-08-18 1140 UA3A/P        599 MA11 YU2A          599 0248
QSO: 21025 CW 2018-08-18 1142 UA3A/P        599 MA11 LZ1ND         599 0253
QSO: 21025 CW 2018-08-18 1145 UA3A/P        599 MA11 DL6KVA        599 0240
QSO: 21025 CW 2018-08-18 1151 UA3A/P        599 MA11 DL1CW         599 0159
QSO: 21025 CW 2018-08-18 1152 UA3A/P        599 MA11 E74Y          599 0155
QSO: 21025 CW 2018-08-18 1155 UA3A/P        599 MA11 P33W          599 0334
QSO: 21025 CW 2018-08-18 1155 UA3A/P        599 MA11 UN7LZ         599 0210
QSO: 21025 CW 2018-08-18 1202 UA3A/P        599 MA11 YU1YV         599 0081
QSO: 21025 CW 2018-08-18 1206 UA3A/P        599 MA11 PA8AD         599 0094
QSO: 21025 CW 2018-08-18 1207 UA3A/P        599 MA11 DL7AYM        599 0041
QSO: 21025 CW 2018-08-18 1209 UA3A/P        599 MA11 9A7T          599 0155
