START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: RDA
CALLSIGN: RT7C
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: RT7C
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for RDA RDAContest/2020.
QSO: 14000 CW 2020-08-15 0813 RT7C          599 KR24 OK1DOL        599 0017
QSO: 14010 CW 2020-08-15 0815 RT7C          599 KR24 EU6RO         599 0015
QSO: 14011 CW 2020-08-15 0817 RT7C          599 KR24 UT2UB         599 0007
QSO: 14011 CW 2020-08-15 0819 RT7C          599 KR24 LZ1QZ         599 0014
QSO: 14011 CW 2020-08-15 0819 RT7C          599 KR24 LZ4AE         599 0015
QSO: 14025 CW 2020-08-15 0820 RT7C          599 KR24 HF5WIM        599 0011
QSO: 14000 CW 2020-08-15 0821 RT7C          599 KR24 EI7KD         599 0019
QSO: 14011 CW 2020-08-15 0822 RT7C          599 KR24 DK1WU         599 0006
QSO: 14010 CW 2020-08-15 0823 RT7C          599 KR24 LZ1ZJ         599 0018
QSO: 14011 CW 2020-08-15 0825 RT7C          599 KR24 4Z5LU         599 0006
QSO: 14011 CW 2020-08-15 0828 RT7C          599 KR24 SE4E          599 0026
QSO: 14000 CW 2020-08-15 0830 RT7C          599 KR24 LZ7H          599 0008
QSO: 14010 CW 2020-08-15 0830 RT7C          599 KR24 EW8OM         599 0024
QSO: 14010 CW 2020-08-15 0831 RT7C          599 KR24 9A2NO         599 0031
QSO: 14010 CW 2020-08-15 0831 RT7C          599 KR24 SN5N          599 0038
QSO: 14000 CW 2020-08-15 0832 RT7C          599 KR24 LZ1VKD        599 0015
QSO: 14016 CW 2020-08-15 0837 RT7C          599 KR24 HA7PO         599 0028
QSO: 14016 CW 2020-08-15 0837 RT7C          599 KR24 UT4LW         599 0056
QSO: 14000 CW 2020-08-15 0838 RT7C          599 KR24 LZ2VP         599 0011
QSO: 14016 CW 2020-08-15 0839 RT7C          599 KR24 OH3WW         599 0042
QSO: 21021 CW 2020-08-15 0845 RT7C          599 KR24 LZ1ZJ         599 0047
QSO: 21023 CW 2020-08-15 0846 RT7C          599 KR24 LZ5R          599 0108
QSO: 21026 CW 2020-08-15 0848 RT7C          599 KR24 9A5X          599 0068
QSO: 21030 CW 2020-08-15 0848 RT7C          599 KR24 SV2JAO        599 0028
QSO: 21011 CW 2020-08-15 0851 RT7C          599 KR24 UT4LW         599 0071
QSO: 21012 CW 2020-08-15 0851 RT7C          599 KR24 YO4NF         599 0044
QSO: 21019 CW 2020-08-15 0853 RT7C          599 KR24 LZ1SA         599 0054
QSO: 14016 CW 2020-08-15 0856 RT7C          599 KR24 UR7MZ         599 0049
QSO: 14007 CW 2020-08-15 0857 RT7C          599 KR24 OP4K          599 0068
QSO: 14000 CW 2020-08-15 0902 RT7C          599 KR24 UR4MF         599 0013
QSO: 14019 CW 2020-08-15 0907 RT7C          599 KR24 SP9DTE        599 0019
QSO: 14020 CW 2020-08-15 0907 RT7C          599 KR24 DL8DWW        599 0050
QSO: 14019 CW 2020-08-15 0909 RT7C          599 KR24 K1XM          599 0004
