START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: JA3YQD
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-POWER: HIGH
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 70329
CREATED-BY: zlistw(zlog)
NAME: RITSUMEIKAN Univ. Ham Assn.
OPERATORS: JF3PLF
SOAPBOX: We ran with 1kW but all antennas were simple dipoles.
QSO:  7000 PH 2012-10-27 0837 JA3YQD        59  25     K6XX          59  03     0
QSO:  7000 PH 2012-10-27 0840 JA3YQD        59  25     W6YI          59  03     0
QSO:  7000 PH 2012-10-27 0840 JA3YQD        59  25     KH7CW         59  31     0
QSO:  7000 PH 2012-10-27 0841 JA3YQD        59  25     ZX5A          59  11     0
QSO:  7000 PH 2012-10-27 0845 JA3YQD        59  25     KA6BIM        59  3      0
QSO:  7000 PH 2012-10-27 0849 JA3YQD        59  25     HL2/KA8U      59  25     0
QSO: 21000 PH 2012-10-27 0857 JA3YQD        59  25     YB8C          59  28     0
QSO: 21000 PH 2012-10-27 0858 JA3YQD        59  25     VK3TDX        59  30     0
QSO: 21000 PH 2012-10-27 0901 JA3YQD        59  25     OH0X          59  15     0
QSO: 21000 PH 2012-10-27 0901 JA3YQD        59  25     DR6N          59  14     0
QSO: 21000 PH 2012-10-27 0903 JA3YQD        59  25     SO9Q          59  15     0
QSO: 21000 PH 2012-10-27 0904 JA3YQD        59  25     VK2DX         59  30     0
QSO: 21000 PH 2012-10-27 0906 JA3YQD        59  25     YT7Z          59  15     0
QSO: 21000 PH 2012-10-27 0906 JA3YQD        59  25     OK5W          59  15     0
QSO: 21000 PH 2012-10-27 0908 JA3YQD        59  25     RU1A          59  16     0
QSO: 21000 PH 2012-10-27 0908 JA3YQD        59  25     OG6N          59  15     0
