START-OF-LOG: 3.0
CALLSIGN: IW2FUT
CLUB:
CONTEST: CQ-WW-SSB
CLAIMED-SCORE: 58842
OPERATORS: IW2FUT
SOAPBOX: Ciao a tutti e '73 de iw2fut - Fabio "Fabiowsky"
NAME: Fabio "Fabiowsky"
CREATED-BY: N1MM Logger V11.10.3
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-STATION: FIXED
QSO: 21000 PH 2012-10-27 0850 IW2FUT        59  15     OH0Z          59  15
QSO: 21000 PH 2012-10-27 0913 IW2FUT        59  15     ED9Z          59  33
QSO: 14000 PH 2012-10-27 0915 IW2FUT        59  15     HA8RM         59  15
QSO: 28000 PH 2012-10-27 0919 IW2FUT        59  15     TA2BB         59  20
QSO: 28000 PH 2012-10-27 0921 IW2FUT        59  15     A73A          59  21
QSO:  7000 PH 2012-10-28 0721 IW2FUT        59  15     ED3B          59  14
QSO:  7000 PH 2012-10-28 0723 IW2FUT        59  15     DL5GAC        59  14
QSO:  7000 PH 2012-10-28 0724 IW2FUT        59  15     TM1O          59  14
QSO:  7000 PH 2012-10-28 0726 IW2FUT        59  15     YT8A          59  15
QSO:  7000 PH 2012-10-28 0727 IW2FUT        59  15     DF0HQ         59  14
QSO:  7000 PH 2012-10-28 0728 IW2FUT        59  15     9A1A          59  15
QSO:  7000 PH 2012-10-28 0729 IW2FUT        59  15     TM1T          59  14
QSO:  7000 PH 2012-10-28 0730 IW2FUT        59  15     EE1W          59  14
QSO:  7000 PH 2012-10-28 0732 IW2FUT        59  15     F5KEQ         59  14
QSO:  7000 PH 2012-10-28 0734 IW2FUT        59  15     G5O           59  14
QSO:  7000 PH 2012-10-28 0737 IW2FUT        59  15     EE1D          59  14
QSO:  7000 PH 2012-10-28 0737 IW2FUT        59  15     OK1UG         59  15
QSO:  7000 PH 2012-10-28 0739 IW2FUT        59  15     IZ5RLK        59  15
QSO:  7000 PH 2012-10-28 0740 IW2FUT        59  15     IK3UNA/I1     59  15
QSO:  7000 PH 2012-10-28 0803 IW2FUT        59  15     K8AZ          59  04
QSO:  7000 PH 2012-10-28 0804 IW2FUT        59  15     OT5A          59  14
QSO:  7000 PH 2012-10-28 0810 IW2FUT        59  15     ON2KP         59  14
QSO:  7000 PH 2012-10-28 0819 IW2FUT        59  15     OK1RZ         59  15
QSO:  7000 PH 2012-10-28 0821 IW2FUT        59  15     DJ8UV         59  14
QSO:  7000 PH 2012-10-28 0822 IW2FUT        59  15     SO9Q          59  15
QSO:  7000 PH 2012-10-28 0824 IW2FUT        59  15     SJ0X          59  14
QSO:  7000 PH 2012-10-28 0835 IW2FUT        59  15     SP2KPD        59  15
QSO:  7000 PH 2012-10-28 0837 IW2FUT        59  15     HG1S          59  15
QSO:  7000 PH 2012-10-28 0839 IW2FUT        59  15     DQ0A          59  14
QSO:  7000 PH 2012-10-28 0841 IW2FUT        59  15     Z38N          59  15
QSO:  7000 PH 2012-10-28 0856 IW2FUT        59  15     IK1RQQ        59  15
QSO:  7000 PH 2012-10-28 0901 IW2FUT        59  15     IZ4ORO        59  15
QSO: 14000 PH 2012-10-28 0905 IW2FUT        59  15     US5D          59  16
QSO: 14000 PH 2012-10-28 0906 IW2FUT        59  15     EF2F          59  14
QSO: 14000 PH 2012-10-28 0907 IW2FUT        59  15     IQ8MD         59  15
QSO: 14000 PH 2012-10-28 0907 IW2FUT        59  15     TF3CW         59  40
QSO: 14000 PH 2012-10-28 0908 IW2FUT        59  15     3V8BB         59  33
QSO: 14000 PH 2012-10-28 0909 IW2FUT        59  15     OL9Z          59  15
QSO: 14000 PH 2012-10-28 0910 IW2FUT        59  15     DP6A          59  14
QSO: 14000 PH 2012-10-28 0912 IW2FUT        59  15     PA7AL         59  14
QSO: 14000 PH 2012-10-28 0914 IW2FUT        59  15     ED7R          59  14
QSO: 14000 PH 2012-10-28 0916 IW2FUT        59  15     SP9KAO        59  15
QSO: 14000 PH 2012-10-28 0917 IW2FUT        59  15     YT3M          59  15
QSO: 14000 PH 2012-10-28 0919 IW2FUT        59  15     ED1R          59  14
QSO: 14000 PH 2012-10-28 0920 IW2FUT        59  15     OH0V          59  15
QSO: 14000 PH 2012-10-28 0921 IW2FUT        59  15     EI9E          59  14
QSO: 14000 PH 2012-10-28 0922 IW2FUT        59  15     PI4EME        59  14
QSO: 14000 PH 2012-10-28 0925 IW2FUT        59  15     M0PLX/M       59  14
QSO: 14000 PH 2012-10-28 0925 IW2FUT        59  15     LZ4RR         59  20
QSO: 14000 PH 2012-10-28 0926 IW2FUT        59  15     UX1UX         59  16
QSO: 14000 PH 2012-10-28 0927 IW2FUT        59  15     DR1A          59  14
QSO: 14000 PH 2012-10-28 0928 IW2FUT        59  15     UZ0U          59  16
