START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CREATED-BY: AATest v.1.99
CALLSIGN: UA9MA
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: SSB
CATEGORY-POWER: HIGH
CATEGORY-OVERLAY:
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 3910720
OPERATORS: UA9MA
CLUB:
NAME: Gena kolmakov
SOAPBOX: Many old friends in my log ! Great fun !
QSO:  7158 PH 2012-10-27 0027 UA9MA         59  17     II2S          59  15
QSO:  7057 PH 2012-10-27 0027 UA9MA         59  17     HG5C          59  15
QSO:  7061 PH 2012-10-27 0027 UA9MA         59  17     P3F           59  20
QSO:  7063 PH 2012-10-27 0028 UA9MA         59  17     SO9Q          59  15
QSO:  7067 PH 2012-10-27 0028 UA9MA         59  17     C4W           59  20
QSO:  7080 PH 2012-10-27 0028 UA9MA         59  17     OP4K          59  14
QSO:  7088 PH 2012-10-27 0029 UA9MA         59  17     PI4W          59  14
QSO:  7106 PH 2012-10-27 0029 UA9MA         59  17     IR2C          59  15
QSO:  7110 PH 2012-10-27 0029 UA9MA         59  17     RM5A          59  16
QSO:  7116 PH 2012-10-27 0031 UA9MA         59  17     ED2W          59  14
QSO:  7121 PH 2012-10-27 0031 UA9MA         59  17     IQ3UD         59  15
QSO:  7154 PH 2012-10-27 0031 UA9MA         59  17     ES9C          59  15
QSO: 14231 PH 2012-10-27 0034 UA9MA         59  17     N5CR          59  03
QSO: 14231 PH 2012-10-27 0035 UA9MA         59  17     KI4LMA        59  05
QSO: 14231 PH 2012-10-27 0035 UA9MA         59  17     NK7U          59  03
QSO: 14231 PH 2012-10-27 0036 UA9MA         59  17     WA2YSJ        59  05
QSO: 14231 PH 2012-10-27 0036 UA9MA         59  17     K1KP          59  05
QSO: 14231 PH 2012-10-27 0036 UA9MA         59  17     NC4MI         59  05
QSO: 14231 PH 2012-10-27 0036 UA9MA         59  17     K3JLM         59  05
QSO: 14231 PH 2012-10-27 0037 UA9MA         59  17     W2GN          59  05
QSO: 14231 PH 2012-10-27 0038 UA9MA         59  17     NE0U          59  04
QSO: 14231 PH 2012-10-27 0039 UA9MA         59  17     K1BV          59  05
QSO:  7137 PH 2012-10-27 0042 UA9MA         59  17     YT6T          59  15
QSO:  7149 PH 2012-10-27 0048 UA9MA         59  17     YT8A          59  15
QSO:  7123 PH 2012-10-27 0048 UA9MA         59  17     CT2IOV        59  14
QSO:  7053 PH 2012-10-27 0050 UA9MA         59  17     PW7T          59  11
QSO:  7089 PH 2012-10-27 0053 UA9MA         59  17     DJ4PT         59  14
QSO:  7096 PH 2012-10-27 0053 UA9MA         59  17     PA0AA         59  14
QSO:  7139 PH 2012-10-27 0054 UA9MA         59  17     SZ1A          59  20
QSO:  7146 PH 2012-10-27 0055 UA9MA         59  17     UZ2M          59  16
QSO:  7133 PH 2012-10-27 0058 UA9MA         59  17     UT3XA         59  16
QSO:  7078 PH 2012-10-27 0059 UA9MA         59  17     SN8Z          59  15
QSO:  7097 PH 2012-10-27 0100 UA9MA         59  17     RM4HZ         59  16
QSO:  7103 PH 2012-10-27 0100 UA9MA         59  17     YP8T          59  20
QSO:  7000 PH 2012-10-27 0102 UA9MA         59  17     RX1CQ         59  16
QSO:  7120 PH 2012-10-27 0126 UA9MA         59  17     9A2UZ         59  15
QSO:  7106 PH 2012-10-27 0127 UA9MA         59  17     YU4A          59  15
QSO:  7106 PH 2012-10-27 0128 UA9MA         59  17     M2W           59  14
QSO:  7100 PH 2012-10-27 0128 UA9MA         59  17     ED5T          59  14
QSO:  7097 PH 2012-10-27 0129 UA9MA         59  17     I/DM1CM       59  15
QSO:  7097 PH 2012-10-27 0129 UA9MA         59  17     UY2UQ         59  16
QSO:  7097 PH 2012-10-27 0129 UA9MA         59  17     R2EAA         59  16
QSO:  7097 PH 2012-10-27 0129 UA9MA         59  17     OM0A          59  15
QSO:  7097 PH 2012-10-27 0129 UA9MA         59  17     SM3C          59  14
QSO:  7097 PH 2012-10-27 0131 UA9MA         59  17     HG5P          59  15
QSO:  7097 PH 2012-10-27 0131 UA9MA         59  17     YT1HA         59  15
QSO:  7097 PH 2012-10-27 0131 UA9MA         59  17     DQ4W          59  14
QSO:  7097 PH 2012-10-27 0131 UA9MA         59  17     9A1AP         59  15
QSO:  7097 PH 2012-10-27 0132 UA9MA         59  17     DP7D          59  14
QSO:  7097 PH 2012-10-27 0132 UA9MA         59  17     SP9KAO        59  15
QSO:  7097 PH 2012-10-27 0132 UA9MA         59  17     DJ0MCZ        59  14
QSO:  7097 PH 2012-10-27 0133 UA9MA         59  17     YU1EL         59  15
QSO:  7097 PH 2012-10-27 0133 UA9MA         59  17     9A2GA         59  15
QSO:  7097 PH 2012-10-27 0134 UA9MA         59  17     CT2ITR        59  14
QSO:  7097 PH 2012-10-27 0134 UA9MA         59  17     SN9I          59  15
QSO:  7097 PH 2012-10-27 0134 UA9MA         59  17     S52ZW         59  15
QSO:  7097 PH 2012-10-27 0135 UA9MA         59  17     PD5JFK        59  14
QSO:  7097 PH 2012-10-27 0135 UA9MA         59  17     YO8SMM        59  20
QSO:  7097 PH 2012-10-27 0136 UA9MA         59  17     EA9/SP7VC     59  33
QSO:  7097 PH 2012-10-27 0136 UA9MA         59  17     LZ1IKY        59  20
QSO:  7097 PH 2012-10-27 0136 UA9MA         59  17     OK2SAR        59  15
QSO:  7097 PH 2012-10-27 0137 UA9MA         59  17     M0MCV         59  14
QSO:  7097 PH 2012-10-27 0137 UA9MA         59  17     UX1UX         59  16
QSO:  7097 PH 2012-10-27 0137 UA9MA         59  17     OM4DN         59  15
QSO:  7097 PH 2012-10-27 0137 UA9MA         59  17     DF6QC         59  14
QSO:  7097 PH 2012-10-27 0139 UA9MA         59  17     PA3CWN        59  14
QSO:  7097 PH 2012-10-27 0140 UA9MA         59  17     EF2O          59  14
QSO:  7097 PH 2012-10-27 0140 UA9MA         59  17     HB9TOC        59  14
QSO:  7097 PH 2012-10-27 0140 UA9MA         59  17     EC1AE         59  14
QSO:  7096 PH 2012-10-27 0141 UA9MA         59  17     IR3Y          59  15
QSO:  7155 PH 2012-10-27 0144 UA9MA         59  17     DR1D          59  14
QSO:  7030 PH 2012-10-27 0145 UA9MA         59  17     PR7AP         59  11
QSO:  7050 PH 2012-10-27 0146 UA9MA         59  17     8P5A          59  08
QSO:  7067 PH 2012-10-27 0147 UA9MA         59  17     ED9Z          59  33
QSO:  7083 PH 2012-10-27 0148 UA9MA         59  17     TM1O          59  14
QSO:  7157 PH 2012-10-27 0149 UA9MA         59  17     C5A           59  35
QSO:  7196 PH 2012-10-27 0151 UA9MA         59  17     E7DX          59  15
QSO:  7178 PH 2012-10-27 0152 UA9MA         59  17     9A1P          59  15
QSO:  7165 PH 2012-10-27 0153 UA9MA         59  17     4O3A          59  15
QSO:  7161 PH 2012-10-27 0153 UA9MA         59  17     OU4X          59  14
QSO:  7154 PH 2012-10-27 0153 UA9MA         59  17     HG1S          59  15
QSO:  7122 PH 2012-10-27 0154 UA9MA         59  17     EA3CI         59  14
QSO:  7111 PH 2012-10-27 0155 UA9MA         59  17     UA5B          59  16
QSO: 14248 PH 2012-10-27 0158 UA9MA         59  17     K9DU          59  04
QSO: 14248 PH 2012-10-27 0158 UA9MA         59  17     N9OK          59  04
QSO: 14248 PH 2012-10-27 0158 UA9MA         59  17     N3HQB         59  05
QSO: 14248 PH 2012-10-27 0159 UA9MA         59  17     N9MW          59  04
QSO: 14248 PH 2012-10-27 0200 UA9MA         59  17     K3TXT         59  05
QSO: 14129 PH 2012-10-27 0203 UA9MA         59  17     VY1EI         59  01
QSO: 14132 PH 2012-10-27 0204 UA9MA         59  17     VE7SV         59  03
QSO: 14153 PH 2012-10-27 0204 UA9MA         59  17     W3LPL         59  05
QSO: 14169 PH 2012-10-27 0205 UA9MA         59  17     W0AIH         59  04
QSO: 14185 PH 2012-10-27 0206 UA9MA         59  17     K0ZR          59  05
QSO: 14135 PH 2012-10-27 0207 UA9MA         59  17     6Y9X          59  08
QSO: 14344 PH 2012-10-27 0210 UA9MA         59  17     LR3M          59  13
QSO: 14326 PH 2012-10-27 0210 UA9MA         59  17     K3ZM          59  05
QSO: 14324 PH 2012-10-27 0211 UA9MA         59  17     AA1K          59  05
QSO: 14310 PH 2012-10-27 0211 UA9MA         59  17     RW0A          59  18
QSO: 14310 PH 2012-10-27 0212 UA9MA         59  17     NR3X          59  05
QSO: 14274 PH 2012-10-27 0213 UA9MA         59  17     UA0IBX        59  19
QSO: 14274 PH 2012-10-27 0213 UA9MA         59  17     W8MJ          59  04
QSO: 14274 PH 2012-10-27 0214 UA9MA         59  17     W4KW          59  04
QSO: 14274 PH 2012-10-27 0214 UA9MA         59  17     W4VZH         59  05
QSO: 14274 PH 2012-10-27 0214 UA9MA         59  17     K0AP          59  04
QSO: 14274 PH 2012-10-27 0215 UA9MA         59  17     KA8Q          59  05
QSO: 14274 PH 2012-10-27 0215 UA9MA         59  17     K0CN          59  04
QSO: 14271 PH 2012-10-27 0216 UA9MA         59  17     N2MM          59  05
QSO: 14262 PH 2012-10-27 0217 UA9MA         59  17     K4ZW          59  05
QSO: 14210 PH 2012-10-27 0221 UA9MA         59  17     HD2A          59  10
QSO: 14205 PH 2012-10-27 0221 UA9MA         59  17     RM0A          59  18
QSO: 14146 PH 2012-10-27 0222 UA9MA         59  17     VA5DX         59  04
QSO: 14139 PH 2012-10-27 0222 UA9MA         59  17     VA7ST         59  03
QSO:  7042 PH 2012-10-27 0224 UA9MA         59  17     VP2MDG        59  08
QSO:  7056 PH 2012-10-27 0226 UA9MA         59  17     PJ4X          59  09
QSO:  7101 PH 2012-10-27 0228 UA9MA         59  17     UP9L          59  17
QSO:  7126 PH 2012-10-27 0229 UA9MA         59  17     CR3L          59  33
QSO:  7134 PH 2012-10-27 0229 UA9MA         59  17     K3LR          59  05
QSO:  7131 PH 2012-10-27 0232 UA9MA         59  17     OE6Z          59  16
QSO:  7061 PH 2012-10-27 0234 UA9MA         59  17     SI9AM         59  14
QSO:  7066 PH 2012-10-27 0234 UA9MA         59  17     PY6TS         59  11
QSO:  7097 PH 2012-10-27 0237 UA9MA         59  17     OH0Z          59  15
QSO:  7106 PH 2012-10-27 0238 UA9MA         59  17     RV9MA         59  17
QSO:  7106 PH 2012-10-27 0239 UA9MA         59  17     RV9UP         59  18
QSO:  7135 PH 2012-10-27 0241 UA9MA         59  17     W3LPL         59  05
QSO: 14264 PH 2012-10-27 0242 UA9MA         59  17     N4WW          59  05
QSO: 14260 PH 2012-10-27 0243 UA9MA         59  17     NC7M          59  03
QSO: 14260 PH 2012-10-27 0245 UA9MA         59  17     UT3EV         59  16
