START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.7.0
CONTEST: CQ-WW-SSB
LOCATION: DX
CALLSIGN: XE1AY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 9381
OPERATORS: XE1AY
CLUB: CLUB DE RADIO EXPERIMENTADORES DE OCCIDENTE
NAME: ISMAEL MARTINEZ VIZCARRA
SOAPBOX: By night not so much propagation. But in the daylight it was a zoo
SOAPBOX: very difficult to heard. I enjoyed the little time in contest
QSO: 14000 PH 2012-10-27 0326 XE1AY         59  06     LV5V          59  13     0
QSO: 21000 PH 2012-10-27 0339 XE1AY         59  06     LR3M          59  13     0
QSO:  7000 PH 2012-10-28 0744 XE1AY         59  06     N7AT          59  03     0
QSO:  7000 PH 2012-10-28 0931 XE1AY         59  06     XL3A          59  04     0
QSO: 28000 PH 2012-10-28 1422 XE1AY         59  06     E7DX          59  15     0
QSO: 28000 PH 2012-10-28 1430 XE1AY         59  06     9A1A          59  15     0
QSO: 28000 PH 2012-10-28 1434 XE1AY         59  06     UX2U          59  16     0
QSO: 28000 PH 2012-10-28 1444 XE1AY         59  06     DL5L          59  14     0
QSO: 28000 PH 2012-10-28 1450 XE1AY         59  06     SP8CUR        59  15     0
QSO: 28000 PH 2012-10-28 1612 XE1AY         59  06     TM6M          59  14     0
QSO: 28000 PH 2012-10-28 1616 XE1AY         59  06     AA1K          59  05     0
QSO: 28000 PH 2012-10-28 1622 XE1AY         59  06     W9RE          59  04     0
QSO: 28000 PH 2012-10-28 1624 XE1AY         59  06     VC3X          59  04     0
QSO: 28000 PH 2012-10-28 1628 XE1AY         59  06     VE3EJ         59  04     0
QSO: 28000 PH 2012-10-28 1637 XE1AY         59  06     WN9O          59  04     0
QSO: 28000 PH 2012-10-28 1638 XE1AY         59  06     HK1NA         59  09     0
QSO: 28000 PH 2012-10-28 1641 XE1AY         59  06     EA5BY         59  14     0
QSO: 28000 PH 2012-10-28 1642 XE1AY         59  06     IK4DCX        59  15     0
QSO: 28000 PH 2012-10-28 1644 XE1AY         59  06     PI4CG         59  14     0
QSO: 28000 PH 2012-10-28 1651 XE1AY         59  06     LZ5K          59  20     0
QSO: 28000 PH 2012-10-28 1656 XE1AY         59  06     ED1R          59  14     0
QSO: 21000 PH 2012-10-28 1711 XE1AY         59  06     9A1A          59  15     0
QSO: 21000 PH 2012-10-28 1721 XE1AY         59  06     EA5IDG        59  14     0
QSO: 21000 PH 2012-10-28 1735 XE1AY         59  06     KV0Q          59  04     0
QSO: 21000 PH 2012-10-28 1738 XE1AY         59  06     W0AIH         59  04     0
QSO: 21000 PH 2012-10-28 1739 XE1AY         59  06     DL2ARD        59  14     0
QSO: 21000 PH 2012-10-28 1743 XE1AY         59  06     N2IC          59  04     0
QSO: 21000 PH 2012-10-28 1747 XE1AY         59  06     8P5A          59  08     0
QSO: 21000 PH 2012-10-28 1752 XE1AY         59  06     KO2R          59  05     0
QSO: 21000 PH 2012-10-28 1752 XE1AY         59  06     ED1R          59  14     0
QSO: 21000 PH 2012-10-28 1755 XE1AY         59  06     GM5X          59  14     0
QSO: 21000 PH 2012-10-28 1756 XE1AY         59  06     CS2S          59  14     0
QSO: 21000 PH 2012-10-28 1800 XE1AY         59  06     CT3HF         59  33     0
QSO: 21000 PH 2012-10-28 1807 XE1AY         59  06     W3BGN         59  05     0
QSO: 21000 PH 2012-10-28 1815 XE1AY         59  06     W5RU          59  04     0
QSO: 21000 PH 2012-10-28 1816 XE1AY         59  06     WK4Y          59  05     0
QSO: 21000 PH 2012-10-28 1819 XE1AY         59  06     KJ5T          59  04     0
QSO: 21000 PH 2012-10-28 1822 XE1AY         59  06     VE2IM         59  02     0
QSO: 21000 PH 2012-10-28 1829 XE1AY         59  06     K8AZ          59  04     0
QSO: 21000 PH 2012-10-28 1831 XE1AY         59  06     K8AO          59  04     0
QSO: 21000 PH 2012-10-28 1832 XE1AY         59  06     N5ZC          59  04     0
QSO: 21000 PH 2012-10-28 1833 XE1AY         59  06     K1TO          59  05     0
QSO: 21000 PH 2012-10-28 1840 XE1AY         59  06     CR5D          59  14     0
QSO: 21000 PH 2012-10-28 1845 XE1AY         59  06     HF8N          59  15     0
QSO: 21000 PH 2012-10-28 1850 XE1AY         59  06     CS2C          59  14     0
QSO: 21000 PH 2012-10-28 2229 XE1AY         59  06     LU1VM         59  13     0
QSO: 21000 PH 2012-10-28 2236 XE1AY         59  06     JR1MQT        59  25     0
QSO: 21000 PH 2012-10-28 2238 XE1AY         59  06     JH4UYB        59  25     0
QSO: 21000 PH 2012-10-28 2240 XE1AY         59  06     VY2TT         59  05     0
QSO: 21000 PH 2012-10-28 2240 XE1AY         59  06     KL7RA         59  01     0
QSO: 21000 PH 2012-10-28 2246 XE1AY         59  06     VE6JY         59  04     0
QSO: 21000 PH 2012-10-28 2247 XE1AY         59  06     HD2A          59  10     0
QSO: 21000 PH 2012-10-28 2255 XE1AY         59  06     VE7BC         59  03     0
QSO: 21000 PH 2012-10-28 2257 XE1AY         59  06     LU1UM         59  13     0
QSO: 21000 PH 2012-10-28 2302 XE1AY         59  06     TI8M          59  07     0
QSO: 21000 PH 2012-10-28 2305 XE1AY         59  06     HI3TT         59  08     0
