START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.9.1
CONTEST: CQ-WW-SSB
LOCATION: DX
CALLSIGN: OH0X
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 8925306
OPERATORS: OH6KZP
CLUB: Contest Club Finland
NAME: Kim Östman
SOAPBOX: Great fun, but good high band conditions ended with nightfall.
QSO: 14263 PH 2012-10-27 0000 OH0X          59  15     K1TO          59  05     0
QSO: 14263 PH 2012-10-27 0000 OH0X          59  15     DR1A          59  14     0
QSO: 14263 PH 2012-10-27 0001 OH0X          59  15     RU1A          59  16     0
QSO: 14263 PH 2012-10-27 0002 OH0X          59  15     WA4WTG        59  05     0
QSO: 21228 PH 2012-10-27 0003 OH0X          59  15     W7VJ          59  03     0
QSO: 21205 PH 2012-10-27 0003 OH0X          59  15     KV0Q          59  04     0
QSO: 14263 PH 2012-10-27 0003 OH0X          59  15     K2ONP         59  05     0
QSO: 21239 PH 2012-10-27 0004 OH0X          59  15     N7DD          59  03     0
QSO: 14263 PH 2012-10-27 0004 OH0X          59  15     RM3F          59  16     0
QSO: 14256 PH 2012-10-27 0007 OH0X          59  15     UP2L          59  17     0
QSO: 14273 PH 2012-10-27 0010 OH0X          59  15     K6EMI         59  03     0
QSO: 14271 PH 2012-10-27 0010 OH0X          59  15     LP1H          59  13     0
QSO: 14275 PH 2012-10-27 0012 OH0X          59  15     N1WRK         59  05     0
QSO: 14275 PH 2012-10-27 0013 OH0X          59  15     EI9E          59  14     0
QSO: 14275 PH 2012-10-27 0017 OH0X          59  15     OT5A          59  14     0
QSO: 14275 PH 2012-10-27 0017 OH0X          59  15     N8II          59  05     0
QSO: 14275 PH 2012-10-27 0017 OH0X          59  15     N2HSY         59  05     0
QSO: 14275 PH 2012-10-27 0018 OH0X          59  15     OH0Z          59  15     0
