START-OF-LOG: 3.0
CREATED-BY: N3FJP's CQ World Wide Network Log 2.7
CONTEST: CQ-WW-SSB
CALLSIGN: N3QC
CLAIMED-SCORE: 416020
OPERATORS: W3BC, W3TM, AB3OG, N3DIR, KA3MKY/AG, KA3FHV, W3DWR, KB3WBT, KB3VWX, N3WWT, KB3LES
CATEGORY-ASSISTED: NON-ASSISTED
NAME: Quad-County ARC
LOCATION: WPA
SOAPBOX: Our club's first effort at contesting, we called this "RadioSport 101" and it gave all the opportunity to see what contesting is like. We may have made several new contesters from the interest they showed!!
SOAPBOX:
SOAPBOX:
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-TRANSMITTER: TWO
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-STATION: FIXED
QSO: 14000 PH 2012-10-27 0047 N3QC          59  5      K6EMI         59  03     1
QSO: 14000 PH 2012-10-27 0048 N3QC          59  5      OH8X          59  15     1
QSO: 14000 PH 2012-10-27 0049 N3QC          59  5      ED8W          59  33     1
QSO: 21000 PH 2012-10-27 0051 N3QC          59  5      KH6MB         59  31     0
QSO: 14000 PH 2012-10-27 0055 N3QC          59  5      6Y9X          59  08     1
QSO: 14000 PH 2012-10-27 0100 N3QC          59  5      HKN1S         59  09     1
QSO: 21000 PH 2012-10-27 0107 N3QC          59  5      VE6JY         59  04     0
QSO: 21000 PH 2012-10-27 0110 N3QC          59  5      VE5PV         59  04     0
QSO: 14000 PH 2012-10-27 0112 N3QC          59  5      PR5B          59  11     1
QSO: 14000 PH 2012-10-27 0120 N3QC          59  5      VE7SZ         59  03     1
QSO: 14000 PH 2012-10-27 0134 N3QC          59  5      HD2A          59  10     1
QSO: 14000 PH 2012-10-27 0140 N3QC          59  5      VE4VT         59  04     1
QSO: 14000 PH 2012-10-27 0146 N3QC          59  5      HK1NA         59  09     1
QSO: 14000 PH 2012-10-27 0150 N3QC          59  5      XE1B          59  06     1
QSO:  3500 PH 2012-10-27 0219 N3QC          59  5      LX7I          59  14     0
QSO: 14000 PH 2012-10-27 0224 N3QC          59  5      VE6JY         59  04     1
QSO:  3500 PH 2012-10-27 0229 N3QC          59  5      VE3OI         59  04     0
QSO:  3500 PH 2012-10-27 0229 N3QC          59  5      N2MM          59  05     0
QSO: 14000 PH 2012-10-27 0240 N3QC          59  5      VP2MDG        59  08     1
QSO: 14000 PH 2012-10-27 0245 N3QC          59  5      YT3M          59  15     1
QSO:  3500 PH 2012-10-27 0254 N3QC          59  5      VE3RZ         59  04     0
QSO:  3500 PH 2012-10-27 0256 N3QC          59  5      N1UR          59  05     0
QSO: 14000 PH 2012-10-27 0258 N3QC          59  5      YT1A          59  15     1
QSO:  3500 PH 2012-10-27 0300 N3QC          59  5      VE3BZ         59  04     0
QSO: 14000 PH 2012-10-27 0320 N3QC          59  5      CN3A          59  33     1
QSO:  3500 PH 2012-10-27 0321 N3QC          59  5      W4QNW         59  05     0
QSO:  3500 PH 2012-10-27 0324 N3QC          59  5      HA8RM         59  15     0
QSO: 14000 PH 2012-10-27 0325 N3QC          59  5      KP3CB         59  08     1
QSO: 14000 PH 2012-10-27 0327 N3QC          59  5      NP4G          59  08     1
QSO: 14000 PH 2012-10-27 0330 N3QC          59  5      CE3CT         59  12     1
QSO: 14000 PH 2012-10-27 0331 N3QC          59  5      YT3A          59  15     1
QSO: 14000 PH 2012-10-27 0335 N3QC          59  5      PJ2T          59  09     1
QSO: 14000 PH 2012-10-27 0337 N3QC          59  5      EE2K          59  14     1
QSO: 14000 PH 2012-10-27 0343 N3QC          59  5      IR9Y          59  15     1
QSO: 14000 PH 2012-10-27 0348 N3QC          59  5      CN8VO         59  33     1
QSO: 14000 PH 2012-10-27 0350 N3QC          59  5      P40T          59  09     1
QSO:  3500 PH 2012-10-27 0353 N3QC          59  5      IO5O          59  15     0
QSO: 14000 PH 2012-10-27 0355 N3QC          59  5      C37LL         59  14     1
QSO: 14000 PH 2012-10-27 0401 N3QC          59  5      KP4RV         59  08     1
QSO:  3500 PH 2012-10-27 0403 N3QC          59  5      VC2X          59  02     0
QSO: 14000 PH 2012-10-27 0406 N3QC          59  5      D4C           59  35     1
QSO:  3500 PH 2012-10-27 0407 N3QC          59  5      DQ4W          59  14     0
QSO: 14000 PH 2012-10-27 0408 N3QC          59  5      LT1F          59  13     1
QSO:  3500 PH 2012-10-27 0408 N3QC          59  5      VE3JM         59  04     0
QSO:  3500 PH 2012-10-27 0411 N3QC          59  5      HF5D          59  15     0
QSO: 14000 PH 2012-10-27 0419 N3QC          59  5      II9K          59  15     1
QSO: 14000 PH 2012-10-27 0420 N3QC          59  5      9A1A          59  15     1
QSO:  7000 PH 2012-10-27 0423 N3QC          59  5      K4XS          59  05     0
QSO:  7000 PH 2012-10-27 0423 N3QC          59  5      HA7A          59  15     0
QSO:  7000 PH 2012-10-27 0424 N3QC          59  5      OE6Z          59  15     0
QSO: 14000 PH 2012-10-27 0425 N3QC          59  5      NP3X          59  08     1
QSO: 14000 PH 2012-10-27 0429 N3QC          59  5      YT9X          59  15     1
QSO:  7000 PH 2012-10-27 0431 N3QC          59  5      EF5Y          59  14     0
QSO: 14000 PH 2012-10-27 0432 N3QC          59  5      LR1H          59  13     1
QSO: 14000 PH 2012-10-27 0433 N3QC          59  5      S52OT         59  15     1
QSO:  7000 PH 2012-10-27 0435 N3QC          59  5      DR1D          59  14     0
QSO: 14000 PH 2012-10-27 0436 N3QC          59  5      PJ4X          59  09     1
QSO: 14000 PH 2012-10-27 0436 N3QC          59  5      K3LR          59  05     1
QSO: 14000 PH 2012-10-27 0439 N3QC          59  5      3G1Z          59  12     1
QSO:  7000 PH 2012-10-27 0443 N3QC          59  5      OT5A          59  14     0
QSO:  7000 PH 2012-10-27 0445 N3QC          59  5      9A1A          59  15     0
QSO:  7000 PH 2012-10-27 0448 N3QC          59  5      IR4M          59  15     0
QSO: 14000 PH 2012-10-27 0449 N3QC          59  5      C5A           59  35     1
QSO:  7000 PH 2012-10-27 0450 N3QC          59  5      TM1T          59  14     0
QSO:  7000 PH 2012-10-27 0451 N3QC          59  5      VC2DX         59  05     0
QSO:  7000 PH 2012-10-27 0453 N3QC          59  5      EA3RR         59  14     0
QSO:  7000 PH 2012-10-27 0456 N3QC          59  5      DR1A          59  14     0
QSO:  7000 PH 2012-10-27 0500 N3QC          59  5      E7DX          59  15     0
QSO:  7000 PH 2012-10-27 0502 N3QC          59  5      K7RL          59  03     0
QSO: 14000 PH 2012-10-27 0504 N3QC          59  5      ED3E          59  14     1
QSO:  7000 PH 2012-10-27 0505 N3QC          59  5      VE9HF         59  05     0
QSO: 14000 PH 2012-10-27 0508 N3QC          59  5      IR8A          59  15     1
QSO:  7000 PH 2012-10-27 0508 N3QC          59  5      ED1R          59  14     0
QSO:  7000 PH 2012-10-27 0516 N3QC          59  5      EE7T          59  14     0
QSO: 14000 PH 2012-10-27 0518 N3QC          59  5      KP2M          59  08     1
QSO:  7000 PH 2012-10-27 0520 N3QC          59  5      IG9R          59  33     0
QSO:  7000 PH 2012-10-27 0521 N3QC          59  5      S59N          59  15     0
QSO:  7000 PH 2012-10-27 0522 N3QC          59  5      IR6T          59  15     0
QSO:  7000 PH 2012-10-27 0523 N3QC          59  5      S57AL         59  15     0
QSO: 14000 PH 2012-10-27 0524 N3QC          59  5      LZ9W          59  20     1
QSO:  7000 PH 2012-10-27 0526 N3QC          59  5      PI4DX         59  14     0
QSO:  7000 PH 2012-10-27 0528 N3QC          59  5      HA8RM         59  15     0
QSO:  7000 PH 2012-10-27 0528 N3QC          59  5      TM6M          59  14     0
QSO:  7000 PH 2012-10-27 0530 N3QC          59  5      DF0HQ         59  14     0
QSO:  7000 PH 2012-10-27 0532 N3QC          59  5      CQ7A          59  14     0
QSO:  7000 PH 2012-10-27 0536 N3QC          59  5      LX7I          59  14     0
QSO:  7000 PH 2012-10-27 0537 N3QC          59  5      HG7T          59  15     0
QSO: 14000 PH 2012-10-27 0538 N3QC          59  5      PQ5B          59  11     1
QSO:  7000 PH 2012-10-27 0539 N3QC          59  5      SO2R          59  15     0
QSO:  7000 PH 2012-10-27 0541 N3QC          59  5      TM1O          59  14     0
QSO: 14000 PH 2012-10-27 0548 N3QC          59  5      EF7X          59  14     1
QSO: 14000 PH 2012-10-27 0550 N3QC          59  5      EE1W          59  14     1
QSO:  7000 PH 2012-10-27 0551 N3QC          59  5      N5DX          59  04     0
QSO:  7000 PH 2012-10-27 0552 N3QC          59  5      CR3A          59  33     0
QSO: 14000 PH 2012-10-27 0554 N3QC          59  5      ED1T          59  14     1
QSO:  7000 PH 2012-10-27 0558 N3QC          59  5      AD4Z          59  05     0
QSO: 14000 PH 2012-10-27 0559 N3QC          59  5      V26B          59  08     1
QSO:  7000 PH 2012-10-27 0605 N3QC          59  5      KH7X          59  31     0
QSO:  7000 PH 2012-10-27 0607 N3QC          59  5      EA3GLB        59  14     0
QSO:  7000 PH 2012-10-27 0614 N3QC          59  5      DL8DAK        59  14     0
QSO: 21000 PH 2012-10-27 1542 N3QC          59  5      CR6K          59  14     0
QSO: 28000 PH 2012-10-27 1543 N3QC          59  5      OT4A          59  14     1
QSO: 28000 PH 2012-10-27 1543 N3QC          59  5      SN7Q          59  15     1
QSO: 21000 PH 2012-10-27 1545 N3QC          59  5      RZ4FWW        59  16     0
QSO: 21000 PH 2012-10-27 1546 N3QC          59  5      VP6T          59  32     0
QSO: 28000 PH 2012-10-27 1547 N3QC          59  5      ON4IA         59  14     1
QSO: 28000 PH 2012-10-27 1550 N3QC          59  5      DP6T          59  14     1
QSO: 28000 PH 2012-10-27 1551 N3QC          59  5      OE5FIN        59  15     1
QSO: 28000 PH 2012-10-27 1555 N3QC          59  5      W6NRD         59  03     1
QSO: 21000 PH 2012-10-27 1556 N3QC          59  5      S50R          59  15     0
QSO: 28000 PH 2012-10-27 1557 N3QC          59  5      DL5MEV        59  14     1
QSO: 28000 PH 2012-10-27 1558 N3QC          59  5      CR3A          59  33     1
QSO: 28000 PH 2012-10-27 1558 N3QC          59  5      G3TXF         59  14     1
QSO: 28000 PH 2012-10-27 1558 N3QC          59  5      TM7F          59  14     1
QSO: 21000 PH 2012-10-27 1559 N3QC          59  5      OK8WW         59  15     0
QSO: 28000 PH 2012-10-27 1601 N3QC          59  5      9A8M          59  15     1
QSO: 28000 PH 2012-10-27 1602 N3QC          59  5      LZ9W          59  20     1
QSO: 21000 PH 2012-10-27 1604 N3QC          59  5      GM2V          59  14     0
QSO: 28000 PH 2012-10-27 1614 N3QC          59  5      SN6Z          59  15     1
QSO: 28000 PH 2012-10-27 1617 N3QC          59  5      OT5A          59  14     1
QSO: 28000 PH 2012-10-27 1619 N3QC          59  5      GM0OQV        59  14     1
QSO: 28000 PH 2012-10-27 1621 N3QC          59  5      PI4DX         59  14     1
QSO: 28000 PH 2012-10-27 1622 N3QC          59  5      GZ5Y          59  14     1
QSO: 28000 PH 2012-10-27 1623 N3QC          59  5      DL5L          59  14     1
QSO: 21000 PH 2012-10-27 1625 N3QC          59  5      HA4XH         59  15     0
QSO: 28000 PH 2012-10-27 1630 N3QC          59  5      M6T           59  14     1
QSO: 21000 PH 2012-10-27 1632 N3QC          59  5      OM5M          59  15     0
QSO: 28000 PH 2012-10-27 1638 N3QC          59  5      EA1FDI        59  14     1
QSO: 28000 PH 2012-10-27 1639 N3QC          59  5      GM0EGI        59  14     1
QSO: 28000 PH 2012-10-27 1640 N3QC          59  5      M2H           59  14     1
QSO: 28000 PH 2012-10-27 1640 N3QC          59  5      EA1DR         59  14     1
QSO: 28000 PH 2012-10-27 1641 N3QC          59  5      EA8AY         59  33     1
QSO: 21000 PH 2012-10-27 1641 N3QC          59  5      NK7U          59  03     0
QSO: 28000 PH 2012-10-27 1642 N3QC          59  5      GT8IOM        59  14     1
QSO: 28000 PH 2012-10-27 1643 N3QC          59  5      KY7M          59  03     1
QSO: 28000 PH 2012-10-27 1644 N3QC          59  5      EA3WL         59  14     1
QSO: 28000 PH 2012-10-27 1646 N3QC          59  5      MW2I          59  14     1
QSO: 28000 PH 2012-10-27 1647 N3QC          59  5      VE6BMX        59  04     1
QSO: 21000 PH 2012-10-27 1648 N3QC          59  5      WTM6M         58  05     0
QSO: 28000 PH 2012-10-27 1648 N3QC          59  5      MM0TFU        59  14     1
QSO: 28000 PH 2012-10-27 1649 N3QC          59  5      G3ZQH         59  14     1
QSO: 28000 PH 2012-10-27 1650 N3QC          59  5      W6YI          59  03     1
QSO: 28000 PH 2012-10-27 1651 N3QC          59  5      G0DWV         59  14     1
QSO: 21000 PH 2012-10-27 1653 N3QC          59  5      DR1A          58  14     0
QSO: 28000 PH 2012-10-27 1654 N3QC          59  5      EA1KE         59  14     1
QSO: 21000 PH 2012-10-27 1656 N3QC          59  5      HB9EE         59  14     0
QSO: 28000 PH 2012-10-27 1658 N3QC          59  5      F6HRP         59  14     1
QSO: 21000 PH 2012-10-27 1659 N3QC          59  5      RU1A          59  16     0
QSO: 28000 PH 2012-10-27 1700 N3QC          59  5      MI0AYR        59  14     1
QSO: 21000 PH 2012-10-27 1701 N3QC          59  5      TM1E          59  14     0
QSO: 28000 PH 2012-10-27 1702 N3QC          59  5      F5UFX         59  14     1
QSO: 21000 PH 2012-10-27 1703 N3QC          59  5      GM5X          59  14     0
