START-OF-LOG: 3.0
CONTEST: ARRL-10-GHZ
LOCATION: SJV
CALLSIGN: K6ML
CATEGORY-BAND: ALL
OPERATORS: K6ML
CATEGORY-ASSISTED: ASSISTED
CATEGORY-MODE: MIXED
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-POWER: HIGH
CATEGORY-STATION: ROVER
CATEGORY-TIME: 24-HOURS
CATEGORY-TRANSMITTER: UNLIMITED
CATEGORY-OVERLAY: CLASSIC
CLUB: THE 50MHZ AND UP GROUP OF NORTHERN CALIFORNIA
CREATED-BY: N9JIM 0.41
HQ-CATEGORY: 10 GHz and Up
QSO: 10G PH 2025-08-16 1607 K6ML CM97JK N6RMJ DM05AX
QSO: 10G PH 2025-08-16 1607 K6ML CM97JK K6VHF DM05AX
QSO: 10G PH 2025-08-16 1608 K6ML CM97JK NJ6D DM05AX
QSO: 10G PH 2025-08-16 1621 K6ML CM97JK W6QIW DM04MS
QSO: 10G PH 2025-08-16 1622 K6ML CM97JK N6NU DM04MS
QSO: 10G PH 2025-08-16 1638 K6ML CM97JK W7RWN DM04MS
QSO: 10G PH 2025-08-16 1728 K6ML CM97KH W6QIW DM04MS
QSO: 10G PH 2025-08-16 1729 K6ML CM97KH N6NU DM04MS
QSO: 10G PH 2025-08-16 1730 K6ML CM97KH W7RWN DM04MS
QSO: 10G PH 2025-08-16 1743 K6ML CM97KH KB6BA CM88WJ
QSO: 10G PH 2025-08-16 1744 K6ML CM97KH AA6PZ CM88WJ
QSO: 10G PH 2025-08-16 1744 K6ML CM97KH AD6IW CM97AV
QSO: 10G PH 2025-08-16 1758 K6ML CM97KH N6RMJ DM05AX
QSO: 10G PH 2025-08-16 1759 K6ML CM97KH K6VHF DM05AX
QSO: 10G PH 2025-08-16 1759 K6ML CM97KH NJ6D DM05AX
QSO: 10G PH 2025-08-16 1905 K6ML CM96OU W6QIW DM04MS
QSO: 10G PH 2025-08-16 1906 K6ML CM96OU N6NU DM04MS
QSO: 10G PH 2025-08-16 1906 K6ML CM96OU W7RWN DM04MS
QSO: 10G PH 2025-08-16 1907 K6ML CM96OU N5BF DM04MS
QSO: 10G PH 2025-08-16 1924 K6ML CM96OU KB6BA CM88WJ
QSO: 10G PH 2025-08-16 1924 K6ML CM96OU K6TJ CM88WJ
QSO: 10G PH 2025-08-16 1926 K6ML CM96OU AA6PZ CM88WJ
QSO: 10G PH 2025-08-16 1931 K6ML CM96OU AD6IW CM97AV
QSO: 10G PH 2025-08-16 2046 K6ML CM96TM W6QIW DM04MS
QSO: 10G PH 2025-08-16 2046 K6ML CM96TM N6NU DM04MS
QSO: 10G PH 2025-08-16 2047 K6ML CM96TM W7RWN DM04MS
QSO: 10G PH 2025-08-16 2047 K6ML CM96TM N5BF DM04MS
QSO: 10G PH 2025-08-16 2125 K6ML CM96TM AA6PZ CM88WJ
QSO: 10G PH 2025-08-16 2126 K6ML CM96TM KB6BA CM88WJ
QSO: 10G PH 2025-08-16 2126 K6ML CM96TM K6TJ CM88WJ
QSO: 10G PH 2025-08-16 2127 K6ML CM96TM WA6QDP CM88WJ
QSO: 10G PH 2025-08-16 2132 K6ML CM96TM AD6IW CM97AV
QSO: 10G PH 2025-08-16 2156 K6ML CM96TM N6RMJ DM05AS
QSO: 10G PH 2025-08-16 2156 K6ML CM96TM NJ6D DM05AS
QSO: 10G PH 2025-08-16 2157 K6ML CM96TM K6VHF DM05AS
QSO: 10G PH 2025-08-17 0004 K6ML CM96WG W6QIW DM04MS
QSO: 10G PH 2025-08-17 0005 K6ML CM96WG N6NU DM04MS
QSO: 10G PH 2025-08-17 0005 K6ML CM96WG W7RWN DM04MS
QSO: 10G PH 2025-08-17 0005 K6ML CM96WG N5BF DM04MS
QSO: 24G PH 2025-08-17 0025 K6ML CM96WG N6NU DM04MS
QSO: 10G PH 2025-08-17 0048 K6ML CM96WG KB6BA CM88WJ
