START-OF-LOG: 3.0
CREATED-BY: spcwc-ttc-public-log-downloader
CONTEST: TTC-SPCWC
CALLSIGN: M0RPA
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: 40M
CATEGORY-MODE: CW
CATEGORY-POWER: LOW
CATEGORY: SO40-LP
CLAIMED-SCORE: 9
OPERATORS: M0RPA
SOAPBOX: Generated from public checked-log view https://spcwc.pl/9/log/M0RPA?lang=en
SOAPBOX: QSO status/error details from the public page are not represented in Cabrillo QSO lines.
SOAPBOX: Public checked-log view reported 3 QSO rows with non-OK status.
QSO:  7030 CW 2026-06-02 1931 M0RPA         599 001    SF6J          599 003   
QSO:  7030 CW 2026-06-02 1940 M0RPA         599 002    SE5T          599 102   
QSO:  7030 CW 2026-06-02 1946 M0RPA         599 003    SC6O          599 028   
QSO:  7030 CW 2026-06-02 1950 M0RPA         599 004    SN7O          599 042   
QSO:  7030 CW 2026-06-02 1951 M0RPA         599 005    SN1T          599 056   
QSO:  7030 CW 2026-06-02 1955 M0RPA         599 006    G4BFG         599 024   
QSO:  7030 CW 2026-06-02 1957 M0RPA         599 007    G0JOS         599 010   
QSO:  7030 CW 2026-06-02 2000 M0RPA         599 008    LY6A          599 058   
QSO:  7030 CW 2026-06-02 2002 M0RPA         599 009    SP2XX         599 040   
QSO:  7030 CW 2026-06-02 2008 M0RPA         599 010    SP1AEN        599 052   
QSO:  7030 CW 2026-06-02 2012 M0RPA         599 011    SP3CYY        599 058   
QSO:  7030 CW 2026-06-02 2016 M0RPA         599 012    SN7O          599 108   
END-OF-LOG:
