START-OF-LOG: 3.0
CONTEST: ARRL-VHF-JUN
LOCATION: WCF
CALLSIGN: N9NFT
CATEGORY-MODE: MIXED
CATEGORY-BAND: VHF-3-BAND
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CREATED-BY: CABCONVERTER 2.05, CONTEST RECIPE VERSION 1.01, BY NE1RD
OPERATORS: N9NFT
HQ-CATEGORY: Single Operator, 3 Band
HQ-GRID-LOCATOR: EL88XC
QSO: 50 DG 2020-06-15 0158 N9NFT EL88 K0PHP EM38
QSO: 50 DG 2020-06-15 0155 N9NFT EL88 K0DAS EN42
QSO: 50 DG 2020-06-15 0154 N9NFT EL88 K0MHC EN26
QSO: 50 DG 2020-06-15 0153 N9NFT EL88 N0AT EN34
QSO: 50 DG 2020-06-15 0151 N9NFT EL88 W9WO EM69
QSO: 50 DG 2020-06-15 0150 N9NFT EL88 K7DR EN82
QSO: 50 DG 2020-06-15 0147 N9NFT EL88 KF3FRK EM64
QSO: 50 DG 2020-06-15 0144 N9NFT EL88 WC3N FM19
QSO: 50 DG 2020-06-15 0141 N9NFT EL88 WA3EKL FM19
QSO: 50 DG 2020-06-15 0140 N9NFT EL88 K3AJ FM19
QSO: 50 DG 2020-06-15 0138 N9NFT EL88 WK9U EN65
QSO: 50 DG 2020-06-15 0135 N9NFT EL88 KJ6SDF FM18
QSO: 50 DG 2020-06-15 0131 N9NFT EL88 KC4KK EN71
QSO: 50 DG 2020-06-15 0127 N9NFT EL88 WA9TT EN54
QSO: 50 DG 2020-06-15 0125 N9NFT EL88 N9TF EN52
QSO: 50 DG 2020-06-15 0123 N9NFT EL88 N2BJ EN61
QSO: 50 DG 2020-06-15 0121 N9NFT EL88 KD8SI EM79
QSO: 50 DG 2020-06-15 0118 N9NFT EL88 W1PV FN20
QSO: 50 DG 2020-06-15 0111 N9NFT EL88 K3YBN FM19
QSO: 50 DG 2020-06-15 0109 N9NFT EL88 K4MI FM17
QSO: 50 DG 2020-06-15 0108 N9NFT EL88 AA3S FM19
QSO: 50 DG 2020-06-15 0106 N9NFT EL88 N2MDF FN20
QSO: 50 DG 2020-06-15 0105 N9NFT EL88 K9SPH FN10
QSO: 50 DG 2020-06-15 0059 N9NFT EL88 KC8NZJ EN91
QSO: 50 PH 2020-06-15 0057 N9NFT EL88 KC3NPK FN00
QSO: 50 PH 2020-06-15 0052 N9NFT EL88 N3NGE FN20
QSO: 50 PH 2020-06-15 0046 N9NFT EL88 K1TEO FN31
QSO: 50 PH 2020-06-15 0045 N9NFT EL88 KC2THQ FN20
QSO: 50 PH 2020-06-15 0044 N9NFT EL88 WB2EOD FM29
QSO: 50 DG 2020-06-15 0039 N9NFT EL88 N3FIX FN10
QSO: 50 DG 2020-06-15 0036 N9NFT EL88 VE2EBK FN46
QSO: 50 DG 2020-06-15 0034 N9NFT EL88 KW1DX FN42
QSO: 50 DG 2020-06-15 0033 N9NFT EL88 W3FAY FM18
QSO: 50 DG 2020-06-15 0030 N9NFT EL88 K3TEF FM19
QSO: 50 DG 2020-06-15 0026 N9NFT EL88 N3ALN FM19
QSO: 50 DG 2020-06-15 0025 N9NFT EL88 N3DGE FN20
QSO: 50 DG 2020-06-15 0019 N9NFT EL88 K1JT FN20
QSO: 50 DG 2020-06-15 0018 N9NFT EL88 WT3K FM19
QSO: 50 DG 2020-06-15 0016 N9NFT EL88 WB3IGR FN10
QSO: 50 DG 2020-06-15 0015 N9NFT EL88 NI4MX EL87
QSO: 50 DG 2020-06-15 0012 N9NFT EL88 W3SW FN22
QSO: 50 DG 2020-06-15 0011 N9NFT EL88 WS3O FN20
QSO: 50 DG 2020-06-15 0009 N9NFT EL88 K9RS FN28
QSO: 50 DG 2020-06-15 0007 N9NFT EL88 N1NK FN41
QSO: 50 DG 2020-06-15 0006 N9NFT EL88 VE2DLC FN58
QSO: 50 PH 2020-06-15 0005 N9NFT EL88 KE1LI FN41
QSO: 50 PH 2020-06-15 0003 N9NFT EL88 N1JEZ FN44
QSO: 50 PH 2020-06-15 0001 N9NFT EL88 NN1D FN41
QSO: 50 PH 2020-06-14 2355 N9NFT EL88 K1KA FN42
QSO: 50 PH 2020-06-14 2353 N9NFT EL88 W1QK FN31
QSO: 50 PH 2020-06-14 2351 N9NFT EL88 WB1GQR FN34
QSO: 50 PH 2020-06-14 2346 N9NFT EL88 W2FU FN13
