START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CALLSIGN: G3LET
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: 80M
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: CLASSIC
GRID-LOCATOR: IO90WX
CLAIMED-SCORE: 158326
NAME: Peter Hobbs
OPERATORS: G3LET
CLUB: HORSHAM AMATEUR RADIO  CLUB
CREATED-BY: SD by EI5DI
SOAPBOX: First CQWW for a while - wonderful!  Unfortunately, I
SOAPBOX: had to abandon a nice US run in the early hours of
SOAPBOX: Sunday due to an appointment - Sunday was much better
SOAPBOX: than Saturday.  Plenty of JAs but all S&P and with LP
SOAPBOX:     I was unable     to    attract          any. Thanks to               all  for  the
QSO:    3517  CW 2020-11-28 0003  G3LET            599  14  DK7A             599  14  
QSO:    3516  CW 2020-11-28 0005  G3LET            599  14  SP9GR            599  15  
QSO:    3503  CW 2020-11-28 0007  G3LET            599  14  YR8D             599  20  
QSO:    3501  CW 2020-11-28 0008  G3LET            599  14  UX0KR            599  16  
QSO:    3500  CW 2020-11-28 0009  G3LET            599  14  K3UA             599  05  
QSO:    3500  CW 2020-11-28 0010  G3LET            599  14  OK7W             599  15  
QSO:    3500  CW 2020-11-28 0011  G3LET            599  14  IK2EGL           599  15  
QSO:    3500  CW 2020-11-28 0011  G3LET            599  14  HG6N             599  15  
QSO:    3501  CW 2020-11-28 0012  G3LET            599  14  I1JTQ            599  15  
QSO:    3501  CW 2020-11-28 0012  G3LET            599  14  OK1DPU           599  15  
QSO:    3501  CW 2020-11-28 0013  G3LET            599  14  TM6M             599  14  
QSO:    3501  CW 2020-11-28 0013  G3LET            599  14  SP3GTS           599  15  
QSO:    3501  CW 2020-11-28 0013  G3LET            599  14  IK3ORD           599  15  
QSO:    3501  CW 2020-11-28 0013  G3LET            599  14  DC6O             599  14  
QSO:    3501  CW 2020-11-28 0014  G3LET            599  14  DM7CW            599  14  
QSO:    3500  CW 2020-11-28 0014  G3LET            599  14  9A3JB            599  15  
QSO:    3500  CW 2020-11-28 0015  G3LET            599  14  IK3OBX           599  15  
QSO:    3500  CW 2020-11-28 0015  G3LET            599  14  EA5RS            599  14  
QSO:    3500  CW 2020-11-28 0015  G3LET            599  14  DK5DQ            599  14  
QSO:    3500  CW 2020-11-28 0016  G3LET            599  14  RW7F             599  16  
QSO:    3500  CW 2020-11-28 0016  G3LET            599  14  DL1SVA           599  14  
QSO:    3500  CW 2020-11-28 0016  G3LET            599  14  S54W             599  15  
QSO:    3500  CW 2020-11-28 0016  G3LET            599  14  RL3A             599  16  
QSO:    3500  CW 2020-11-28 0017  G3LET            599  14  G0TKZ            599  14  
QSO:    3500  CW 2020-11-28 0018  G3LET            599  14  EA5WU            599  14  
QSO:    3500  CW 2020-11-28 0018  G3LET            599  14  F8FUA            599  14  
QSO:    3500  CW 2020-11-28 0019  G3LET            599  14  W8AV             599  05  
QSO:    3500  CW 2020-11-28 0019  G3LET            599  14  PI4SHB           599  14  
QSO:    3500  CW 2020-11-28 0020  G3LET            599  14  UA3QPA           599  16  
QSO:    3500  CW 2020-11-28 0020  G3LET            599  14  RT3C             599  16  
QSO:    3500  CW 2020-11-28 0021  G3LET            599  14  HG6L             599  15  
QSO:    3500  CW 2020-11-28 0021  G3LET            599  14  YL2TD            599  15  
QSO:    3500  CW 2020-11-28 0021  G3LET            599  14  SP3MEP           599  15  
QSO:    3500  CW 2020-11-28 0022  G3LET            599  14  UD4C             599  16  
QSO:    3500  CW 2020-11-28 0023  G3LET            599  14  N3RD             599  05  
QSO:    3500  CW 2020-11-28 0024  G3LET            599  14  IK4MTF           599  15  
QSO:    3500  CW 2020-11-28 0025  G3LET            599  14  OK1TN            599  15  
QSO:    3500  CW 2020-11-28 0025  G3LET            599  14  DL3ANK           599  14  
