START-OF-LOG: 3.0
CREATED-BY: Win-Test 3.24.0
CONTEST: CQ-WPX-CW
CALLSIGN: G4PIQ
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 5292
OPERATORS: G4PIQ
NAME: Andy Cook
SOAPBOX: K2/100, 100W, Twisted G5RV, one leg @ 8m, other round fence
SOAPBOX: Just a few QSOs from home. Worked last 6 hours of contest at M6T as well
QSO: 21009 CW 2009-05-30 1710 G4PIQ         599 0001   YT0Z          599 766    0
QSO: 21009 CW 2009-05-30 1711 G4PIQ         599 0002   YU1KX         599 644    0
QSO: 21009 CW 2009-05-30 1712 G4PIQ         599 0003   9A5K          599 773    0
QSO: 21009 CW 2009-05-30 1713 G4PIQ         599 0004   HG1S          599 320    0
QSO: 21009 CW 2009-05-30 1713 G4PIQ         599 0005   EA6IB         599 982    0
QSO: 21009 CW 2009-05-30 1715 G4PIQ         599 0006   HG3R          599 691    0
QSO: 28500 CW 2009-05-30 1716 G4PIQ         599 0007   9A3VM         599 294    0
QSO: 28500 CW 2009-05-30 1717 G4PIQ         599 0008   9A800VZ       599 095    0
QSO: 28500 CW 2009-05-30 1718 G4PIQ         599 0009   E73O          599 491    0
QSO: 14000 CW 2009-05-30 1725 G4PIQ         599 0010   M6T           599 838    0
QSO: 14000 CW 2009-05-30 1729 G4PIQ         599 0011   KN6DV         599 650    0
QSO: 14010 CW 2009-05-30 1805 G4PIQ         599 0012   RK3K          599 964    0
QSO: 14010 CW 2009-05-30 1805 G4PIQ         599 0013   OE5OHO        599 496    0
QSO: 14010 CW 2009-05-30 1806 G4PIQ         599 0014   LA2AB         599 1039   0
QSO: 21000 CW 2009-05-30 1808 G4PIQ         599 0015   CN3A          599 1372   0
QSO: 21000 CW 2009-05-30 1809 G4PIQ         599 0016   3V9A          599 2488   0
QSO: 21009 CW 2009-05-30 1812 G4PIQ         599 0017   C4N           599 403    0
QSO: 21009 CW 2009-05-30 1815 G4PIQ         599 0018   YL2SM         599 620    0
QSO: 21009 CW 2009-05-30 1816 G4PIQ         599 0019   CU2X          599 1730   0
QSO: 21009 CW 2009-05-30 1819 G4PIQ         599 0020   S59AA         599 161    0
QSO: 21009 CW 2009-05-30 1819 G4PIQ         599 0021   IN3QBR        599 738    0
QSO:  7016 CW 2009-05-30 2134 G4PIQ         599 0022   YL2KO         599 1505   0
QSO:  7016 CW 2009-05-30 2134 G4PIQ         599 0023   DQ4W          599 1002   0
QSO:  7016 CW 2009-05-30 2135 G4PIQ         599 0024   YO3JW         599 281    0
QSO:  7016 CW 2009-05-30 2135 G4PIQ         599 0025   HG7T          599 1378   0
QSO:  7016 CW 2009-05-30 2136 G4PIQ         599 0026   RN1ON         599 496    0
QSO:  7016 CW 2009-05-30 2137 G4PIQ         599 0027   9A800VZ       599 1113   0
QSO:  7016 CW 2009-05-30 2138 G4PIQ         599 0028   C4N           599 612    0
QSO: 14010 CW 2009-05-30 2144 G4PIQ         599 0029   K3WW          599 1016   0
QSO: 14010 CW 2009-05-30 2146 G4PIQ         599 0030   NG3R          599 1256   0
QSO: 14010 CW 2009-05-30 2148 G4PIQ         599 0031   AA3B          599 1592   0
QSO: 14010 CW 2009-05-30 2149 G4PIQ         599 0032   K4RO          599 1322   0
QSO: 14010 CW 2009-05-30 2150 G4PIQ         599 0033   NS1S          599 960    0
QSO: 14010 CW 2009-05-30 2153 G4PIQ         599 0034   UU7J          599 1517   0
QSO: 14010 CW 2009-05-30 2154 G4PIQ         599 0035   KT3Y          599 1444   0
QSO: 14010 CW 2009-05-30 2155 G4PIQ         599 0036   J41E          599 659    0
QSO: 14010 CW 2009-05-30 2155 G4PIQ         599 0037   VC3A          599 1781   0
QSO: 14010 CW 2009-05-30 2156 G4PIQ         599 0038   IR9Y          599 1195   0
QSO: 14010 CW 2009-05-30 2157 G4PIQ         599 0039   WW4E          599 928    0
QSO: 14010 CW 2009-05-30 2158 G4PIQ         599 0040   LZ9W          599 1186   0
QSO: 14010 CW 2009-05-30 2159 G4PIQ         599 0041   NV1N          599 1209   0
QSO: 14010 CW 2009-05-30 2205 G4PIQ         599 0042   AK1W          599 1773   0
QSO: 14010 CW 2009-05-30 2207 G4PIQ         599 0043   K1LZ          599 1301   0
QSO: 14010 CW 2009-05-30 2207 G4PIQ         599 0044   WX3B          599 711    0
QSO: 14010 CW 2009-05-30 2208 G4PIQ         599 0045   NR4M          599 1573   0
QSO: 14010 CW 2009-05-30 2209 G4PIQ         599 0046   WC1M          599 1929   0
QSO: 14010 CW 2009-05-30 2209 G4PIQ         599 0047   KC3R          599 1874   0
QSO: 14010 CW 2009-05-30 2212 G4PIQ         599 0048   KQ2M          599 1594   0
QSO: 14010 CW 2009-05-30 2212 G4PIQ         599 0049   VY2TT         599 2116   0
QSO: 14010 CW 2009-05-30 2213 G4PIQ         599 0050   WE3C          599 1556   0
QSO: 21009 CW 2009-05-31 0958 G4PIQ         599 0051   M6T           599 245    0
QSO: 28000 CW 2009-05-31 1002 G4PIQ         599 0052   OH0EC         599 303    0
QSO: 28000 CW 2009-05-31 1005 G4PIQ         599 0053   YT3M          599 458    0
END-OF-LOG:
