START-OF-LOG: 3.0
CREATED-BY:    SD by EI5DI
LOCATION:      DX
CONTEST:       CQ-WPX-CW
CALLSIGN:      OZ/G4DDL
CATEGORY-OVERLAY: TB-WIRES
CLAIMED-SCORE: 20160
NAME:          Mike Pemberton
CLUB:          BRACKNELL AMATEUR RADIO CLUB
OPERATORS:     OZ/G4DDL
SOAPBOX:       On holiday but could not resist a few QSOs in this
SOAPBOX:       contest. Loads of fun. Should have stayed home and done
SOAPBOX:       it seriously. QTH Helnaes, Fyn Island, Denmark: EU-172
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
QSO: 14060 CW 2009-05-30 2004 OZ/G4DDL      599  001   4L0A          599 1965
QSO: 14046 CW 2009-05-30 2015 OZ/G4DDL      599  002   9A800VZ       599 1103
QSO:  7006 CW 2009-05-30 2028 OZ/G4DDL      599  003   S50A          599 1393
QSO:  7008 CW 2009-05-30 2030 OZ/G4DDL      599  004   HG8R          599 1314
QSO:  7010 CW 2009-05-30 2033 OZ/G4DDL      599  005   DL1A          599 1019
QSO:  7013 CW 2009-05-30 2035 OZ/G4DDL      599  006   G6PZ          599  569
QSO:  7015 CW 2009-05-30 2038 OZ/G4DDL      599  007   HG7T          599 1326
QSO:  7016 CW 2009-05-30 2043 OZ/G4DDL      599  008   YU1DW         599  803
QSO:  7021 CW 2009-05-30 2047 OZ/G4DDL      599  009   OE3I          599  863
QSO:  7022 CW 2009-05-30 2050 OZ/G4DDL      599  010   S53M          599  698
QSO:  7022 CW 2009-05-30 2054 OZ/G4DDL      599  011   S55OO         599  130
QSO:  7026 CW 2009-05-30 2056 OZ/G4DDL      599  012   RL4R          599  889
QSO:  7036 CW 2009-05-30 2101 OZ/G4DDL      599  013   G4MKP         599  544
QSO:  7034 CW 2009-05-30 2104 OZ/G4DDL      599  014   YO2KJI        599 1027
QSO:  3501 CW 2009-05-30 2108 OZ/G4DDL      599  015   OZ7AM         599  953
QSO:  3502 CW 2009-05-30 2110 OZ/G4DDL      599  016   LY8O          599 1572
QSO:  3505 CW 2009-05-30 2113 OZ/G4DDL      599  017   9A1CCY        599  681
QSO:  3507 CW 2009-05-30 2117 OZ/G4DDL      599  018   OG8X          599 1894
QSO:  3510 CW 2009-05-30 2118 OZ/G4DDL      599  019   SM0W          599  547
QSO:  3515 CW 2009-05-30 2122 OZ/G4DDL      599  020   HG8R          599 1371
QSO:  3523 CW 2009-05-30 2125 OZ/G4DDL      599  021   DJ3WE         599  789
QSO:  3524 CW 2009-05-30 2129 OZ/G4DDL      599  022   LY7M          599  507
QSO:  3534 CW 2009-05-30 2132 OZ/G4DDL      599  023   OM3KWZ        599  867
QSO:  3538 CW 2009-05-30 2134 OZ/G4DDL      599  024   OG0R          599 1684
QSO:  3541 CW 2009-05-30 2136 OZ/G4DDL      599  025   LN3Z          599  236
QSO:  3560 CW 2009-05-30 2138 OZ/G4DDL      599  026   LY2GW         599  363
QSO:  3558 CW 2009-05-30 2142 OZ/G4DDL      599  027   OL2N          599  594
QSO:  3547 CW 2009-05-30 2143 OZ/G4DDL      599  028   OK1NI         599  331
QSO:  3543 CW 2009-05-30 2144 OZ/G4DDL      599  029   OM4KW         599  620
QSO:  7032 CW 2009-05-30 2150 OZ/G4DDL      599  030   LZ3FN         599 1666
QSO:  7026 CW 2009-05-30 2156 OZ/G4DDL      599  031   HG3A          599  841
QSO:  7031 CW 2009-05-30 2202 OZ/G4DDL      599  032   S52ZW         599  534
QSO:  7038 CW 2009-05-31 0712 OZ/G4DDL      599  033   OH6M          599 1110
QSO:  7030 CW 2009-05-31 0715 OZ/G4DDL      599  034   SP4TKR        599  813
QSO:  7029 CW 2009-05-31 0723 OZ/G4DDL      599  035   G4BXT         599  132
QSO:  7028 CW 2009-05-31 0724 OZ/G4DDL      599  036   9A5W          599 1639
QSO: 14040 CW 2009-05-31 0757 OZ/G4DDL      599  037   LZ9W          599 1422
QSO: 14039 CW 2009-05-31 0757 OZ/G4DDL      599  038   RM3F          599 2535
QSO: 14035 CW 2009-05-31 0759 OZ/G4DDL      599  039   RV3FI         599 1203
QSO: 14033 CW 2009-05-31 0800 OZ/G4DDL      599  040   9A9A          599 1711
QSO: 14029 CW 2009-05-31 0801 OZ/G4DDL      599  041   E7DX          599 1517
QSO: 14023 CW 2009-05-31 0803 OZ/G4DDL      599  042   EA1WX         599  255
QSO: 14022 CW 2009-05-31 0805 OZ/G4DDL      599  043   RX0AW         599  849
QSO: 14021 CW 2009-05-31 0807 OZ/G4DDL      599  044   F8EZE         599  414
QSO: 14019 CW 2009-05-31 0807 OZ/G4DDL      599  045   4U1ITU        599 1305
QSO: 14013 CW 2009-05-31 0810 OZ/G4DDL      599  046   ED2R          599  574
QSO: 14011 CW 2009-05-31 0813 OZ/G4DDL      599  047   UP2L          599 2171
QSO: 14006 CW 2009-05-31 0814 OZ/G4DDL      599  048   YT1BB         599  566
QSO: 14003 CW 2009-05-31 0815 OZ/G4DDL      599  049   EU1CL         599  905
QSO: 14067 CW 2009-05-31 0816 OZ/G4DDL      599  050   LZ1BJ         599  524
QSO: 14066 CW 2009-05-31 0817 OZ/G4DDL      599  051   S57U          599  546
QSO: 14064 CW 2009-05-31 0818 OZ/G4DDL      599  052   OF200AD       599 1150
QSO: 14062 CW 2009-05-31 0819 OZ/G4DDL      599  053   LY1CX         599  221
QSO: 14049 CW 2009-05-31 0820 OZ/G4DDL      599  054   S53F          599  770
QSO: 14046 CW 2009-05-31 0821 OZ/G4DDL      599  055   UU7J          599 1939
QSO: 14044 CW 2009-05-31 0832 OZ/G4DDL      599  056   OH3FM         599  296
QSO: 14039 CW 2009-05-31 0833 OZ/G4DDL      599  057   EF7R          599  909
QSO: 14037 CW 2009-05-31 0834 OZ/G4DDL      599  058   LY4CW         599 1095
QSO: 14034 CW 2009-05-31 0836 OZ/G4DDL      599  059   IK0YUT        599  080
QSO: 14022 CW 2009-05-31 0839 OZ/G4DDL      599  060   RZ9ST         599 1482
QSO: 28005 CW 2009-05-31 0909 OZ/G4DDL      599  061   EF5BM         599  267
QSO: 28007 CW 2009-05-31 0910 OZ/G4DDL      599  062   YO8DDP        599  157
QSO: 28012 CW 2009-05-31 0914 OZ/G4DDL      599  063   9A3VM         599  418
QSO: 28022 CW 2009-05-31 0915 OZ/G4DDL      599  064   YT3M          599  404
QSO: 28034 CW 2009-05-31 0916 OZ/G4DDL      599  065   YT2T          599  331
QSO: 28039 CW 2009-05-31 0918 OZ/G4DDL      599  066   E73O          599  699
QSO: 28040 CW 2009-05-31 0920 OZ/G4DDL      599  067   IZ0FZM        599  199
QSO: 28044 CW 2009-05-31 0921 OZ/G4DDL      599  068   E73C          599  575
QSO: 28049 CW 2009-05-31 0922 OZ/G4DDL      599  069   HA8TP         599  295
QSO: 28051 CW 2009-05-31 0922 OZ/G4DDL      599  070   E72U          599  238
QSO: 28002 CW 2009-05-31 0923 OZ/G4DDL      599  071   UE80MC        599  878
QSO: 28007 CW 2009-05-31 0925 OZ/G4DDL      599  072   LZ9W          599  519
QSO: 28009 CW 2009-05-31 0926 OZ/G4DDL      599  073   YU/N8BO       599  029
QSO: 28017 CW 2009-05-31 0929 OZ/G4DDL      599  074   OH0EC         599  256
QSO: 28021 CW 2009-05-31 0931 OZ/G4DDL      599  075   Z36W          599  124
QSO: 21014 CW 2009-05-31 0936 OZ/G4DDL      599  076   9A800VZ       599  332
QSO: 21018 CW 2009-05-31 0936 OZ/G4DDL      599  077   LZ8E          599 3065
QSO: 21019 CW 2009-05-31 0938 OZ/G4DDL      599  078   OY1CT         599 1582
