START-OF-LOG: 3.0
CREATED-BY:    SD by EI5DI
LOCATION:      DX
CONTEST:       CQ-WPX-CW
CALLSIGN:      LA1EK
CLAIMED-SCORE: 22466
NAME:          Steinar Sandbu
OPERATORS:     LA1EK
SOAPBOX:       I enjoyed this - my first participation in this contest
SOAPBOX:       May be I'll put more effort in competition next time.
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
QSO:  3500 CW 2009-05-30 0200 LA1EK         599  001   S59A          599  098
QSO:  3500 CW 2009-05-30 0227 LA1EK         599  002   UX7U          599  124
QSO:  3500 CW 2009-05-30 0229 LA1EK         599  003   RW2F          599  248
QSO:  3500 CW 2009-05-30 0236 LA1EK         599  004   DF0SAX        599  222
QSO:  3500 CW 2009-05-30 0348 LA1EK         599  005   SP5KCR        599  269
QSO:  3500 CW 2009-05-30 0350 LA1EK         599  006   SM0W          599  282
QSO:  3500 CW 2009-05-30 0352 LA1EK         599  007   DL1MGB        599  273
QSO:  3500 CW 2009-05-30 0402 LA1EK         599  008   G6PZ          599  131
QSO:  3500 CW 2009-05-30 0411 LA1EK         599  009   DK5JM         599  249
QSO:  3500 CW 2009-05-30 0412 LA1EK         599  010   OL0W          599  291
QSO:  3500 CW 2009-05-30 0414 LA1EK         599  011   G1A           599  457
QSO:  3500 CW 2009-05-30 0417 LA1EK         599  012   OK7Y          599  322
QSO:  3500 CW 2009-05-30 0420 LA1EK         599  013   OV5A          599  115
QSO:  3500 CW 2009-05-30 0450 LA1EK         599  014   ES9C          599  092
QSO:  3500 CW 2009-05-30 0454 LA1EK         599  015   OK2BYW        599  276
QSO:  3500 CW 2009-05-30 0457 LA1EK         599  016   9A1CCY        599  415
QSO:  3500 CW 2009-05-30 0500 LA1EK         599  017   G5O           599  189
QSO:  3500 CW 2009-05-30 0507 LA1EK         599  018   OL2N          599  358
QSO: 14000 CW 2009-05-30 0834 LA1EK         599  019   KQ2M          599  653
QSO: 14000 CW 2009-05-30 0910 LA1EK         599  020   A73A          599  507
QSO: 14000 CW 2009-05-30 0915 LA1EK         599  021   G7PZ          599  428
QSO:  7000 CW 2009-05-30 0926 LA1EK         599  022   OT5W          599  508
QSO:  7000 CW 2009-05-30 0928 LA1EK         599  023   DM3ML         599  158
QSO:  7000 CW 2009-05-30 0936 LA1EK         599  024   YL2BJ         599  425
QSO:  7000 CW 2009-05-30 0941 LA1EK         599  025   DL5YYM        599  576
QSO:  7000 CW 2009-05-30 0950 LA1EK         599  026   EI2JD         599  225
QSO:  7000 CW 2009-05-30 0956 LA1EK         599  027   OL3Z          599  596
QSO:  7000 CW 2009-05-30 0959 LA1EK         599  028   S50R          599  474
QSO:  7000 CW 2009-05-30 1008 LA1EK         599  029   OM7AG         599  351
QSO:  7000 CW 2009-05-30 1011 LA1EK         599  030   EE2W          599  412
QSO:  7000 CW 2009-05-30 1013 LA1EK         599  031   YU1LA         599  890
QSO:  7000 CW 2009-05-30 1016 LA1EK         599  032   DK1KC         599  234
QSO:  7000 CW 2009-05-30 1033 LA1EK         599  033   EW7LO         599  457
QSO:  7000 CW 2009-05-30 1036 LA1EK         599  034   9A7T          599  336
QSO:  7000 CW 2009-05-30 1047 LA1EK         599  035   SP6OJE        599  261
QSO:  7000 CW 2009-05-30 1243 LA1EK         599  036   OZ5E          599  242
QSO: 14000 CW 2009-05-30 1737 LA1EK         599  037   VE3EJ         599 1211
QSO: 14000 CW 2009-05-31 0326 LA1EK         599  038   AB7E          599  841
QSO: 14000 CW 2009-05-31 0341 LA1EK         599  039   KT5J          599 2029
QSO: 14000 CW 2009-05-31 0346 LA1EK         599  040   NH7O          599 1215
QSO: 14000 CW 2009-05-31 0353 LA1EK         599  041   KF6T          599  856
QSO:  3500 CW 2009-05-31 0415 LA1EK         599  042   DL5JS         599  412
QSO:  3500 CW 2009-05-31 0432 LA1EK         599  043   DK3W          599  369
QSO: 14000 CW 2009-05-31 1049 LA1EK         599  044   DQ4W          599 1467
QSO: 14000 CW 2009-05-31 1104 LA1EK         599  045   VY2TT         599 2882
QSO: 14000 CW 2009-05-31 1111 LA1EK         599  046   UT4ZG         599 1342
QSO: 14000 CW 2009-05-31 1115 LA1EK         599  047   UA9KZ         599  279
QSO: 14000 CW 2009-05-31 1119 LA1EK         599  048   JF1SQC        599 1444
QSO: 14000 CW 2009-05-31 1128 LA1EK         599  049   KM9P          599 1891
QSO: 14000 CW 2009-05-31 1133 LA1EK         599  050   K3MJW         599  826
QSO: 14000 CW 2009-05-31 1142 LA1EK         599  051   ZC4LI         599 1799
QSO: 14000 CW 2009-05-31 1146 LA1EK         599  052   KC3R          599 2577
QSO: 14000 CW 2009-05-31 1148 LA1EK         599  053   RK0QZ         599 1609
QSO: 14000 CW 2009-05-31 1151 LA1EK         599  054   NG3R          599 1460
QSO: 14000 CW 2009-05-31 1153 LA1EK         599  055   W1FJ          599  608
QSO: 14000 CW 2009-05-31 1154 LA1EK         599  056   WE3C          599 2077
QSO: 14000 CW 2009-05-31 1159 LA1EK         599  057   NR4M          599 2071
QSO: 14000 CW 2009-05-31 1212 LA1EK         599  058   IZ3DBA        599  305
QSO: 14000 CW 2009-05-31 1228 LA1EK         599  059   KD4D          599 1616
QSO: 14000 CW 2009-05-31 1236 LA1EK         599  060   J48HW         599 1722
QSO: 14000 CW 2009-05-31 1331 LA1EK         599  061   RU3UR         599 1115
QSO: 14000 CW 2009-05-31 1337 LA1EK         599  062   VE3JM         599 2382
QSO: 14000 CW 2009-05-31 1944 LA1EK         599  063   K3WW          599 2066
QSO: 14000 CW 2009-05-31 1949 LA1EK         599  064   EF8M          599 3762
QSO: 14000 CW 2009-05-31 1954 LA1EK         599  065   EA1ND         599  065
QSO: 14000 CW 2009-05-31 2001 LA1EK         599  066   W3KL          599  686
QSO: 14000 CW 2009-05-31 2007 LA1EK         599  067   RT4D          599 2873
QSO: 14000 CW 2009-05-31 2014 LA1EK         599  068   3V9A          599 4046
QSO: 14000 CW 2009-05-31 2019 LA1EK         599  069   WC1M          599 2882
QSO: 14000 CW 2009-05-31 2025 LA1EK         599  070   WK1Q          599 2098
QSO: 14000 CW 2009-05-31 2035 LA1EK         599  071   Z35F          599  645
QSO: 14000 CW 2009-05-31 2041 LA1EK         599  072   4U1ITU        599 1515
QSO: 14000 CW 2009-05-31 2047 LA1EK         599  073   YT7DQ         599 1456
QSO: 14000 CW 2009-05-31 2055 LA1EK         599  074   PT2ZHA        599 1062
QSO: 14000 CW 2009-05-31 2115 LA1EK         599  075   4L8A          599 2538
QSO: 14000 CW 2009-05-31 2117 LA1EK         599  076   UP2L          599 2845
QSO: 14000 CW 2009-05-31 2120 LA1EK         599  077   KT3Y          599 2661
QSO: 14000 CW 2009-05-31 2125 LA1EK         599  078   WW2DX         599 2272
QSO: 14000 CW 2009-05-31 2129 LA1EK         599  079   AD4J          599 2546
QSO: 14000 CW 2009-05-31 2132 LA1EK         599  080   N81U          599 1827
QSO: 14000 CW 2009-05-31 2136 LA1EK         599  081   W3JK          599  205
QSO: 14000 CW 2009-05-31 2142 LA1EK         599  082   LU7KAT        599  622
QSO: 14000 CW 2009-05-31 2147 LA1EK         599  083   YM3A          599 2024
QSO: 14000 CW 2009-05-31 2149 LA1EK         599  084   IR1Y          599 1740
QSO: 14000 CW 2009-05-31 2154 LA1EK         599  085   K9OM          599 1358
QSO: 14000 CW 2009-05-31 2201 LA1EK         599  086   K4PV          599 1850
QSO: 14000 CW 2009-05-31 2208 LA1EK         599  087   ZY7C          599 1902
QSO: 14000 CW 2009-05-31 2215 LA1EK         599  088   AK1W          599 3190
QSO: 14000 CW 2009-05-31 2226 LA1EK         599  089   NR1N          599  767
QSO: 14000 CW 2009-05-31 2312 LA1EK         599  090   NQ2F          599 1719
QSO: 14000 CW 2009-05-31 2314 LA1EK         599  091   W1MD          599  738
QSO: 14000 CW 2009-05-31 2318 LA1EK         599  092   PJ2T          599 2484
QSO:  7000 CW 2009-05-31 2329 LA1EK         599  093   CN3A          599 3637
QSO:  7000 CW 2009-05-31 2336 LA1EK         599  094   WM3T          599 2716
QSO:  7000 CW 2009-05-31 2342 LA1EK         599  095   CT1JLZ        599 1959
QSO:  7000 CW 2009-05-31 2346 LA1EK         599  096   UA3R          599 4050
QSO:  7000 CW 2009-05-31 2349 LA1EK         599  097   OP4K          599 1457
QSO:  7000 CW 2009-05-31 2359 LA1EK         599  098   SN9D          599  863
END-OF-LOG:
