START-OF-LOG:  2.0
CREATED-BY:    SD by EI5DI
LOCATION:      DX
CONTEST:       CQ-WPX-CW
CALLSIGN:      G3LHJ
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-BAND: ALL
CATEGORY-POWER: QRP
CATEGORY-ASSISTED: NON-ASSISTED
CLAIMED-SCORE: 182895
NAME:          Derrick Webber
OPERATORS:     G3LHJ
SOAPBOX:       Enjoyable contest Condx a bit tough for Qrp working but
SOAPBOX:       could have been worse, good to have 10/15M open, but
SOAPBOX:       very little Stateside propagation.
QSO:  7000 CW 2009-05-30 0738 G3LHJ         599  001   LN3Z          599  423
QSO:  7000 CW 2009-05-30 0739 G3LHJ         599  002   OP4K          599  525
QSO:  7000 CW 2009-05-30 0740 G3LHJ         599  003   I1XSG         599  279
QSO:  7000 CW 2009-05-30 0742 G3LHJ         599  004   LZ9W          599  559
QSO:  7000 CW 2009-05-30 0743 G3LHJ         599  005   LY7A          599  430
QSO:  7000 CW 2009-05-30 0745 G3LHJ         599  006   HB9CVQ        599  507
QSO:  7000 CW 2009-05-30 0746 G3LHJ         599  007   DL7UMK        599  276
QSO:  7000 CW 2009-05-30 0749 G3LHJ         599  008   PA5W          599  725
QSO:  7000 CW 2009-05-30 0749 G3LHJ         599  009   DL1A          599  655
QSO:  7000 CW 2009-05-30 0750 G3LHJ         599  010   DF1LON        599  453
QSO:  7000 CW 2009-05-30 0751 G3LHJ         599  011   DL4CF         599  055
QSO:  7000 CW 2009-05-30 0751 G3LHJ         599  012   9A3Y          599  565
QSO:  7000 CW 2009-05-30 0752 G3LHJ         599  013   IR4X          599  837
QSO:  7000 CW 2009-05-30 0753 G3LHJ         599  014   IO3J          599  494
QSO:  7000 CW 2009-05-30 0754 G3LHJ         599  015   SM7YEA        599  100
QSO:  7000 CW 2009-05-30 0757 G3LHJ         599  016   F8CMF         599  094
QSO:  7000 CW 2009-05-30 0759 G3LHJ         599  017   DR800GRZ      599  001
QSO:  7000 CW 2009-05-30 0801 G3LHJ         599  018   YU1LA         599  780
QSO:  7000 CW 2009-05-30 0802 G3LHJ         599  019   PA4AO         599  173
QSO:  7000 CW 2009-05-30 0803 G3LHJ         599  020   SO9S          599  420
QSO:  7000 CW 2009-05-30 0805 G3LHJ         599  021   OZ7RQ         599  291
QSO:  7000 CW 2009-05-30 0806 G3LHJ         599  022   EW7LO         599  358
QSO:  7000 CW 2009-05-30 0808 G3LHJ         599  023   SP6OJE        599  157
QSO:  7000 CW 2009-05-30 0809 G3LHJ         599  024   SM6Q          599  061
QSO:  7000 CW 2009-05-30 0811 G3LHJ         599  025   G6PZ          599  375
QSO:  7000 CW 2009-05-30 0815 G3LHJ         599  026   DL1SCH        599  172
QSO:  7000 CW 2009-05-30 0816 G3LHJ         599  027   OK1Z          599  437
QSO:  7000 CW 2009-05-30 0818 G3LHJ         599  028   9A8A          599  682
QSO:  7000 CW 2009-05-30 0819 G3LHJ         599  029   LA8OM         599  477
QSO:  7000 CW 2009-05-30 0821 G3LHJ         599  030   CT1JLZ        599  717
QSO:  7000 CW 2009-05-30 0822 G3LHJ         599  031   IK2WXQ        599  019
QSO: 14000 CW 2009-05-30 0825 G3LHJ         599  032   S50A          599  836
QSO: 14000 CW 2009-05-30 0828 G3LHJ         599  033   YT7DQ         599  251
QSO: 14000 CW 2009-05-30 0831 G3LHJ         599  034   F/G4BJM       599  281
QSO: 14000 CW 2009-05-30 1426 G3LHJ         599  035   C4N           599  732
QSO: 14000 CW 2009-05-30 1427 G3LHJ         599  036   US0KW         599  472
QSO: 14000 CW 2009-05-30 1429 G3LHJ         599  037   SN6Z          599  769
QSO: 14000 CW 2009-05-30 1429 G3LHJ         599  038   E7DX          599  726
QSO: 14000 CW 2009-05-30 1430 G3LHJ         599  039   S50K          599  991
QSO: 14000 CW 2009-05-30 1431 G3LHJ         599  040   S08A          599  565
QSO: 14000 CW 2009-05-30 1434 G3LHJ         599  041   YT0A          599  482
QSO: 14000 CW 2009-05-30 1435 G3LHJ         599  042   LY9Y          599  965
QSO: 14000 CW 2009-05-30 1436 G3LHJ         599  043   EA4KA         599  359
QSO: 14000 CW 2009-05-30 1437 G3LHJ         599  044   RK3K          599  818
QSO: 14000 CW 2009-05-30 1438 G3LHJ         599  045   YT5W          599 1079
QSO: 14000 CW 2009-05-30 1439 G3LHJ         599  046   RX6AM         599  837
QSO: 14000 CW 2009-05-30 1441 G3LHJ         599  047   UT4ZG         599  745
QSO: 14000 CW 2009-05-30 1444 G3LHJ         599  048   S51J          599  473
QSO: 14000 CW 2009-05-30 1447 G3LHJ         599  049   LZ8E          599 1362
QSO: 14000 CW 2009-05-30 1448 G3LHJ         599  050   OE5OHO        599  163
QSO: 14000 CW 2009-05-30 1451 G3LHJ         599  051   3V9A          599 2030
QSO: 14000 CW 2009-05-30 1452 G3LHJ         599  052   K1LZ          599  685
QSO: 14000 CW 2009-05-30 1455 G3LHJ         599  053   LX7I          599  441
QSO: 14000 CW 2009-05-30 1457 G3LHJ         599  054   HG6N          599  676
QSO: 14000 CW 2009-05-30 1500 G3LHJ         599  055   4L8A          599 1129
QSO: 14000 CW 2009-05-30 1506 G3LHJ         599  056   OL1M          599  742
QSO: 14000 CW 2009-05-30 1508 G3LHJ         599  057   DK3GI         599  801
QSO: 14000 CW 2009-05-30 1509 G3LHJ         599  058   DF0SAX        599  568
QSO: 14000 CW 2009-05-30 1510 G3LHJ         599  059   UU7J          599 1130
QSO: 14000 CW 2009-05-30 1511 G3LHJ         599  060   UP2L          599 1047
QSO: 14000 CW 2009-05-30 1512 G3LHJ         599  061   HE8BIN        599  345
QSO: 14000 CW 2009-05-30 1513 G3LHJ         599  062   DL1A          599  436
QSO: 14000 CW 2009-05-30 1514 G3LHJ         599  063   9A800VZ       599  745
QSO: 14000 CW 2009-05-30 1515 G3LHJ         599  064   LY7A          599  894
QSO: 14000 CW 2009-05-30 1516 G3LHJ         599  065   OF200AD       599  686
QSO: 14000 CW 2009-05-30 1604 G3LHJ         599  066   YL8M          599  588
QSO: 21000 CW 2009-05-30 1605 G3LHJ         599  067   HG3R          599  599
QSO: 21000 CW 2009-05-30 1608 G3LHJ         599  068   YT0Z          599  675
QSO: 28000 CW 2009-05-30 1609 G3LHJ         599  069   E73O          599  427
QSO: 21000 CW 2009-05-30 1616 G3LHJ         599  070   CN3A          599 1163
QSO: 28000 CW 2009-05-30 1712 G3LHJ         599  071   CS9L          599  316
QSO: 28000 CW 2009-05-30 1715 G3LHJ         599  072   HG6Y          599  095
QSO: 28000 CW 2009-05-30 1717 G3LHJ         599  073   CU2X          599 1616
QSO: 21000 CW 2009-05-30 1722 G3LHJ         599  074   EF8M          599 1460
QSO: 21000 CW 2009-05-30 1723 G3LHJ         599  075   EA8URL        599  409
QSO: 21000 CW 2009-05-30 1724 G3LHJ         599  076   EA4KG         599  159
QSO: 21000 CW 2009-05-30 1727 G3LHJ         599  077   S52X          599  292
