START-OF-LOG: 2.0
ARRL-SECTION: DX
CALLSIGN: EA2BD
CLUB: 
CONTEST: EA-CNCW
CATEGORY: SINGLE-OP 20M
CLAIMED-SCORE: 910
OPERATORS: EA2BD
NAME: Ignacio Cascante
SOAPBOX: Participo en 20m monobanda, resto de bandas checklist.
SOAPBOX: Solo un ratito este año. Gracias por la organizacion, 73
CREATED-BY: WinURECon 3.9 (Windows XP)
QSO:  3500 CW 2015-07-18 1937 EA2BD         599 NA     EA2NA         599 NA
QSO:  3500 CW 2015-07-19 0603 EA2BD         599 NA     EA3KU         599 T
QSO:  3500 CW 2015-07-19 0604 EA2BD         599 NA     EA5WU         599 CS
QSO:  3500 CW 2015-07-19 0605 EA2BD         599 NA     EA3NO         599 B
QSO:  3500 CW 2015-07-19 0609 EA2BD         599 NA     EA2KV         599 Z
QSO:  3500 CW 2015-07-19 0615 EA2BD         599 NA     EA4KE         599 M
QSO:  3500 CW 2015-07-19 0621 EA2BD         599 NA     EA2BNU        599 SS
QSO:  3500 CW 2015-07-19 0623 EA2BD         599 NA     EA2IF         599 NA
QSO:  3500 CW 2015-07-19 0624 EA2BD         599 NA     EA5YU         599 MU
QSO:  7000 CW 2015-07-19 0637 EA2BD         599 NA     EA4PN         599 M
QSO:  7000 CW 2015-07-19 0638 EA2BD         599 NA     EA3KX         599 B
QSO:  7000 CW 2015-07-19 0639 EA2BD         599 NA     EB1TR         599 O
QSO:  7000 CW 2015-07-19 0641 EA2BD         599 NA     EA8ZS         599 GC
QSO:  7000 CW 2015-07-19 0641 EA2BD         599 NA     EA4DB         599 LE
QSO:  7000 CW 2015-07-19 0642 EA2BD         599 NA     EA7KD         599 SE
QSO:  7000 CW 2015-07-19 0643 EA2BD         599 NA     EA7CJN        599 J
QSO:  7000 CW 2015-07-19 0643 EA2BD         599 NA     EA3NO         599 B
QSO:  7000 CW 2015-07-19 0644 EA2BD         599 NA     EA1FAI        599 BU
QSO:  7000 CW 2015-07-19 0645 EA2BD         599 NA     EA1GT/QRP     599 C
QSO:  7000 CW 2015-07-19 0646 EA2BD         599 NA     EA5FV         599 MU
QSO:  7000 CW 2015-07-19 0647 EA2BD         599 NA     EA3GBA        599 B
QSO:  7000 CW 2015-07-19 0648 EA2BD         599 NA     EA5WA         599 V
QSO:  7000 CW 2015-07-19 0651 EA2BD         599 NA     EA4TX/P       599 GU
QSO:  7000 CW 2015-07-19 0652 EA2BD         599 NA     EC5CR         599 V
QSO:  7000 CW 2015-07-19 0653 EA2BD         599 NA     EA3PP         599 B
QSO:  7000 CW 2015-07-19 0654 EA2BD         599 NA     EA5UF         599 V
QSO: 14000 CW 2015-07-19 0825 EA2BD         599 NA     EC7AT         599 AL
QSO: 14000 CW 2015-07-19 0825 EA2BD         599 NA     EA5YU         599 MU
QSO: 14000 CW 2015-07-19 0826 EA2BD         599 NA     EA7KB         599 H
QSO: 14000 CW 2015-07-19 0827 EA2BD         599 NA     EA8ZS         599 GC
QSO: 14000 CW 2015-07-19 0828 EA2BD         599 NA     EA8BLV        599 TF
QSO: 14000 CW 2015-07-19 0832 EA2BD         599 NA     EA7BT         599 AL
QSO: 14000 CW 2015-07-19 0833 EA2BD         599 NA     EA1III        599 OU
QSO: 14000 CW 2015-07-19 0834 EA2BD         599 NA     EA1XT         599 C
QSO: 14000 CW 2015-07-19 0834 EA2BD         599 NA     EA4ZK         599 M
QSO: 14000 CW 2015-07-19 0835 EA2BD         599 NA     EA1AAA        599 LU
QSO: 14000 CW 2015-07-19 0836 EA2BD         599 NA     EA7RU         599 MA
