START-OF-LOG: 2.0
ARRL-SECTION: DX
CALLSIGN: EA6ZS
CLUB: 
CONTEST: EA-CNCW
CATEGORY: SINGLE-OP ALL LOW
CLAIMED-SCORE: 34428
OPERATORS: EA6ZS
NAME: Juan Manuel Martínez Pons
SOAPBOX: La propagación debía ser muy buena ya que mis antenas no eran las mas idóneas: una
SOAPBOX: Buternut sin plano de tierra ni radiales que acoplaba en 10-15-20 y una end fed (unun 9:1+
SOAPBOX: cable de 15 metros) que trabajaba en 7 y 3.5.
SOAPBOX: Espero arreglarlas pronto. Saludos cordiales y hasta el próximo cncw.
CREATED-BY: WinURECon 3.12 (Windows 7 64 bits)
QSO:  7000 CW 2015-07-18 1402 EA6ZS         599 IB     EA4DB         599 LE
QSO:  7000 CW 2015-07-18 1403 EA6ZS         599 IB     EA2CW         599 BI
QSO:  7000 CW 2015-07-18 1404 EA6ZS         599 IB     EB5KT         599 V
QSO:  7000 CW 2015-07-18 1405 EA6ZS         599 IB     EA2HW         599 SS
QSO:  7000 CW 2015-07-18 1409 EA6ZS         599 IB     EA3JJ         599 B
QSO:  7000 CW 2015-07-18 1411 EA6ZS         599 IB     EA5FID        599 A
QSO:  7000 CW 2015-07-18 1414 EA6ZS         599 IB     EA3GBA        599 B
QSO:  7000 CW 2015-07-18 1414 EA6ZS         599 IB     EA4URE        599 HQ
QSO:  7000 CW 2015-07-18 1415 EA6ZS         599 IB     EA4CWN        599 TO
QSO:  7000 CW 2015-07-18 1418 EA6ZS         599 IB     EA3NN         599 T
QSO:  7000 CW 2015-07-18 1419 EA6ZS         599 IB     EA5LA         599 V
QSO:  7000 CW 2015-07-18 1420 EA6ZS         599 IB     EA3KN         599 T
QSO:  7000 CW 2015-07-18 1421 EA6ZS         599 IB     EA5FMH        599 V
QSO:  7000 CW 2015-07-18 1422 EA6ZS         599 IB     EA5WU         599 CS
QSO:  7000 CW 2015-07-18 1423 EA6ZS         599 IB     EB7KA         599 AL
QSO:  7000 CW 2015-07-18 1423 EA6ZS         599 IB     EA2BNU        599 SS
QSO:  7000 CW 2015-07-18 1428 EA6ZS         599 IB     EA5YU         599 MU
QSO:  7000 CW 2015-07-18 1430 EA6ZS         599 IB     EB5YF         599 A
QSO:  7000 CW 2015-07-18 1433 EA6ZS         599 IB     EA3FZT        599 B
QSO:  7000 CW 2015-07-18 1436 EA6ZS         599 IB     EA5HT         599 MU
QSO:  7000 CW 2015-07-18 1437 EA6ZS         599 IB     EA1FA         599 O
QSO:  7000 CW 2015-07-18 1439 EA6ZS         599 IB     EA5WA         599 V
QSO:  7000 CW 2015-07-18 1450 EA6ZS         599 IB     EA7OH         599 GR
QSO:  7000 CW 2015-07-18 1452 EA6ZS         599 IB     EA4PN         599 M
QSO:  7000 CW 2015-07-18 1454 EA6ZS         599 IB     EA5LN         599 V
QSO:  7000 CW 2015-07-18 1457 EA6ZS         599 IB     EA5SM         599 A
QSO: 28000 CW 2015-07-18 1502 EA6ZS         599 IB     EA8MT         599 GC
QSO: 28000 CW 2015-07-18 1505 EA6ZS         599 IB     EA7KB         599 H
