START-OF-LOG:         3.0
CREATED-BY:           NA Version 10.69
CONTEST: EA-CNCW
CALLSIGN:             EA8NQ
CATEGORY-ASSISTED:    NON-ASSISTED
CATEGORY-BAND:        ALL
CATEGORY-MODE:        CW
CATEGORY: SINGLE-OP ALL LOW
CATEGORY-POWER:       LOW
CATEGORY-STATION:     FIXED
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 6880
CLUB:                 Grupo DX Teide
NAME:                 Isidro Acosta Hernández
SOAPBOX:
SOAPBOX:              Estación:  TX/RX:  Yaesu FT-897D (± 100 W).  Antena:
SOAPBOX:              G5RV Jr. + bobinas para 80m a 5 m sobre un edificio de 8
SOAPBOX:              plantas.  Registro/manipulación:  programa NA v10.69 +
SOAPBOX:              manipulador Accu-Keyer de construcción casera.
SOAPBOX:
SOAPBOX:              Comentario:  Una vez más quiero expresar mi total
SOAPBOX:              disconformidad con la duración del concurso y, sobre
SOAPBOX:              todo, con la interrupción durante la noche del sábado al
SOAPBOX:              domingo, lo cual, en mi opinión, impide un mejor
SOAPBOX:              aprovechamiento de las bandas inferiores para mayores
SOAPBOX:              distancias.  Por si hiciera falta, les recuerdo que las
SOAPBOX:              islas Canarias están a más de 1.000 km de la Península.
SOAPBOX:              Gracias a todos por los QSO, 73 y nos veremos el próximo
SOAPBOX:              año (en CW, naturalmente).
SOAPBOX:
QSO:  7000 CW 2015-07-18 2135 EA8NQ        599 TF     EA1FBU       599 PO
QSO:  7000 CW 2015-07-18 2139 EA8NQ        599 TF     EB1TR        599 O
QSO:  7000 CW 2015-07-18 2140 EA8NQ        599 TF     EA1VM        599 P
QSO:  7000 CW 2015-07-18 2144 EA8NQ        599 TF     EA4DB        599 LE
QSO:  7000 CW 2015-07-18 2205 EA8NQ        599 TF     EA1FA        599 O
QSO:  7000 CW 2015-07-18 2214 EA8NQ        599 TF     EA7KD        599 SE
QSO:  7000 CW 2015-07-18 2215 EA8NQ        599 TF     EA5WA        599 V
QSO:  7000 CW 2015-07-18 2221 EA8NQ        599 TF     EA4GMX       599 CU
QSO:  7000 CW 2015-07-18 2222 EA8NQ        599 TF     EA5WU        599 CS
QSO:  7000 CW 2015-07-18 2229 EA8NQ        599 TF     EA7JQA       599 J
QSO:  7000 CW 2015-07-18 2250 EA8NQ        599 TF     EA8ZS        599 GC
QSO:  7000 CW 2015-07-18 2251 EA8NQ        599 TF     EA5KV        599 V
QSO:  7000 CW 2015-07-18 2252 EA8NQ        599 TF     EC7ABV       599 CA
QSO:  7000 CW 2015-07-18 2254 EA8NQ        599 TF     EB7KA        599 AL
QSO:  7000 CW 2015-07-18 2255 EA8NQ        599 TF     EA1FCH       599 LU
QSO:  7000 CW 2015-07-18 2256 EA8NQ        599 TF     EA5YU        599 MU
QSO:  7000 CW 2015-07-19 0643 EA8NQ        599 TF     EA8BQM       599 GC
QSO:  7000 CW 2015-07-19 0646 EA8NQ        599 TF     EC5CR        599 V
QSO:  7000 CW 2015-07-19 0647 EA8NQ        599 TF     EC7WA        599 H
QSO:  7000 CW 2015-07-19 0649 EA8NQ        599 TF     EA7KB        599 H
QSO:  7000 CW 2015-07-19 0652 EA8NQ        599 TF     EA5FV        599 MU
QSO:  7000 CW 2015-07-19 0654 EA8NQ        599 TF     EA4ZK        599 M
QSO:  7000 CW 2015-07-19 0656 EA8NQ        599 TF     EA7TG        599 GR
QSO:  7000 CW 2015-07-19 0657 EA8NQ        599 TF     EA7AZA       599 CA
QSO:  7000 CW 2015-07-19 0706 EA8NQ        599 TF     EA5FID       599 A
QSO:  7000 CW 2015-07-19 0718 EA8NQ        599 TF     EA1NE        599 P
QSO:  7000 CW 2015-07-19 0721 EA8NQ        599 TF     EA4KE        599 M
QSO:  7000 CW 2015-07-19 0724 EA8NQ        599 TF     EA6URA       599 IB
QSO:  7000 CW 2015-07-19 0731 EA8NQ        599 TF     EA1XT        599 C
QSO:  7000 CW 2015-07-19 0733 EA8NQ        599 TF     EA2KV        599 Z
QSO:  7000 CW 2015-07-19 0741 EA8NQ        599 TF     EA3GBA       599 B
QSO:  7000 CW 2015-07-19 0743 EA8NQ        599 TF     EC7AMY       599 SE
QSO:  7000 CW 2015-07-19 0745 EA8NQ        599 TF     EA1FAQ       599 VA
QSO:  7000 CW 2015-07-19 0745 EA8NQ        599 TF     EA5HT        599 MU
QSO:  7000 CW 2015-07-19 0747 EA8NQ        599 TF     EA1WX        599 O
QSO: 28000 CW 2015-07-19 1113 EA8NQ        599 TF     EA3NO        599 B
QSO: 28000 CW 2015-07-19 1114 EA8NQ        599 TF     EC7AMY       599 SE
QSO: 28000 CW 2015-07-19 1115 EA8NQ        599 TF     EA3CUU       599 GI
QSO: 28000 CW 2015-07-19 1116 EA8NQ        599 TF     EA5FX        599 CS
QSO: 28000 CW 2015-07-19 1119 EA8NQ        599 TF     EA4CWN       599 TO
QSO: 28000 CW 2015-07-19 1122 EA8NQ        599 TF     EA8ZS        599 GC
QSO: 28000 CW 2015-07-19 1123 EA8NQ        599 TF     EA5WU        599 CS
QSO: 28000 CW 2015-07-19 1130 EA8NQ        599 TF     EA4IF        599 TO
QSO: 28000 CW 2015-07-19 1204 EA8NQ        599 TF     EA2KV        599 Z
QSO: 28000 CW 2015-07-19 1205 EA8NQ        599 TF     EA4RE        599 M
QSO: 28000 CW 2015-07-19 1206 EA8NQ        599 TF     EA8BQM       599 GC
QSO: 28000 CW 2015-07-19 1209 EA8NQ        599 TF     EA5XA        599 V
QSO: 28000 CW 2015-07-19 1211 EA8NQ        599 TF     EA7GV        599 GR
QSO: 28000 CW 2015-07-19 1215 EA8NQ        599 TF     EA5YI        599 V
QSO: 28000 CW 2015-07-19 1216 EA8NQ        599 TF     EA1AR        599 AV
QSO: 28000 CW 2015-07-19 1217 EA8NQ        599 TF     EA5HT        599 MU
QSO: 28000 CW 2015-07-19 1217 EA8NQ        599 TF     EA3GP        599 T
QSO: 28000 CW 2015-07-19 1219 EA8NQ        599 TF     EA5YU        599 MU
QSO: 28000 CW 2015-07-19 1220 EA8NQ        599 TF     EA4FJX       599 M
QSO: 28000 CW 2015-07-19 1221 EA8NQ        599 TF     EA3KX        599 B
QSO: 28000 CW 2015-07-19 1223 EA8NQ        599 TF     EA4UV        599 M
QSO: 28000 CW 2015-07-19 1228 EA8NQ        599 TF     EA1FAQ       599 VA
QSO: 28000 CW 2015-07-19 1232 EA8NQ        599 TF     EA3NT        599 T
QSO: 28000 CW 2015-07-19 1236 EA8NQ        599 TF     EA3NN        599 T
QSO: 28000 CW 2015-07-19 1237 EA8NQ        599 TF     EA1FA        599 O
QSO: 28000 CW 2015-07-19 1240 EA8NQ        599 TF     EA7QD        599 GR
QSO: 28000 CW 2015-07-19 1241 EA8NQ        599 TF     EA3PP        599 B
QSO: 28000 CW 2015-07-19 1241 EA8NQ        599 TF     EA8RM        599 GC
QSO: 28000 CW 2015-07-19 1247 EA8NQ        599 TF     EA1AAA       599 LU
QSO: 21000 CW 2015-07-19 1302 EA8NQ        599 TF     EA3NN        599 T
QSO: 21000 CW 2015-07-19 1307 EA8NQ        599 TF     EA5WU        599 CS
QSO: 21000 CW 2015-07-19 1314 EA8NQ        599 TF     EA3CUU       599 GI
QSO: 21000 CW 2015-07-19 1314 EA8NQ        599 TF     EA1FAQ       599 VA
QSO: 21000 CW 2015-07-19 1317 EA8NQ        599 TF     EA7QD        599 GR
QSO: 21000 CW 2015-07-19 1324 EA8NQ        599 TF     EA2KV        599 Z
QSO: 21000 CW 2015-07-19 1325 EA8NQ        599 TF     EA1XT        599 C
QSO: 14000 CW 2015-07-19 1336 EA8NQ        599 TF     EC7RC        599 AL
QSO: 14000 CW 2015-07-19 1337 EA8NQ        599 TF     EA5XA        599 V
QSO: 14000 CW 2015-07-19 1337 EA8NQ        599 TF     EA1FA        599 O
QSO: 14000 CW 2015-07-19 1342 EA8NQ        599 TF     EA3NN        599 T
QSO: 14000 CW 2015-07-19 1344 EA8NQ        599 TF     EA2KV        599 Z
QSO: 14000 CW 2015-07-19 1346 EA8NQ        599 TF     EA5WA        599 V
QSO: 14000 CW 2015-07-19 1346 EA8NQ        599 TF     EA7GV        599 GR
QSO: 14000 CW 2015-07-19 1347 EA8NQ        599 TF     EA8BQM       599 GC
QSO: 14000 CW 2015-07-19 1348 EA8NQ        599 TF     EA3GBA       599 B
QSO: 14000 CW 2015-07-19 1349 EA8NQ        599 TF     EA3CUU       599 GI
QSO: 14000 CW 2015-07-19 1350 EA8NQ        599 TF     EB7KA        599 AL
QSO: 14000 CW 2015-07-19 1350 EA8NQ        599 TF     EA5YI        599 V
QSO: 14000 CW 2015-07-19 1353 EA8NQ        599 TF     EA3NO        599 B
QSO: 14000 CW 2015-07-19 1354 EA8NQ        599 TF     EA5DD        599 A
QSO: 14000 CW 2015-07-19 1358 EA8NQ        599 TF     EA7AZA       599 CA
END-OF-LOG:

