START-OF-LOG: 3.0
CONTEST: ARRL-DIGI
CALLSIGN: WE1DER
LOCATION: NE
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-POWER: LOW
CATEGORY-BAND: ALL
CATEGORY-TRANSMITTER: ONE
CATEGORY-TIME: 8-HOURS
OPERATORS: 
CLUB: Heartland DX Association
CREATED-BY: ADIF2CABRILLO.COM VERSION 2.1.5
HQ-CATEGORY: Single Operator, One Radio (SO1R), Low Power, 8 Hours
HQ-GRID-LOCATOR: EN10OG
QSO: 7081 DG 2023-06-04 0221 WE1DER EN10 WY3A FM29 1
QSO: 7081 DG 2023-06-04 0219 WE1DER EN10 KD8KWH EN80 1
QSO: 7081 DG 2023-06-04 0218 WE1DER EN10 N8HRZ EN91 1
QSO: 7081 DG 2023-06-04 0218 WE1DER EN10 N5DTT EL29 1
QSO: 7081 DG 2023-06-04 0217 WE1DER EN10 NA5M EM12 1
QSO: 7082 DG 2023-06-04 0216 WE1DER EN10 W7BOB DN14 1
QSO: 7082 DG 2023-06-04 0215 WE1DER EN10 N0AT EN34 1
QSO: 7081 DG 2023-06-04 0215 WE1DER EN10 N2NQ FM17 1
QSO: 7081 DG 2023-06-04 0213 WE1DER EN10 W4EE EL98 1
QSO: 7081 DG 2023-06-04 0213 WE1DER EN10 KT3L FN00 1
QSO: 7082 DG 2023-06-04 0212 WE1DER EN10 N7EZQ DN14 1
QSO: 7080 DG 2023-06-04 0211 WE1DER EN10 W6SX DM07 1
QSO: 7090 DG 2023-06-04 0207 WE1DER EN10 WA2DNI FN20 1
QSO: 7090 DG 2023-06-04 0206 WE1DER EN10 AA3B FN20 1
QSO: 7091 DG 2023-06-04 0202 WE1DER EN10 KR4NO EM95 1
QSO: 7091 DG 2023-06-04 0201 WE1DER EN10 KB4S FM17 1
QSO: 7091 DG 2023-06-04 0200 WE1DER EN10 N6AR EL98 1
QSO: 7091 DG 2023-06-04 0159 WE1DER EN10 PY2CX GG66 1
QSO: 14092 DG 2023-06-04 0150 WE1DER EN10 WT2J FN30 1
QSO: 14092 DG 2023-06-04 0148 WE1DER EN10 N5YT EM51 1
QSO: 14092 DG 2023-06-04 0147 WE1DER EN10 WB8BZK EN52 1
QSO: 14093 DG 2023-06-04 0147 WE1DER EN10 LU7HW FF87 1
QSO: 14092 DG 2023-06-04 0142 WE1DER EN10 K2IW FN33 1
QSO: 14091 DG 2023-06-04 0138 WE1DER EN10 KC3NDU FN21 1
QSO: 14090 DG 2023-06-04 0136 WE1DER EN10 VE5KS DO60 1
QSO: 14092 DG 2023-06-04 0131 WE1DER EN10 KC3UII EM96 1
QSO: 14091 DG 2023-06-04 0130 WE1DER EN10 N4KGO EM73 1
QSO: 14091 DG 2023-06-04 0126 WE1DER EN10 KK4MRG FM02 1
QSO: 14092 DG 2023-06-04 0126 WE1DER EN10 N3XL FM18 1
QSO: 14091 DG 2023-06-04 0124 WE1DER EN10 WQ5L EM50 1
