START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: EUHFC
CALLSIGN: RN6MA
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: RN6MA
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for EUHFC EUHFC/2013.
QSO: 14000 CW 2013-08-03 1648 RN6MA         599 86 OK1GS         599 57
QSO: 14030 CW 2013-08-03 1648 RN6MA         599 86 YL5X          599 88
QSO: 14000 CW 2013-08-03 1649 RN6MA         599 86 SP1AEN        599 72
QSO: 14030 CW 2013-08-03 1650 RN6MA         599 86 OK3C          599 93
QSO: 14000 CW 2013-08-03 1651 RN6MA         599 86 UT3WS         599 92
QSO: 14030 CW 2013-08-03 1653 RN6MA         599 86 SP8CGU        599 78
QSO: 14000 CW 2013-08-03 1655 RN6MA         599 86 DL1THB        599 68
QSO: 14030 CW 2013-08-03 1655 RN6MA         599 86 DK6XZ         599 82
QSO: 14000 CW 2013-08-03 1656 RN6MA         599 86 S53EO         599 63
QSO: 14030 CW 2013-08-03 1657 RN6MA         599 86 LY2T          599 84
QSO: 14000 CW 2013-08-03 1658 RN6MA         599 86 LY3BB         599 71
QSO: 14030 CW 2013-08-03 1658 RN6MA         599 86 EW1NA         599 95
QSO: 14030 CW 2013-08-03 1658 RN6MA         599 86 LY3CY         599 74
QSO: 14000 CW 2013-08-03 1659 RN6MA         599 86 EU1AI         599 77
QSO: 14030 CW 2013-08-03 1659 RN6MA         599 86 LY3I          599 89
QSO: 14000 CW 2013-08-03 1700 RN6MA         599 86 PA5GU         599 95
QSO: 14000 CW 2013-08-03 1700 RN6MA         599 86 SM3X          599 60
QSO: 14025 CW 2013-08-03 1700 RN6MA         599 86 E71W          599 61
QSO: 14000 CW 2013-08-03 1701 RN6MA         599 86 LY5D          599 83
QSO: 14030 CW 2013-08-03 1701 RN6MA         599 86 UT5UJO        599 87
QSO: 14000 CW 2013-08-03 1702 RN6MA         599 86 DL1NKS        599 99
QSO: 14030 CW 2013-08-03 1703 RN6MA         599 86 OH2BN         599 59
QSO: 14030 CW 2013-08-03 1703 RN6MA         599 86 OK2EA         599 75
QSO: 14030 CW 2013-08-03 1703 RN6MA         599 86 YU2A          599 64
QSO: 14029 CW 2013-08-03 1704 RN6MA         599 86 YL2BJ         599 72
